 	ce	homme	a	fait	couler	la	pirogue	de	mon	oncle	</S>
i	0.820022	0.150657	0.0091044	0.00609051	0.00152531	0.00298226	0.00395617	0.00291915	0.00266677	6.33195e-06	6.93649e-05
b	0.0395358	0.941921	0.00542506	0.00789777	0.00419558	0.00030137	0.000370802	0.000140836	8.86685e-05	3.59847e-05	8.6748e-05
a	0.0181294	0.96581	0.00116077	0.00135814	0.00500341	0.000183058	0.00777729	0.00039183	4.50369e-05	2.86532e-05	0.000112146
a	0.0430953	0.908757	0.0132649	0.00729555	0.00299931	0.0017015	0.00418248	0.00356965	0.000441617	6.66265e-05	0.0146264
d	0.311692	0.128287	0.449118	0.0554182	0.00362373	0.00810156	0.00116413	0.00627053	0.00316244	8.70913e-05	0.0330751
í	0.155106	0.0465823	0.28325	0.178297	0.0531124	0.0146593	0.00106735	0.0109665	0.010205	0.000901775	0.245852
í	0.0469744	0.0244939	0.591868	0.154237	0.0329701	0.018369	0.00665257	0.014138	0.0137333	0.00123592	0.0953273
m	0.00519301	0.00330655	0.187377	0.460492	0.26241	0.037519	0.0156041	0.0100921	0.00518178	0.00325052	0.0095736
i	0.0375626	0.0132113	0.13855	0.23101	0.161789	0.234936	0.066947	0.022248	0.00240013	0.00340338	0.0879427
l	0.00364819	0.00579974	0.0284807	0.234643	0.591355	0.0473077	0.0317665	0.00645623	0.000564898	0.0010142	0.0489638
i	0.000343075	0.00116234	0.00224841	0.0673028	0.866956	0.0166453	0.00738783	0.00325274	0.000218931	0.000663716	0.0338187
n	0.000709567	0.000715899	0.00502147	0.047273	0.890424	0.0421037	0.00421715	0.00201393	5.92585e-05	0.000111653	0.00735034
d	0.00403907	0.0014203	0.0098517	0.0763248	0.820456	0.0525827	0.00676373	0.0095955	0.000286325	0.000180894	0.0184986
í	0.0402889	0.00646974	0.0206776	0.0463481	0.740948	0.0712916	0.00717921	0.0142704	0.00236344	0.00225384	0.047909
s	0.0273655	0.00245098	0.0441889	0.0465247	0.156883	0.568134	0.058658	0.0641959	0.0118981	0.00236491	0.0173359
á	0.00301137	0.000594927	0.0020467	0.0232982	0.403416	0.347871	0.0541501	0.0785844	0.0233943	0.00388617	0.0597467
b	0.0171145	0.00096495	0.00494984	0.0105615	0.0149113	0.574053	0.243726	0.0621112	0.0513225	0.0166097	0.003675
v	0.000914883	0.000565948	0.000779681	0.00176489	0.0014822	0.0236514	0.943369	0.0199763	0.00629066	0.000730324	0.000474655
á	2.81933e-05	1.12638e-05	1.64288e-05	0.000160607	0.000489953	0.00255166	0.991779	0.00447863	0.000206908	2.67689e-05	0.000250236
r	0.000660379	8.79887e-05	0.000127195	0.000487922	0.000645253	0.0141521	0.971173	0.00789616	0.00104635	0.000386586	0.00333698
e	0.00463858	0.000856437	0.0022083	0.0164891	0.0390236	0.242206	0.379533	0.143034	0.0750852	0.00566876	0.0912564
b	0.00139151	0.000494229	0.00633146	0.0137635	0.0263546	0.235951	0.141028	0.323527	0.0785763	0.0973489	0.0752337
á	0.00594979	0.00263378	0.0063371	0.00625444	0.00536513	0.0867847	0.0873735	0.405388	0.164484	0.00155986	0.227869
n	0.0108203	0.0021319	0.0116179	0.0065169	0.00241704	0.0618233	0.0429546	0.170346	0.342508	0.164264	0.1846
g	0.000300779	1.58773e-05	0.000244382	0.000848374	0.00056609	0.0173586	0.00705879	0.0228973	0.430775	0.509678	0.0102563
ó	2.42545e-05	3.93101e-06	4.35438e-05	3.32479e-05	5.84413e-05	0.00120412	0.000391116	0.00124442	0.0154927	0.980619	0.000885334
l	4.59758e-05	4.29243e-05	0.000194349	0.000223745	0.000333664	0.00817689	0.00601838	0.00552408	0.0106325	0.952295	0.0165122
ó	0.00132011	0.00128334	0.00364069	0.0030767	0.00606076	0.0413011	0.0145515	0.0906673	0.128264	0.659426	0.0504087
m	0.000550411	0.000754638	0.00169682	0.000772006	0.00307965	0.0221037	0.0129114	0.0482538	0.0335515	0.732235	0.144091
i	0.0222446	0.00858796	0.0294231	0.00421531	0.00267308	0.0451909	0.00197791	0.0648068	0.334274	0.0897013	0.396905
y	0.00483894	0.00237965	0.00881165	0.00536232	0.00348439	0.0296316	0.00410775	0.0731181	0.209895	0.0359546	0.622416
a	0.00172177	0.000281556	0.00981672	0.0235995	0.0118512	0.0240246	0.000482845	0.0105256	0.44274	0.040447	0.43451
n	0.00341573	0.000175481	0.00392223	0.00447304	0.00169084	0.0320064	0.00182201	0.0246978	0.456499	0.062362	0.408936
g	0.000298301	0.000496285	0.00550592	0.0085426	0.0134908	0.024989	0.00540594	0.0300788	0.156273	0.194963	0.559956
á	0.000242706	0.000163153	0.000790977	0.0012799	0.00402372	0.0188038	0.00280086	0.0213444	0.0977802	0.585543	0.267227
</S>	0.00379552	0.000959742	0.00840023	0.00375583	0.00239557	0.0202213	0.0032505	0.0522455	0.494331	0.0370742	0.373571
