 	cet	homme	est	musclé	</S>
i	0.793699	0.192515	0.0074599	0.00431306	0.00201314
b	0.29485	0.585228	0.0779565	0.035872	0.00609402
a	0.031092	0.958736	0.00284827	0.00309771	0.00422624
a	0.129508	0.675887	0.00705006	0.0325463	0.155009
d	0.591665	0.119179	0.0665729	0.00224505	0.220338
í	0.115583	0.0218239	0.036006	0.0302273	0.79636
í	0.319513	0.0959342	0.189824	0.0220634	0.372666
d	0.22355	0.0639397	0.544947	0.0630216	0.104541
í	0.0062778	0.00500662	0.120576	0.245673	0.622467
l	0.025253	0.0281098	0.343334	0.153053	0.450251
i	0.0107073	0.00890187	0.158582	0.303374	0.518435
s	0.00860058	0.0103961	0.02899	0.774423	0.177591
u	0.00084895	0.000317593	0.00576418	0.969803	0.0232664
n	0.00628632	0.000482534	0.00640829	0.86491	0.121913
u	0.00519263	0.00164425	0.0127373	0.839324	0.141102
</S>	0.0280674	0.00598153	0.153243	0.0307019	0.782006
