 	l'	écureuil	volant	vit	en	forêt	</S>
l	0.461592	0.42609	0.0773704	0.0122964	0.0164864	0.00318629	0.0029787
e	0.372282	0.518908	0.0783673	0.0062924	0.0113358	0.00253105	0.0102835
n	0.0538058	0.810946	0.0838876	0.026943	0.00294476	0.0033096	0.018163
g	0.031803	0.735276	0.163425	0.0107722	0.0031278	0.000259556	0.055337
w	0.0139116	0.928884	0.0481966	0.0046805	0.000733071	0.000361513	0.00323267
í	0.0817965	0.520875	0.208003	0.0198406	0.0154764	0.00190606	0.152102
i	0.0142464	0.0515569	0.264228	0.14364	0.079591	0.00570772	0.441029
í	0.0648956	0.0097498	0.440195	0.175836	0.284125	0.00372608	0.0214725
d	0.0317932	0.00619857	0.309326	0.165613	0.421422	0.0214807	0.0441659
i	0.00290494	0.00165684	0.307155	0.209313	0.218516	0.00316595	0.257288
í	0.00568492	0.00296296	0.147548	0.206222	0.485256	0.0368419	0.115485
s	0.00673593	0.0019682	0.0961941	0.047916	0.510637	0.220424	0.116125
á	0.0075907	0.00373718	0.0968397	0.0480999	0.153531	0.0434503	0.646751
k	0.00943661	0.00524824	0.020449	0.0101469	0.0310944	0.830115	0.0935099
ω	0.000765344	0.000805395	0.000669299	0.00320722	0.00518045	0.981198	0.00817395
</S>	0.000181126	0.00259916	0.00958907	0.0255598	0.0153716	0.927762	0.018937
