 	il	y	a	des	punaises	dans	le	lit	je	ne	vais	pas	dormir	dedans	</S>
a	0.228226	0.480112	0.119278	0.0423408	0.0140967	0.0271375	0.0326628	0.0102556	0.0069742	0.0122423	0.000583454	0.0105311	0.0151819	7.80131e-05	0.00029884
m	0.0408375	0.239659	0.134794	0.185923	0.255863	0.0177468	0.0099909	0.0021982	0.00230164	0.0107508	0.0130036	0.013458	0.0295067	0.0412525	0.00271506
b	0.00355701	0.00824599	0.0217798	0.0586711	0.842707	0.0264716	0.0218912	0.00273466	0.000265756	0.000296888	0.00158387	0.000149499	0.0003577	0.00315684	0.0081316
o	0.00666869	0.0208571	0.0361962	0.204574	0.607531	0.0283904	0.0381477	0.0118193	0.00363743	0.00163798	0.00576708	0.00141093	0.00667459	0.00565332	0.0210337
r	0.0258919	0.0608486	0.0514691	0.35466	0.369817	0.0119614	0.0121428	0.00135356	0.000495126	0.00122991	0.0299706	0.00145462	0.00601554	0.0173071	0.055383
a	0.114704	0.0864753	0.0472286	0.249213	0.16996	0.0317639	0.0292562	0.0022312	0.00173002	0.00445124	0.0759976	0.008823	0.0105482	0.0166835	0.150936
á	0.128059	0.120358	0.261705	0.23774	0.0574649	0.0860367	0.0259883	0.0198383	0.00932869	0.0137967	0.00307751	0.0131491	0.0123103	0.000539233	0.0106082
d	0.0127837	0.0194866	0.371577	0.18973	0.102991	0.12953	0.0243019	0.0167156	0.0371563	0.0357619	0.0169098	0.0138068	0.0179161	0.00210122	0.00923169
i	0.00170912	0.00148985	0.102494	0.113869	0.362058	0.154808	0.044776	0.0099301	0.0196224	0.0134386	0.0152436	0.00537702	0.00693647	0.00369297	0.144555
s	0.00205819	0.00116172	0.0411396	0.102656	0.408143	0.246597	0.0686552	0.0212737	0.00371071	0.0281642	0.00815435	0.0211663	0.0195546	0.00246024	0.025106
ó	0.00160661	0.00155041	0.0191324	0.0609907	0.270872	0.390713	0.11495	0.0154057	0.0366256	0.0105899	0.0175712	0.00601055	0.00427712	0.00767127	0.0420342
b	0.00294733	0.00313293	0.0204419	0.0407371	0.0957685	0.239562	0.296306	0.0865313	0.0290454	0.0181821	0.0400678	0.00565866	0.0103731	0.0482516	0.0629951
é	0.00471295	0.0068917	0.00854986	0.0356731	0.0342229	0.120385	0.232491	0.384289	0.0205603	0.0533274	0.0281422	0.0219962	0.0167968	0.00664847	0.0253127
