 	le	forgeron	bat	le	fer	sur	l'	enclume	</S>
o	0.941446	0.0338301	0.0175065	0.00152644	0.00174391	0.00180931	0.00193023	0.000166486	4.13878e-05
k	0.0612833	0.910614	0.0187824	0.00114343	0.00139286	0.000857416	0.00079415	0.00388071	0.00125178
u	0.000668531	0.998324	4.79455e-05	5.53549e-05	7.72234e-05	7.40903e-05	7.52713e-05	0.000447864	0.000229319
b	0.000700919	0.985006	0.0018751	0.00160857	0.00201632	0.000951655	0.000703391	0.00585608	0.00128172
h	0.240956	0.214456	0.0365886	0.0237551	0.103658	0.0726941	0.108587	0.0802245	0.119081
a	0.665008	0.198075	0.0548514	0.0155182	0.0081275	0.00520416	0.00595142	0.00362394	0.04364
l	0.208167	0.00552427	0.547849	0.121463	0.0236848	0.0190602	0.0167127	0.000875596	0.056664
á	0.189186	0.00105186	0.11935	0.0947999	0.0231106	0.0368909	0.0385804	0.01124	0.485791
a	0.477418	0.00122489	0.124537	0.229292	0.0772961	0.0283759	0.0224575	0.00521075	0.0341879
b	0.00931481	0.0252766	0.210217	0.602286	0.118119	0.0131726	0.00238287	0.008515	0.010716
έ	0.00482677	0.0454508	0.324493	0.474121	0.0954204	0.0360966	0.00331461	0.00240352	0.0138737
r	0.00290512	0.00284399	0.111476	0.558733	0.177147	0.0670164	0.00895937	0.0138286	0.0570898
έ	0.0973189	0.0056336	0.111248	0.392755	0.114146	0.0646235	0.11001	0.00793812	0.096327
έ	0.00374037	0.000404877	0.0340136	0.368642	0.350896	0.142333	0.0647977	0.0258716	0.0093004
e	0.00191796	0.00039115	0.00621721	0.129885	0.302944	0.342323	0.089344	0.117057	0.00992172
d	0.000747704	0.00183793	0.00203414	0.0494936	0.204747	0.338041	0.0449233	0.34718	0.0109947
u	0.000488978	0.000101255	0.000687044	0.0364881	0.201084	0.427987	0.0496387	0.231119	0.0524059
n	0.00232651	8.27171e-05	0.00141078	0.0645245	0.375048	0.29261	0.0919838	0.150381	0.0216316
g	0.000223316	6.67024e-06	0.000450859	0.0268061	0.257343	0.374322	0.231	0.0711484	0.0387
a	0.000727898	1.29379e-05	0.00280921	0.0289076	0.123379	0.227258	0.333578	0.235961	0.0473664
m	0.00124935	1.99878e-05	0.0011103	0.0079615	0.0278622	0.198983	0.400998	0.0755893	0.286227
ó	0.00311386	0.000405437	0.00181098	0.0135301	0.0408527	0.168256	0.235743	0.202586	0.333703
n	0.00174677	0.000296271	0.00111451	0.00575555	0.0170299	0.069256	0.167021	0.64833	0.0894492
d	0.000616289	1.05619e-05	0.00253428	0.00640998	0.0159128	0.0647495	0.341885	0.449786	0.118096
z	0.000164247	1.48138e-05	0.000337761	0.00154586	0.00821211	0.0172575	0.10967	0.759497	0.103301
o	1.19385e-05	2.62552e-05	6.77647e-05	0.000866929	0.0149221	0.0183559	0.0305266	0.862916	0.0723064
n	4.92332e-05	4.14997e-05	0.000316061	0.00252571	0.0351335	0.0385537	0.0180796	0.687435	0.217866
d	0.000599146	0.000543333	0.0028138	0.00566785	0.0443166	0.0876495	0.0635977	0.442459	0.352353
o	0.000148985	9.6108e-05	0.000309409	0.000985358	0.00508932	0.0133852	0.0339448	0.820089	0.125952
</S>	0.00245051	7.62005e-05	0.00155916	0.0114903	0.0411875	0.113456	0.130072	0.212206	0.487502
