 	j'	ai	acheté	deux	paquets	de	morelle	</S>
n	0.982254	0.00837213	0.000275537	0.00673743	0.000856429	0.001352	0.000104281	4.81729e-05
g	0.949244	0.032121	0.00371987	0.00839816	0.000131276	0.00341873	0.00291742	4.90116e-05
á	0.844295	0.0559711	0.0621322	0.00592834	0.000204033	0.00224193	0.0290642	0.000163687
í	0.0698701	0.338199	0.0348692	0.084496	0.00674376	0.0451254	0.0148867	0.40581
s	0.00101284	0.0103046	0.983461	0.00253879	0.00116922	0.000205792	0.000257193	0.00105092
ó	4.66382e-05	0.00445071	0.994354	0.000139986	6.81193e-05	1.56928e-05	0.000333038	0.000591491
m	0.00191133	0.0306446	0.95876	0.00355399	0.000110222	0.00110168	0.00219362	0.00172468
b	0.00290449	0.0115686	0.918943	0.039323	0.00195204	0.00505789	0.0123762	0.0078748
i	0.00119674	0.0896218	0.622255	0.180045	0.0186431	0.0162334	0.00756978	0.0644349
a	0.117625	0.2998	0.00845876	0.313853	0.0611189	0.1417	0.0272308	0.030214
b	0.00158739	0.046198	0.0859794	0.272328	0.543846	0.00920623	0.0216676	0.0191876
ώ	5.13176e-05	0.00569411	0.00359506	0.229849	0.736675	0.00208054	0.0102898	0.0117644
ω	3.0333e-05	0.00483715	0.0029889	0.262065	0.59862	0.0196719	0.012274	0.0995126
m	0.000336823	0.0663038	0.00585197	0.245964	0.203442	0.357424	0.0261248	0.0945536
á	0.000844377	0.00485679	0.000628829	0.0873131	0.0914878	0.312608	0.1453	0.356961
n	0.00029833	0.0101868	0.00183827	0.0987399	0.105233	0.301157	0.411904	0.0706429
d	0.00495213	0.00557732	0.00234935	0.0294737	0.0371554	0.271993	0.578358	0.070141
w	0.0012989	0.00333433	0.00119522	0.00407074	0.0109778	0.175529	0.751427	0.0521675
e	7.47045e-05	0.000181434	0.000237863	0.00350859	0.0049324	0.0566073	0.892544	0.0419138
l	0.000561826	0.0017719	0.00152911	0.00779324	0.0110625	0.0511236	0.144207	0.781951
é	0.000374069	0.000304843	0.000617887	0.0268628	0.0458477	0.115395	0.132657	0.677941
á	2.09424e-05	0.00321621	0.00108847	0.0439868	0.0291889	0.133048	0.01248	0.776971
b	0.000313035	0.0132899	0.0567598	0.0280528	0.0343294	0.0968269	0.0725777	0.697851
a	2.46455e-05	0.00154408	0.00277108	0.0859032	0.232323	0.0484675	0.25516	0.373807
á	7.24881e-06	0.00111415	0.00291381	0.0458295	0.057275	0.024025	0.0202383	0.848597
</S>	0.00105724	0.0620647	0.00782199	0.0362921	0.014049	0.357192	0.0385591	0.482964
