 	son	père	et	sa	mère	sont	morts	pendant	la	guerre	</S>
w	0.565515	0.40423	0.0189889	0.00396277	0.000756116	0.00179185	0.000464298	0.00174366	0.0011957	0.00132444	2.72934e-05
a	0.803991	0.0723375	0.0571607	0.045734	0.00180783	0.00683114	8.92773e-05	0.00375363	0.0042103	0.00400697	7.80845e-05
t	0.573609	0.220976	0.0938779	0.0737644	0.0105863	0.01832	0.000376407	0.00270144	0.0030282	0.00101443	0.00174658
á	0.0597714	0.479222	0.244533	0.0156963	0.00361617	0.0247813	0.0214468	0.018865	0.0148857	0.0743296	0.0428528
á	0.0578213	0.496328	0.114748	0.0314078	0.00700528	0.0297395	0.0227964	0.0115065	0.00718859	0.0217348	0.199724
l	0.329652	0.0840464	0.369179	0.0707771	0.0410304	0.0609189	0.0084704	0.0122644	0.00613443	0.000958882	0.0165675
a	0.0653705	0.0184948	0.641402	0.0237648	0.0293162	0.0626893	0.0330454	0.032995	0.0165692	0.000920813	0.0754324
n	0.368591	0.0232735	0.289333	0.202643	0.0674958	0.0207699	0.00392143	0.00706742	0.00464718	0.00249408	0.0097639
g	0.0737052	0.000333477	0.0456629	0.102726	0.763347	0.00549707	0.00118964	0.00262686	0.0016742	0.000305737	0.00293154
ó	0.015367	0.00343861	0.0572908	0.121732	0.790153	0.00496037	0.00252054	0.000852671	0.000800879	0.000266528	0.00261794
o	0.0232485	0.0106301	0.134044	0.157187	0.563184	0.0766241	0.0109945	0.0123165	0.00687194	0.00187223	0.003027
á	0.0261621	0.000822855	0.249431	0.174611	0.095669	0.392133	0.0279885	0.0243908	0.00665397	0.000930176	0.00120739
k	0.00514719	0.00112932	0.0767693	0.00785217	0.0395144	0.168577	0.670681	0.0230247	0.00339626	0.000371206	0.00353811
í	0.000667622	0.000129287	0.0616377	0.00331509	0.000617354	0.0301447	0.868756	0.024647	0.00496092	0.000393103	0.00473104
n	0.000786091	0.000249713	0.0226517	0.00714186	0.000652597	0.0477732	0.881487	0.028116	0.0050835	0.00161955	0.00443866
d	0.00397364	0.000284384	0.0722423	0.105734	0.00626904	0.0920417	0.580715	0.0924938	0.0275534	0.00247094	0.0162216
í	0.0134367	0.000355071	0.0929595	0.0990822	0.00775564	0.108626	0.419233	0.165497	0.0641215	0.00516891	0.023765
m	0.0051682	0.000338435	0.0626525	0.100591	0.00619477	0.287744	0.0280657	0.334346	0.155826	0.0100897	0.00898283
á	0.0018093	4.57623e-05	0.0023495	0.22122	0.000335589	0.0487701	0.00134553	0.0290268	0.0714184	0.611949	0.0117293
s	0.00302398	0.000170331	0.0155488	0.0856936	0.000698284	0.0887322	0.0180313	0.229648	0.307907	0.234341	0.0162049
á	0.00549931	0.000130557	0.00566268	0.0495722	0.00136617	0.0323688	0.0211875	0.276936	0.390542	0.157273	0.059462
b	0.00641872	0.000246114	0.0120717	0.0417235	0.00178675	0.0302233	0.0133497	0.136409	0.387749	0.18885	0.181172
i	0.0125158	5.70251e-05	0.00749413	0.0230469	3.73821e-05	0.00964359	0.00527431	0.0425524	0.0498276	0.844615	0.00493628
r	0.00101183	8.5509e-06	0.000748192	0.00688164	1.87265e-05	0.00343525	0.0139749	0.0836383	0.104194	0.753215	0.0328739
á	0.000791132	5.33888e-05	0.00475424	0.00956147	7.97533e-05	0.0160676	0.0802266	0.197743	0.357243	0.0521461	0.281334
</S>	0.00149563	7.27614e-06	0.0035998	0.00480492	0.000175115	0.018724	0.00753056	0.109647	0.356396	0.0844975	0.413122
