 	ton	enfant	est	blessé	</S>
m	0.661381	0.309345	0.0196265	0.00885841	0.000789938
w	0.00185827	0.981574	0.0130391	0.000218444	0.00330979
á	0.00065137	0.999281	2.53271e-05	2.95773e-05	1.27715e-05
n	0.155065	0.832228	0.001239	0.000153128	0.011315
a	0.0495121	0.87322	0.0077419	0.000213082	0.0693132
y	0.795648	0.0787236	0.104655	0.00704133	0.0139326
a	0.362177	0.245617	0.237196	0.023427	0.131583
n	0.883265	0.0562466	0.0415092	0.00346634	0.0155126
ω	0.87368	0.118541	0.00601718	0.000309899	0.00145199
a	0.00740786	0.0116405	0.915206	0.026961	0.0387841
d	0.041451	0.0132604	0.586024	0.303645	0.05562
í	0.00796707	0.00602179	0.114725	0.0284881	0.842798
o	0.0400063	0.00746826	0.123337	0.428753	0.400435
k	0.00292954	0.00122086	0.0650156	0.811641	0.119193
ώ	3.2711e-05	6.03806e-05	0.0031904	0.979687	0.0170295
s	0.00185335	0.000666914	0.0340617	0.882839	0.0805792
ώ	0.0342223	0.00266394	0.124878	0.549891	0.288345
k	0.0149522	0.000751434	0.0742165	0.222415	0.687665
ω	0.0486684	0.00302782	0.0366242	0.529861	0.381819
s	0.00526899	0.000667042	0.00866214	0.388999	0.596402
ω	0.00670895	0.000862543	0.0508142	0.450401	0.491213
</S>	0.0500909	0.00165047	0.0576295	0.0372547	0.853374
