 	je	lui	ai	avancé	l'	argent	du	voyage	</S>
n	0.746924	0.153399	0.0477055	0.00808618	0.028582	0.00731354	0.00673685	0.000981053	0.000272156
g	0.928949	0.0106979	0.0494493	0.000749866	0.00804753	0.00171509	0.000243446	0.000132176	1.5247e-05
á	0.943781	0.010939	0.036247	0.00199365	0.00462923	0.00200223	0.000188033	0.000211502	7.93375e-06
i	0.0769816	0.273609	0.299683	0.036707	0.0423069	0.0307237	0.0313235	0.0184995	0.190166
m	0.0186056	0.278087	0.0715606	0.387705	0.0482571	0.0546333	0.0222813	0.0374303	0.0814397
í	0.00140418	0.28079	0.318208	0.187191	0.0301894	0.131651	0.0099364	0.0102807	0.0303496
b	0.0184161	0.461156	0.169014	0.182997	0.0441168	0.0405645	0.0114305	0.0202517	0.0520529
á	0.012615	0.189376	0.151091	0.363581	0.0688668	0.116557	0.00965158	0.0765668	0.0116951
á	0.0900788	0.215484	0.421299	0.162558	0.0322929	0.0231819	0.00818007	0.0076308	0.0392946
n	0.018861	0.109763	0.418569	0.222561	0.172895	0.0234172	0.0190379	0.0032956	0.0115997
d	0.0550979	0.0515382	0.49055	0.0917608	0.13851	0.0930488	0.0122108	0.00553086	0.0617525
á	0.0321802	0.0475879	0.377952	0.178547	0.254088	0.0744154	0.00716875	0.00345189	0.0246091
ω	0.00164198	0.0590246	0.101399	0.20436	0.409624	0.083853	0.0598547	0.0114353	0.0688072
p	0.000227761	0.0101777	0.0308665	0.646259	0.208855	0.0586847	0.0208586	0.0194198	0.00465167
έ	3.04416e-05	0.00937209	0.00938214	0.78477	0.0501806	0.0117904	0.029654	0.0446734	0.0601475
w	0.000835754	0.0444142	0.0956598	0.448514	0.154499	0.0225763	0.0494168	0.0218697	0.162215
a	0.00355129	0.036052	0.066176	0.538396	0.13313	0.0243487	0.0573082	0.00859167	0.132447
m	0.00238959	0.0125015	0.07522	0.0602205	0.269294	0.19782	0.273351	0.0291785	0.0800256
b	0.000640203	0.00444382	0.0134345	0.00726963	0.0388485	0.752458	0.0271447	0.0462646	0.109496
ώ	7.96737e-05	0.000301779	0.00226315	0.00630211	0.0347843	0.734681	0.0171538	0.164657	0.0397774
n	1.03611e-05	0.00140672	0.00206331	0.0107793	0.0281836	0.825615	0.0427352	0.0405067	0.0486993
g	0.00048465	0.00540493	0.00907283	0.0381637	0.209568	0.40505	0.151152	0.0640265	0.117077
ω	0.00273291	0.00288343	0.00978073	0.0203487	0.115951	0.621035	0.0494498	0.0321804	0.145638
y	0.000298739	0.00475443	0.011655	0.0123313	0.144193	0.0928328	0.536047	0.0615161	0.136371
á	0.00388459	0.0438928	0.127822	0.050297	0.179853	0.0953131	0.317561	0.0864441	0.0949321
o	0.0147916	0.0278492	0.23959	0.00785757	0.127881	0.0156691	0.372102	0.156972	0.0372878
b	0.000128547	0.00273871	0.00649921	0.00758586	0.0168379	0.0124556	0.0948266	0.803249	0.0556788
h	2.63674e-05	0.00328638	0.00199739	0.00527992	0.0132419	0.0180081	0.0591724	0.870421	0.0285662
é	7.09773e-06	0.000807671	0.000310562	0.00138486	0.00398021	0.0096292	0.0135206	0.936934	0.0334262
m	5.62406e-05	0.000577983	0.000723083	0.00248465	0.00812125	0.0122983	0.110483	0.667287	0.197969
b	0.00040123	0.00057196	0.00070775	0.000925112	0.00804732	0.0794467	0.0711801	0.669797	0.168923
á	0.00151719	0.00243462	0.00139326	0.00394793	0.00916552	0.0703227	0.0242324	0.576964	0.310022
o	0.000743819	0.0214545	0.0241698	0.0216808	0.0693215	0.0566221	0.225749	0.164827	0.415431
b	9.5295e-05	0.00378263	0.00738565	0.0135872	0.0459807	0.0173663	0.26845	0.309314	0.334038
o	3.043e-05	0.00220522	0.00154878	0.00626853	0.0148645	0.0188825	0.152453	0.691755	0.111992
s	5.89332e-06	0.000502945	0.000227249	0.00145968	0.00355696	0.00434671	0.0605151	0.483658	0.445728
ó	0.000147058	0.000670647	0.000878749	0.00272861	0.0102441	0.00871955	0.153902	0.473646	0.349063
</S>	8.81313e-05	0.00150055	0.00367967	0.00497302	0.0133638	0.00800731	0.1175	0.0935789	0.757308
