 	quand	il	rit	il	couvre	sa	bouche	avec	la	main	parce	qu'	il	a	perdu	des	dents	</S>
w	0.59107	0.194631	0.174675	0.0134228	0.00452178	0.00831818	0.00518741	0.00294828	0.00190729	0.000607823	0.000699379	0.000754282	0.000406377	0.000300687	0.000138787	0.000383199	2.23401e-05	5.60173e-06
a	0.487403	0.381311	0.0378885	0.0538138	0.00177226	0.0175861	0.00959313	0.00218194	0.00305707	0.000739232	0.0020809	0.000209082	0.000426081	0.000278045	0.00011596	0.000343218	0.00119245	8.3227e-06
w	0.123341	0.443789	0.189578	0.146184	0.00212432	0.0182729	0.0157288	0.0119113	0.0125121	0.00207107	0.0104113	0.0065348	0.00687797	0.00326079	0.00159592	0.00244408	0.00230948	0.00105322
á	0.0650269	0.0982764	0.108039	0.115843	0.00930343	0.0697298	0.0184314	0.0926768	0.0601863	0.081792	0.0915958	0.0370313	0.053523	0.0215261	0.011537	0.0125684	0.0141301	0.038784
á	0.0997375	0.104509	0.255263	0.0311622	0.00829139	0.0330262	0.019193	0.0365529	0.0202295	0.0206504	0.0354348	0.0270809	0.0299466	0.0223423	0.018618	0.0102044	0.0147209	0.213038
l	0.193812	0.338499	0.200406	0.0857046	0.00881003	0.0285083	0.01145	0.0165106	0.0152194	0.0103851	0.00584704	0.00424716	0.00851755	0.0114059	0.00914846	0.0142313	0.00917197	0.0281254
á	0.186047	0.193351	0.149738	0.127402	0.00981544	0.056175	0.0224098	0.0266346	0.0201164	0.00790554	0.0145818	0.0124219	0.0235128	0.0221266	0.0115703	0.0151597	0.00341566	0.0976171
a	0.172923	0.521945	0.184835	0.0242048	0.00230731	0.00934324	0.00541537	0.00492446	0.00418868	0.00155436	0.0158417	0.0141333	0.00878658	0.00428761	0.00197469	0.00304688	0.00311206	0.0171767
d	0.132837	0.193881	0.283126	0.115136	0.121763	0.0138347	0.00522349	0.0114838	0.00967453	0.0134853	0.00805224	0.00271821	0.00985918	0.0100079	0.0130832	0.00386124	0.0140229	0.0379511
z	0.011998	0.0532906	0.121207	0.133622	0.353359	0.0449153	0.00305805	0.0260322	0.0217212	0.0131236	0.0102868	0.00224455	0.0145809	0.0227116	0.029996	0.00645724	0.00592835	0.125468
ε	0.0653042	0.132104	0.361901	0.265597	0.0585723	0.0357548	0.00318605	0.0199501	0.0154482	0.00303435	0.00627552	0.00138566	0.00415465	0.00415112	0.00453667	0.00166116	0.00202554	0.0149571
í	0.00886558	0.0909899	0.0683565	0.2777	0.0785901	0.0909205	0.0113133	0.0414703	0.0304799	0.0129346	0.0103879	0.0108734	0.0128966	0.0225538	0.0204075	0.0349682	0.0184175	0.157875
w	0.0567636	0.192563	0.0595265	0.365625	0.138275	0.0527585	0.015983	0.0174294	0.0175438	0.0105785	0.00784089	0.00645678	0.00738175	0.00966959	0.00817159	0.0142619	0.0053286	0.0138428
a	0.0422052	0.129789	0.134677	0.0807665	0.0158726	0.0579783	0.0254347	0.0444067	0.0326762	0.0422231	0.122367	0.0675582	0.0625583	0.0347839	0.0435113	0.0195968	0.0100447	0.0335509
l	0.00848835	0.0670132	0.13172	0.264812	0.100879	0.0643205	0.0306347	0.0372361	0.0238086	0.024395	0.0343255	0.0250878	0.0251721	0.0223372	0.0175869	0.024615	0.0296644	0.0679046
á	0.00723034	0.0123344	0.014228	0.0427816	0.134664	0.0838712	0.0317711	0.0437475	0.0371347	0.059301	0.0529701	0.0230016	0.0476491	0.0616935	0.0604173	0.0398342	0.0455203	0.20185
a	0.0116592	0.0392938	0.030116	0.114794	0.24848	0.0655703	0.0440975	0.0389001	0.0270195	0.0329378	0.0380323	0.0205866	0.0255317	0.0300057	0.0285503	0.0277173	0.0858318	0.090877
k	0.00139684	0.00453214	0.003442	0.0482645	0.845145	0.0220736	0.00955901	0.013214	0.00669065	0.0123795	0.00267751	0.000781715	0.00259587	0.00404309	0.00577742	0.00141523	0.00700279	0.00900941
a	0.000235989	0.00125767	0.000840073	0.00924451	0.898232	0.0261046	0.00272818	0.00916822	0.00561211	0.0165582	0.00485968	0.000955769	0.00182822	0.00307029	0.00734476	0.00101218	0.00242559	0.00852243
n	0.000172763	0.00147545	0.00299244	0.0164486	0.869151	0.0215617	0.00373575	0.0118006	0.0056754	0.00729573	0.00225664	0.00086446	0.00145274	0.00270557	0.00739928	0.00222378	0.00296137	0.0398271
á	0.00299177	0.00521783	0.00726709	0.0557036	0.377634	0.137923	0.0717783	0.0614609	0.0360594	0.0296181	0.0407961	0.0192345	0.016909	0.0208733	0.0263351	0.00781447	0.00688921	0.0754945
e	0.0190244	0.0410034	0.0269768	0.179567	0.0949041	0.253931	0.0484859	0.171054	0.0525259	0.0294489	0.0168898	0.0219118	0.010796	0.00588949	0.0043544	0.00431562	0.00135636	0.0175654
