 	ajoute	du	sel	dans	la	soupe	</S>
n	0.949874	0.0415085	0.00396879	0.00227689	0.0019093	0.000437361	2.55022e-05
y	0.961035	0.0348423	0.000380886	0.00301145	0.000507392	7.97215e-05	0.000143293
á	0.964447	0.0281049	0.00350223	0.00217367	0.000600695	0.00065913	0.000511818
á	0.530364	0.294109	0.00876252	0.0185045	0.0104558	0.00854038	0.129264
s	0.106184	0.713768	0.0502639	0.0523329	0.0149502	0.00469956	0.057802
á	0.0472183	0.789869	0.0319294	0.0482974	0.00676825	0.0197635	0.0561545
ω	0.06608	0.676415	0.128004	0.0319698	0.0530721	0.0210262	0.0234326
k	0.0744567	0.0738266	0.828146	0.0186688	0.00168625	0.000683702	0.00253255
w	0.00307572	0.014526	0.970418	0.00747934	0.000895508	0.000162605	0.00344295
á	0.025211	0.0956986	0.779792	0.0704247	0.0113602	0.00179449	0.0157187
s	0.00251127	0.0710181	0.135062	0.331106	0.252226	0.0589301	0.149147
á	0.00372789	0.0611504	0.0809764	0.359301	0.22048	0.211411	0.0629537
s	0.0035127	0.0262495	0.0137303	0.104844	0.364543	0.448665	0.0384554
ú	0.00204128	0.00887104	0.00196275	0.0859244	0.139235	0.734606	0.0273602
b	0.00102522	0.00483702	0.00139668	0.110921	0.122285	0.656613	0.102922
h	0.00144175	0.0373782	0.0360468	0.159108	0.409306	0.0789785	0.277741
u	0.00405397	0.0158397	0.0104324	0.242878	0.35703	0.105987	0.263779
</S>	0.000179854	0.00418421	0.000990899	0.0928847	0.276994	0.0375164	0.58725
