 	la	femme	prépare	de	la	viande	boucanée	</S>
o	0.965722	0.0196269	0.000106784	0.00734106	0.00427571	0.0025348	0.000151354	0.000241074
y	0.269939	0.712742	0.0122056	0.00086037	0.000372429	0.000957018	0.00227675	0.000647096
u	0.292925	0.690195	0.000647879	0.000458414	0.00133925	0.00259466	0.0116414	0.000197909
r	0.393314	0.515437	0.000515566	0.00205305	0.00925445	0.01654	0.0518711	0.0110144
u	0.819397	0.126096	0.00283234	0.0152697	0.00974093	0.00732859	0.0116614	0.00767352
l	0.403578	0.25238	0.149634	0.0544718	0.0194366	0.0109082	0.0156784	0.0939141
á	0.305428	0.0455462	0.167217	0.111247	0.0262123	0.0919395	0.0153691	0.237041
a	0.595242	0.0260134	0.115212	0.107816	0.0509424	0.021702	0.0154552	0.0676172
l	0.00805615	0.00386578	0.981709	0.00217616	0.00125271	0.000115979	0.000636367	0.00218771
á	0.00180665	0.000703865	0.989211	0.00169937	0.00229279	0.000250872	0.000613619	0.00342159
m	0.0595988	0.00160653	0.791989	0.0657384	0.0376162	0.010041	0.0077333	0.0256769
b	0.0175206	0.000580716	0.113686	0.669461	0.0947551	0.0524888	0.0124552	0.0390529
á	0.00979833	0.000505918	0.188855	0.426003	0.106408	0.0228645	0.0327618	0.212803
n	0.0058852	0.00077312	0.0138832	0.592558	0.239538	0.12748	0.0105069	0.00937448
g	0.000866044	0.000273788	0.000796455	0.214386	0.365841	0.309712	0.0872211	0.0209039
w	0.0015984	0.00140183	0.00183758	0.0954315	0.357541	0.175057	0.361569	0.00556397
έ	0.000176796	0.000228236	0.000721799	0.0726479	0.635171	0.00170649	0.197427	0.0919206
m	0.000245348	1.20485e-05	0.00230746	0.13817	0.70492	0.00565933	0.0230936	0.125592
b	0.000381838	5.71304e-05	0.00017683	0.198913	0.449229	0.02072	0.111306	0.219216
ε	0.00147935	6.40569e-05	0.000311218	0.0959192	0.680664	0.00631188	0.056967	0.158284
y	0.0117189	9.12367e-05	0.000348747	0.355196	0.245977	0.0948598	0.0606362	0.231172
a	0.0124672	0.000757675	0.000684578	0.0968422	0.19173	0.490816	0.144565	0.0621376
o	0.0133101	0.00116184	0.000880524	0.0277068	0.18964	0.458872	0.209241	0.0991876
w	0.00229386	0.000800519	0.0194904	0.0137606	0.1729	0.0336449	0.514271	0.242839
ó	0.00647402	0.000484006	0.00770478	0.0152876	0.191305	0.00673977	0.576447	0.195558
m	0.000311863	4.279e-05	0.00703968	0.00755078	0.0717932	0.0109674	0.279228	0.623067
í	0.00412058	0.000961348	0.000315513	0.0363119	0.127299	0.0504098	0.488866	0.291716
í	0.0080899	0.000148173	0.00137524	0.0243853	0.0323691	0.151278	0.141838	0.640516
</S>	0.0369063	0.00388604	0.0206591	0.0688155	0.0954733	0.272089	0.16432	0.33785
