 	je	m'	en	vais	assister	à	la	danse	</S>
n	0.6658	0.204077	0.0726949	0.0159888	0.0193847	0.00703379	0.0110165	0.00283863	0.00116549
g	0.852719	0.146	0.000651659	0.00049881	1.91334e-05	1.86191e-05	6.00602e-05	2.52297e-05	7.44358e-06
á	0.444209	0.410449	0.0462267	0.0943242	0.00265505	0.00078434	0.000582056	0.00074149	2.80437e-05
í	0.0139546	0.300826	0.283958	0.16278	0.0549782	0.0275371	0.0308244	0.0143636	0.110779
m	0.00937128	0.0589301	0.330769	0.546659	0.0198452	0.00687001	0.00235296	0.00939146	0.0158116
o	9.29175e-05	0.0136517	0.418548	0.391465	0.109717	0.0261365	0.0119831	0.00548448	0.0229217
d	0.000456899	0.00737297	0.103883	0.786433	0.0552089	0.00665308	0.00230538	0.00654815	0.0311383
z	0.000195659	0.00412909	0.307482	0.617869	0.0469318	0.00772056	0.00127077	0.00235679	0.0120446
w	0.0120478	0.0100476	0.0680907	0.880082	0.026316	0.00172406	0.000223651	0.000390847	0.00107691
á	0.00112865	0.0143523	0.0704384	0.497335	0.249678	0.100193	0.0251452	0.00686706	0.0348627
o	0.000966762	0.0410989	0.0880325	0.161943	0.431054	0.13885	0.0914879	0.0250046	0.0215611
t	0.000178653	0.00329192	0.0392674	0.226308	0.481514	0.144607	0.0293614	0.0589192	0.0165519
á	2.48598e-05	0.00189015	0.0493147	0.173527	0.574601	0.106479	0.0169547	0.0394425	0.0377671
á	0.000196395	0.00590636	0.0788695	0.0606898	0.414754	0.203303	0.0547213	0.0303646	0.151195
i	0.00104626	0.0166461	0.0197645	0.0229796	0.180682	0.417873	0.276549	0.0433168	0.0211425
b	0.000129822	0.00202964	0.0067979	0.0115524	0.0853844	0.279407	0.16042	0.215322	0.238957
í	9.29431e-05	0.00298745	0.0118881	0.00565291	0.0475797	0.225364	0.123212	0.50812	0.0751031
n	7.51423e-05	0.00111863	0.00112701	0.000919705	0.0106367	0.0692068	0.0458434	0.750108	0.120965
a	0.000102186	0.00213856	0.00859577	0.00623507	0.0608468	0.357506	0.210736	0.183499	0.170341
</S>	9.23716e-05	0.0028687	0.00688141	0.00362998	0.0437377	0.169745	0.315623	0.160313	0.29711
