 	le	soleil	a	fait	éclater	le	pneu	du	véhicule	de	tsimba	</S>
m	0.729089	0.235482	0.0126046	0.0030972	0.00298404	0.00706572	0.00118851	0.00530813	0.00111129	0.00142118	0.00052994	0.000117884
w	0.0530247	0.911543	0.0207035	0.00336901	0.00654191	0.000752052	0.000129202	0.000229482	0.000671523	0.00089591	0.000445305	0.00169471
é	0.00701028	0.987089	0.000904857	0.000788593	0.00157157	0.000524872	0.00144546	7.34883e-05	0.000218714	1.31125e-05	0.0002873	7.23919e-05
s	0.188717	0.583022	0.0766331	0.055453	0.034748	0.0352584	0.00154599	0.00496661	0.00160172	0.0058984	0.000549973	0.0116058
é	0.114742	0.730306	0.0357749	0.0238434	0.0446867	0.00568491	0.0026296	0.00220464	0.0016264	0.00205225	0.00290103	0.0335485
ó	0.265121	0.0336735	0.379327	0.188107	0.0676687	0.0305224	0.000483478	0.0139069	0.000418493	0.0159424	0.000503778	0.00432577
l	0.00664708	0.00131882	0.035366	0.177157	0.737704	0.0209929	0.00811883	0.00407063	0.00368323	0.00174047	0.00105545	0.00214497
ó	0.00299223	0.0021926	0.0227569	0.164822	0.750102	0.0199366	0.00300231	0.00190851	0.0022225	0.00253325	0.00350946	0.0240216
n	0.00838935	0.00263754	0.0167975	0.0690718	0.780821	0.0434999	0.0261856	0.00843719	0.0091886	0.00621579	0.00832838	0.0204274
d	0.0656134	0.00458129	0.0475462	0.0970914	0.333195	0.168954	0.17183	0.0220505	0.0426065	0.0121097	0.0101607	0.0242625
z	0.0355804	0.010492	0.0523221	0.0873754	0.162461	0.16277	0.221837	0.0174071	0.0926229	0.0142611	0.0398779	0.102993
i	0.0643867	0.0293789	0.0756555	0.121284	0.191401	0.139707	0.0703317	0.0205712	0.102431	0.0125859	0.0231347	0.149132
s	0.0403359	0.0041607	0.152102	0.185782	0.0367326	0.453977	0.00978899	0.0443856	0.00536676	0.0254493	0.00248235	0.0394366
i	0.0917017	0.00977066	0.0100254	0.0624213	0.0740485	0.362355	0.118384	0.0461599	0.060858	0.0216026	0.104862	0.0378114
e	0.018027	0.00118781	0.0397455	0.0571059	0.00582103	0.642757	0.0182147	0.15221	0.00516088	0.034235	0.00463172	0.0209034
k	0.00140668	0.000525067	0.00257869	0.00348783	0.00987945	0.0836485	0.731555	0.0346532	0.0789574	0.0037703	0.0335974	0.0159403
o	0.000276548	1.23357e-05	0.00017716	0.000962169	0.0015885	0.0230134	0.850288	0.0342448	0.0740436	0.001047	0.0111285	0.00321836
o	0.000186648	0.000111819	0.000261432	0.00283067	0.0050557	0.0246092	0.688794	0.0658446	0.205246	0.00229758	0.00148224	0.00328068
y	0.00082854	0.000127707	0.00292641	0.00383834	0.000460681	0.0623562	0.0269424	0.737413	0.0865401	0.0598289	0.00267786	0.0160601
á	0.081986	0.009409	0.0203164	0.0143183	0.00580209	0.0323091	0.0474149	0.201443	0.243772	0.136774	0.131152	0.0753035
o	0.0271818	0.00241258	0.0120369	0.016136	0.00298896	0.0417011	0.0245016	0.41955	0.0696403	0.17701	0.189168	0.0176734
t	0.000414542	6.43976e-05	0.000695048	0.000755842	0.000912364	0.00436515	0.133153	0.0524484	0.21937	0.0482504	0.517543	0.0220283
ω	0.000118129	0.00012047	0.000254292	0.00114094	0.00138025	0.00160618	0.233181	0.0464344	0.532735	0.00747707	0.157195	0.0183574
m	2.60052e-05	3.80343e-05	5.46441e-05	0.000379044	0.00116607	0.00235025	0.0297246	0.0988588	0.805438	0.0163352	0.0236787	0.0219505
b	0.000150023	3.86972e-05	7.4095e-05	0.000206352	5.91574e-05	0.00177297	0.00262958	0.0360986	0.253029	0.106568	0.0850725	0.514301
í	0.000399243	0.000262142	0.000188347	0.000528717	0.000832595	0.00316062	0.0132727	0.0363868	0.379608	0.0380868	0.0671392	0.460135
l	0.00218026	0.000910733	0.000991366	0.00117252	0.0011708	0.00761214	0.00624578	0.103963	0.0604419	0.268426	0.196244	0.350642
i	0.000768008	0.000443445	0.000506346	0.00213999	0.00554436	0.00945406	0.0316176	0.0592987	0.107401	0.124118	0.466893	0.191815
m	0.000297596	5.48971e-05	0.000442254	0.00105526	0.00108687	0.00435073	0.000804133	0.0271052	0.00279276	0.239858	0.358651	0.363501
á	0.00966138	0.00893568	0.0218554	0.00506335	0.000119075	0.0139086	0.000790411	0.0589992	0.00447444	0.503364	0.196257	0.176571
t	0.00519227	0.00105452	0.00556215	0.00429605	0.000304796	0.0104513	0.00111358	0.0298957	0.00172487	0.169527	0.640516	0.130362
s	0.00103608	0.000312616	0.000434305	0.00115941	0.000354396	0.00266526	0.00415093	0.0105942	0.007425	0.020019	0.917206	0.0346424
i	0.000333518	1.31468e-05	4.70497e-05	0.000202263	0.000160681	0.000262386	0.00138286	0.00301768	0.0109243	0.0112477	0.949136	0.0232719
m	0.000192168	0.000117967	3.69038e-05	7.7881e-05	0.000258955	0.000400701	0.00191774	0.00523452	0.0118636	0.0339178	0.675165	0.270816
b	0.000313235	4.37797e-05	0.000199218	0.000507423	0.00014029	0.0011356	0.000170731	0.00332673	0.0040011	0.0736338	0.480962	0.435566
a	0.00124428	0.000220964	0.000235141	0.000837328	0.000386684	0.000622301	0.000810101	0.000990667	0.00125086	0.00972308	0.432089	0.55159
</S>	0.000550171	0.000198027	0.000252882	0.000697324	0.000870594	0.00269705	0.00279558	0.0197424	0.00533407	0.139406	0.263973	0.563483
