 	le	village	est	maussade	à	cause	des	décès	successifs	</S>
p	0.685904	0.234237	0.0139894	0.00203594	0.0297392	0.00823037	0.0113877	0.0100482	0.00424899	0.000179266
o	0.0220412	0.969671	0.00260724	0.00136031	0.000954122	0.00120428	0.000528262	0.000856726	0.00020061	0.000575848
o	0.000916061	0.98522	0.00246967	0.00343454	0.000634001	0.00452019	0.00108447	0.000310838	0.000293014	0.00111763
é	0.457968	0.032581	0.385129	0.00423447	0.0464347	0.0133057	0.0141712	0.0215155	0.00440093	0.0202598
b	0.128095	0.0443851	0.636435	0.0125681	0.0236471	0.0325782	0.0270686	0.0412281	0.00113079	0.0528644
h	0.0324086	0.00773977	0.460022	0.0689086	0.0975887	0.173951	0.0804376	0.0343626	0.015568	0.0290136
í	0.0760063	0.00836559	0.223174	0.0452077	0.18152	0.221205	0.116088	0.0505297	0.0169857	0.0609176
d	0.0893145	0.00975827	0.239976	0.154237	0.181043	0.14057	0.0525861	0.0214932	0.0118784	0.0991439
z	0.0207666	0.000380095	0.0856212	0.511429	0.0821945	0.0714883	0.0289743	0.00339932	0.00263043	0.193116
ω	0.00332397	0.000801488	0.0127554	0.855636	0.0289964	0.0552694	0.0137473	0.00130991	0.000931287	0.0272285
r	0.00158344	0.000555772	0.0460324	0.573251	0.161396	0.0960411	0.0545438	0.0106927	0.0168239	0.0390797
ω	0.00229182	0.000569854	0.034964	0.689542	0.0962952	0.0762588	0.0326663	0.00230872	0.000860413	0.0642434
r	0.0113001	0.00012477	0.0947997	0.171878	0.507141	0.111131	0.054215	0.00407971	0.00407867	0.0412521
ω	0.0297704	9.46277e-05	0.112526	0.343272	0.241631	0.0845216	0.0788378	0.00681312	0.00174537	0.100788
e	0.0096584	0.00026119	0.0887317	0.23299	0.399613	0.125128	0.0802227	0.00457781	0.00149935	0.0573178
k	0.00885693	0.00193666	0.0646471	0.0652377	0.0568758	0.297923	0.255691	0.144454	0.0423051	0.0620727
í	0.00219263	0.00134791	0.01865	0.0457002	0.0168097	0.366101	0.146454	0.124454	0.196291	0.0820003
i	0.0024527	0.00108504	0.0169218	0.023831	0.0247833	0.250495	0.0908268	0.112425	0.1824	0.294779
d	0.00168405	9.95811e-05	0.0181628	0.00961604	0.0340599	0.0997976	0.279157	0.317505	0.0747172	0.165201
z	0.0012913	2.48104e-05	0.0111444	0.0138612	0.0091121	0.0442843	0.0948097	0.0402204	0.0190568	0.766195
a	0.0091134	0.000436047	0.0110007	0.151418	0.0269071	0.106633	0.21302	0.0979281	0.0342694	0.349275
a	0.000554018	2.60994e-05	0.00244925	0.00774994	0.0074079	0.0229052	0.102355	0.100643	0.0699832	0.685926
i	0.00390929	6.60514e-05	0.0524827	0.00171557	0.021018	0.0122432	0.0548659	0.383889	0.0499097	0.4199
b	0.010814	0.00104942	0.0865868	0.014441	0.0152007	0.0430735	0.0431111	0.157252	0.179514	0.448957
e	0.00331262	0.000148402	0.0319986	0.00248146	0.0095306	0.0215417	0.0328052	0.141466	0.642262	0.114454
m	0.000203775	3.59754e-05	0.00405484	0.00344857	0.00158717	0.0105359	0.0331364	0.126746	0.481855	0.338397
b	0.00134317	3.61994e-06	0.00330967	0.0024235	0.00898477	0.0119158	0.0641338	0.0567379	0.651379	0.199768
e	0.00281155	2.68389e-05	0.00295081	0.014994	0.0105441	0.0106305	0.0267015	0.00648333	0.400158	0.524699
</S>	0.00396234	0.000196297	0.0176365	0.0132104	0.0209027	0.0249831	0.0400564	0.0845859	0.0783738	0.716093
