 	la	pointe	est	bien	enfoncée	</S>
t	0.414765	0.559132	0.0175706	0.00707961	0.00120046	0.000252047
s	0.065978	0.916215	0.00556166	0.00462754	0.00684728	0.000771031
έ	0.0502642	0.931566	0.00333123	0.00256279	0.0105469	0.00172927
r	0.196778	0.574647	0.0191773	0.0145224	0.0187951	0.17608
έ	0.140683	0.716183	0.0343452	0.0192212	0.00366889	0.0858988
a	0.0697044	0.103274	0.704859	0.0658856	0.00657374	0.0497037
d	0.041772	0.0161207	0.660073	0.153819	0.0410204	0.0871944
í	0.0355712	0.00821113	0.50178	0.0516464	0.00242109	0.40037
o	0.0377184	0.00587261	0.309566	0.269415	0.0923354	0.285093
k	0.00228055	0.00117246	0.031599	0.20786	0.725766	0.0313222
w	0.000110924	0.000242845	0.00149504	0.014918	0.978525	0.00470798
έ	0.000873454	0.00885196	0.006122	0.0369917	0.926761	0.0204004
r	0.00242477	0.00273247	0.0257463	0.22347	0.588768	0.156858
έ	0.0635176	0.0120287	0.03453	0.337936	0.48312	0.0688675
k	0.00338178	0.00231924	0.0342443	0.228329	0.297179	0.434547
w	0.0234984	0.0181358	0.0294907	0.185995	0.614743	0.128138
ε	0.0166925	0.0159317	0.0195854	0.101418	0.82615	0.0202227
r	0.00724455	0.00700654	0.0249907	0.204818	0.405488	0.350452
ε	0.0173798	0.00790042	0.0159595	0.216238	0.35505	0.387473
</S>	0.0249731	0.00211125	0.0501223	0.115069	0.013819	0.793906
