 	va	me	chercher	une	canne	à	sucre	afin	que	je	la	suce	</S>
d	0.719392	0.104733	0.00310728	0.0123801	0.0159373	0.0616842	0.0491041	0.0141155	0.00657856	0.00615699	0.00602717	0.00059821	0.000185283
z	0.734161	0.187428	0.0128357	0.00914527	0.0111295	0.00263742	0.000816173	0.000572673	0.00279458	0.0233014	0.00330202	0.000444858	0.0114314
w	0.936549	0.0480154	0.0101377	0.0010982	0.00165206	0.00012015	0.00023052	5.07004e-05	0.000227288	0.00138529	8.66805e-05	8.12848e-05	0.000365548
a	0.965867	0.0180945	0.00476007	0.00150655	0.00273991	0.00141334	0.000722872	0.000578701	0.000743417	0.00124845	0.000154761	4.10413e-05	0.00212901
á	0.264883	0.0300362	0.0824523	0.0228719	0.00922709	0.019586	0.004372	0.00910299	0.0276552	0.0138611	0.0299612	0.0210033	0.464988
o	0.13762	0.415399	0.294859	0.0403813	0.0112071	0.00844992	0.0023337	0.0064215	0.0155284	0.0091647	0.0148783	0.00888939	0.0348673
y	0.0207986	0.042146	0.884069	0.0327105	0.00465336	0.000874652	0.00362709	0.000316124	0.00103362	0.00176507	0.0018373	0.00154961	0.00461933
é	0.0222666	0.0141407	0.921309	0.0234198	0.00702736	0.000405362	0.00128033	5.28902e-05	0.00071265	0.000901835	0.00109741	0.000414053	0.00697244
n	0.0277935	0.0184839	0.677843	0.0658254	0.0201844	0.00946897	0.00173736	0.00114305	0.0161579	0.00989528	0.0194037	0.00421267	0.12785
g	0.0403179	0.117129	0.554106	0.136304	0.0372865	0.0164004	0.00372508	0.00418881	0.0136885	0.0097117	0.0215601	0.00689724	0.0386856
á	0.102257	0.138158	0.29926	0.165405	0.0840378	0.0400252	0.0128565	0.00251638	0.0147392	0.0233027	0.0240471	0.00124545	0.0921499
n	0.00968841	0.128769	0.0965442	0.280258	0.271857	0.0764343	0.0340541	0.0136095	0.0212007	0.042618	0.0126626	0.00528028	0.00702401
g	0.00146901	0.543115	0.012707	0.0431257	0.0601871	0.0234827	0.00118871	0.000923071	0.00276141	0.293974	0.00537219	0.000301294	0.0113921
á	0.00117272	0.610514	0.013012	0.0268261	0.0455015	0.0105794	0.00233513	0.00047303	0.00175607	0.281846	0.00299244	0.000394569	0.00259688
o	0.00140855	0.00631641	0.0343451	0.195541	0.304078	0.255156	0.0809026	0.0411519	0.0376229	0.0140578	0.017977	0.00402865	0.00741314
k	0.00339501	0.000339286	0.068001	0.128644	0.246343	0.109076	0.37303	0.0274765	0.0117787	0.00468618	0.0156044	0.00831513	0.00330995
o	0.000555234	3.29676e-05	0.0164833	0.0428907	0.0765278	0.0196711	0.821954	0.00679289	0.00268307	0.000336166	0.00390737	0.00346639	0.00469875
ó	0.00034681	0.000102516	0.0219048	0.0447645	0.0670943	0.0315603	0.81343	0.0058623	0.00371547	0.000657228	0.00579714	0.00144596	0.00331892
b	0.00141746	0.00307484	0.0130132	0.043373	0.0895186	0.240996	0.0285762	0.191524	0.197118	0.0637783	0.0933917	0.0136713	0.0205476
a	0.000626435	0.00213564	0.0149807	0.0821939	0.111053	0.0891474	0.200841	0.192312	0.0645874	0.00934985	0.0742943	0.0635405	0.0949378
á	0.000276265	0.00146643	0.00296293	0.0120537	0.0322432	0.0445137	0.0765749	0.340459	0.0979715	0.0640775	0.0703624	0.166364	0.0906738
í	0.000708888	0.00419785	0.00455249	0.00988929	0.0102133	0.0763777	0.0152983	0.142711	0.243562	0.138842	0.217469	0.0783813	0.0577961
b	0.00313065	0.00252673	0.0732955	0.0523683	0.0183355	0.0209997	0.0393788	0.0151945	0.0934463	0.0577458	0.236504	0.358234	0.0288398
h	0.00135226	0.00122784	0.0186797	0.0231573	0.0112755	0.0209239	0.109186	0.0250787	0.065824	0.0254838	0.143917	0.475814	0.0780804
í	0.00139433	0.000926325	0.0157013	0.049543	0.0279065	0.0504159	0.144992	0.0192375	0.0527639	0.0198079	0.105205	0.404306	0.1078
b	0.000408321	0.000441197	0.00700357	0.0115603	0.019045	0.0183514	0.0330463	0.0439727	0.107928	0.0438887	0.0923983	0.451706	0.17025
h	0.000796888	0.00171734	0.000894185	0.00412911	0.0140426	0.0189309	0.112325	0.0566006	0.0271858	0.0852223	0.063909	0.569693	0.0445529
a	0.000322641	0.000325321	0.00167195	0.0108322	0.0305839	0.0455237	0.049954	0.0713475	0.101596	0.0673087	0.0658837	0.323663	0.230987
m	0.000175542	0.00050961	0.000649405	0.00223633	0.0068648	0.0119195	0.00555218	0.0286232	0.111021	0.16601	0.12042	0.317484	0.228534
ú	0.00167888	0.00100065	0.00181951	0.00738584	0.0245645	0.111191	0.0114973	0.292372	0.21027	0.0761733	0.119823	0.0408315	0.101392
a	0.000444073	0.000269338	0.000858629	0.00683114	0.0173191	0.143432	0.00931492	0.0423362	0.222712	0.106032	0.2283	0.0394392	0.182712
</S>	0.000144303	0.000375789	0.00165411	0.00732844	0.00425561	0.024795	0.00378165	0.00892597	0.0833162	0.0819512	0.26814	0.0538604	0.461471
