 	l'	enseignant	a	recalé	cet	enfant	à	l'	examen	</S>
o	0.893141	0.0910841	0.00679248	0.000241141	0.00503239	0.00133996	0.000740789	0.00102653	0.000527355	7.45467e-05
y	0.0340295	0.853086	0.0477606	0.0611627	0.000315932	0.000318489	0.000531815	0.000764127	0.00130617	0.000724627
é	0.103554	0.838699	0.0317886	0.0132918	0.00797322	0.00173961	0.00122926	0.000516765	0.000881532	0.000326141
s	0.103799	0.645746	0.0449138	0.148193	0.0282007	0.00128547	0.0048687	0.00620364	0.00136444	0.0154253
i	0.326168	0.537113	0.10038	0.00731343	0.0155602	0.00109652	0.00471342	0.0036657	0.000356499	0.00363389
i	0.159062	0.379423	0.329512	0.0417943	0.00756698	0.00216385	0.0139101	0.00728175	0.00349226	0.0557941
á	0.0140041	0.026023	0.861899	0.063722	0.00341782	0.00102518	0.00815031	0.00660409	0.000872084	0.014282
k	0.000681286	0.00725568	0.144878	0.83549	0.00211787	0.000313808	0.00251777	0.00159453	0.000732089	0.00441876
ώ	0.000735588	0.00103548	0.0454459	0.938482	0.00172866	0.000264548	0.00337266	0.00210426	0.000736858	0.00609435
n	0.00459119	0.0191537	0.0665078	0.895513	0.00188475	0.000295606	0.00520897	0.0012507	0.00080344	0.00479086
d	0.0136472	0.00370058	0.0577503	0.756707	0.0433348	0.00311308	0.0336254	0.0190604	0.00704003	0.0620218
i	0.0248213	0.0103823	0.0398809	0.616936	0.0881175	0.00892888	0.0555876	0.0352845	0.0213035	0.0987577
s	0.0131353	0.000712928	0.0124386	0.00381839	0.724485	0.197218	0.0189676	0.0167728	0.00382148	0.00862924
i	0.0074834	0.0010292	0.0020086	0.0124704	0.92094	0.0314948	0.00837	0.00634698	0.0037036	0.00615316
m	0.0108005	0.000533119	0.0122532	0.00167422	0.72847	0.165919	0.0431823	0.0274734	0.0010773	0.00861776
w	0.00155474	5.71563e-05	0.000763098	0.000684167	0.172057	0.743798	0.0301734	0.0225511	0.00152275	0.0268381
á	4.93051e-05	1.52764e-05	1.26009e-05	8.83073e-05	0.00428039	0.993814	0.000938884	0.000174165	0.000374329	0.000253289
n	0.0019892	5.59428e-05	0.000227928	0.000216485	0.0767253	0.897802	0.0102776	0.00499527	0.00127844	0.00643136
a	0.00418106	0.00209986	0.000498624	0.000214512	0.120329	0.844278	0.00699128	0.00425718	0.000540619	0.0166096
w	0.00451036	0.00153618	0.017098	0.00321784	0.217676	0.121191	0.462376	0.144361	0.0168803	0.0111525
ó	0.0349423	0.00104432	0.00183197	0.000610077	0.159291	0.0424957	0.204552	0.100444	0.320893	0.133896
e	0.00342468	0.000271549	0.00258724	0.000201446	0.023739	0.0108759	0.365952	0.280082	0.144334	0.168532
k	0.000869619	0.000609542	0.0091461	0.00616888	0.00246323	0.00200943	0.160776	0.197146	0.303042	0.317769
i	0.000184965	0.000227481	0.000518771	0.00548097	0.00108218	0.000614512	0.115801	0.0307485	0.796136	0.049205
d	0.000205469	8.04491e-05	0.000455336	0.00701208	0.00259891	0.00376328	0.245383	0.0910456	0.483986	0.16547
z	5.00479e-05	3.28901e-05	0.000117827	0.0062001	0.00223116	0.000195553	0.0699986	0.073043	0.53471	0.313421
a	0.00156275	0.000239986	0.000292127	0.00571992	0.275229	0.0165742	0.0817339	0.0618298	0.336902	0.219916
m	0.000175244	2.06986e-05	6.1716e-05	0.00168357	0.0109309	0.0025967	0.056435	0.0560842	0.144819	0.727193
i	0.00167411	4.98219e-05	9.46846e-05	1.40402e-05	0.101018	0.0102353	0.141527	0.298745	0.133899	0.312743
</S>	0.00144225	7.59444e-05	0.000705638	0.00122141	0.0148045	0.00509603	0.0682305	0.147507	0.103347	0.657569
