 	il	est	en	train	de	se	moucher	</S>
w	0.875739	0.0580917	0.0369763	0.020087	0.0042555	0.00294215	0.00173095	0.000176976
a	0.774424	0.113205	0.0716871	0.0173818	0.00725281	0.00667257	0.00928893	8.81871e-05
b	0.10409	0.394105	0.392361	0.0572725	0.03038	0.0147339	0.00297673	0.00408091
ó	0.0518735	0.0784479	0.383476	0.437913	0.0257081	0.0110899	0.00252853	0.00896297
l	0.0273701	0.0229267	0.211124	0.692911	0.0170896	0.0125003	0.00107334	0.0150045
á	0.252263	0.117343	0.209606	0.0513125	0.172255	0.075453	0.0236263	0.0981409
a	0.23423	0.195865	0.178776	0.0168645	0.239562	0.0969696	0.0112858	0.0264477
f	0.00804431	0.0839112	0.12564	0.0252538	0.394783	0.309947	0.00450182	0.0479188
ú	0.00829869	0.117242	0.172587	0.0260706	0.300042	0.310692	0.00298719	0.062081
r	0.0164761	0.244161	0.33395	0.00430962	0.110428	0.224403	0.0269431	0.0393286
á	0.0376367	0.197357	0.105209	0.00129495	0.297879	0.245661	0.0352742	0.0796881
a	0.018047	0.061163	0.0315573	0.0026962	0.281974	0.337747	0.237586	0.0292289
n	0.00152662	0.00536746	0.00423508	0.000875512	0.0500621	0.385695	0.492373	0.0598655
g	0.00125456	0.00376155	0.00875773	0.000466325	0.0159841	0.0779636	0.816614	0.0751977
o	0.000277252	0.00101645	0.00386517	0.000327657	0.00635968	0.0227988	0.953961	0.0113941
m	3.89367e-06	3.92869e-05	0.00055396	0.000350428	0.00100568	0.00287665	0.969574	0.025596
b	0.00165694	0.000658191	0.000482736	0.000320924	0.0132721	0.0327602	0.141463	0.809386
á	0.00884633	0.00310462	0.00333109	0.00190438	0.0160895	0.0381368	0.591876	0.336711
a	0.00277745	0.00376723	0.00252189	0.000249409	0.0374084	0.106456	0.110068	0.736752
</S>	0.00333867	0.0220194	0.0132774	0.00103092	0.0385315	0.0888157	0.13987	0.693116
