 	où	avez-vous	les	rencontrés	</S>
b	0.959054	0.0305467	0.0102404	0.000139664	1.95404e-05
í	0.446252	0.455048	0.0950943	0.00296459	0.000641151
n	0.0925143	0.815023	0.0717889	0.00975421	0.0109191
í	0.06681	0.895863	0.0166919	0.00628228	0.0143531
l	0.315549	0.179381	0.084904	0.266944	0.153222
έ	0.0155744	0.0655695	0.102968	0.136802	0.679087
t	0.0162544	0.0315964	0.288891	0.489975	0.173284
έ	0.006959	0.0374179	0.19058	0.618287	0.146756
n	0.151802	0.347155	0.273865	0.108685	0.118492
i	0.261349	0.426447	0.208388	0.0725773	0.0312391
i	0.140513	0.111365	0.560509	0.0554679	0.132145
l	0.0267883	0.152758	0.308244	0.183656	0.328554
a	0.0103496	0.0218423	0.131394	0.0798815	0.756532
b	0.0531046	0.034616	0.157778	0.200273	0.554228
á	0.0353728	0.222605	0.343162	0.282722	0.116138
a	0.0340919	0.300029	0.166755	0.172688	0.326437
ó	0.00587142	0.00353265	0.0762198	0.0347723	0.879604
p	0.0322768	0.0165876	0.360063	0.0686016	0.522471
e	0.00250761	0.0030652	0.072419	0.0528619	0.869146
</S>	0.00877151	0.00186348	0.0680496	0.0288326	0.892483
