 	dès	qu'	il	a	de	l'	argent	il	se	met	à	boire	</S>
w	0.750019	0.153063	0.037434	0.0132872	0.0109328	0.0225902	0.00670465	0.00262884	0.00128225	0.00056771	0.00133089	6.51248e-05	9.40858e-05
á	0.535061	0.178404	0.0520218	0.0290467	0.0129752	0.03354	0.14991	0.00288731	0.00151833	0.000200572	0.00394248	0.000446106	4.73918e-05
á	0.615171	0.161209	0.0818187	0.0330991	0.0183749	0.0153997	0.0467932	0.00833512	0.00210992	0.000624286	0.00126836	0.0129726	0.00282359
w	0.333891	0.203429	0.183151	0.0895858	0.0392153	0.0313456	0.0203383	0.0064841	0.0145899	0.0133122	0.0183015	0.00976116	0.0365958
a	0.0428644	0.126794	0.277419	0.176715	0.0713725	0.059158	0.0290606	0.0785449	0.0632286	0.0233395	0.0128917	0.00500476	0.0336059
a	0.0294508	0.18178	0.417643	0.123139	0.0381287	0.0351402	0.0135327	0.0378914	0.0208147	0.00824273	0.0141185	0.0024151	0.0777029
d	0.00449065	0.0458827	0.239165	0.384767	0.159665	0.0285692	0.00475114	0.0141284	0.0324209	0.0403481	0.0150611	0.0059427	0.0248082
i	0.0125028	0.0370747	0.0977584	0.320541	0.274786	0.0580904	0.00269971	0.0247182	0.0364543	0.0296424	0.0171056	0.00344139	0.0851851
í	0.0111815	0.0241911	0.0383226	0.180844	0.344795	0.191028	0.0189518	0.0188139	0.0447032	0.0293761	0.0321334	0.00603433	0.0596247
m	0.00428698	0.0152403	0.0453678	0.148802	0.229482	0.282296	0.103397	0.043148	0.0612794	0.0245352	0.0234641	0.008366	0.0103354
b	0.00495615	0.00591323	0.00564126	0.0204803	0.0926374	0.340715	0.276167	0.0865853	0.07039	0.0128292	0.0180826	0.0369038	0.0286991
ώ	0.00340047	0.00102362	0.000559462	0.00280607	0.017915	0.115956	0.826876	0.00787618	0.0136041	0.00198088	0.000851326	0.00517605	0.00197428
n	0.00439308	0.0137776	0.00954285	0.0087373	0.0185176	0.0664179	0.751418	0.0548464	0.0550871	0.00624826	0.00116314	0.00255106	0.00730017
g	0.0137819	0.0580192	0.0681677	0.0919529	0.20096	0.277296	0.0960531	0.0620645	0.0324642	0.0219232	0.00925818	0.0211267	0.0469326
ω	0.0101161	0.0584553	0.0175283	0.0172095	0.052384	0.140057	0.623813	0.0465573	0.0074027	0.00154913	0.00103778	0.0107696	0.0131198
a	0.00139956	0.0213627	0.0427978	0.058808	0.0932486	0.123973	0.0166602	0.297449	0.20206	0.0872167	0.0332884	0.00332838	0.018408
b	0.00783842	0.016797	0.0228937	0.0500254	0.0744504	0.0719807	0.0162699	0.0818536	0.193282	0.243329	0.142236	0.046477	0.0325664
v	0.00288689	0.00609805	0.0131084	0.0351141	0.0576673	0.0355804	0.00238697	0.0308934	0.198777	0.433764	0.0623719	0.033213	0.0881392
e	0.000560134	0.0041862	0.00903677	0.0174938	0.0308589	0.036974	0.00182238	0.0434297	0.218063	0.343798	0.110976	0.0353692	0.147432
m	0.00102382	0.00314349	0.00357964	0.00956393	0.0249746	0.0260195	0.00564309	0.0413637	0.114353	0.20375	0.129905	0.0314533	0.405227
ó	0.00999663	0.0077199	0.00379141	0.00730928	0.0226904	0.0834213	0.121165	0.0614868	0.106464	0.0589158	0.198293	0.0833071	0.235439
i	0.00617494	0.0131093	0.00815006	0.0103352	0.0242872	0.0798752	0.0358364	0.0241172	0.0315035	0.0257816	0.155759	0.553254	0.031817
n	0.00403825	0.00179697	0.00153497	0.00549516	0.0135803	0.00681925	0.00092026	0.00193978	0.0117619	0.0607141	0.0849669	0.713432	0.0929996
y	0.00567139	0.00131751	0.000459141	0.00135102	0.00340587	0.0071313	0.0106639	0.0025657	0.00391034	0.00633426	0.0190296	0.857819	0.0803406
w	0.0285806	0.0048224	0.00153239	0.00543946	0.00944213	0.0122077	0.0136566	0.00228697	0.00398407	0.00500011	0.0301075	0.83095	0.0519903
á	0.000896974	0.000782531	0.000330473	0.000944692	0.00303286	0.00439663	0.00545132	0.00269286	0.00580477	0.00725864	0.0132417	0.888991	0.0661752
a	0.000105013	0.000354726	0.000401335	0.000680936	0.00299231	0.00478851	0.00182579	0.00564037	0.0132223	0.0234573	0.0188583	0.151008	0.776666
</S>	0.000669569	0.00957866	0.00795294	0.0108241	0.0133917	0.0131043	0.00155898	0.017084	0.0314547	0.0363286	0.208873	0.0954545	0.553725
