 	il	est	bouillant	d'	impatience	</S>
w	0.927846	0.0651638	0.000353186	0.00396702	0.0015427	0.00112785
a	0.850356	0.144322	0.000247644	0.00443495	3.25448e-05	0.000606638
a	0.155885	0.786034	0.016464	0.0259311	0.000153148	0.0155329
d	0.105472	0.469281	0.104573	0.0801451	0.0139557	0.226573
í	0.0790631	0.557941	0.103775	0.0228349	0.000123252	0.236263
o	0.053997	0.135542	0.110235	0.0818301	0.0332346	0.585161
t	0.0017797	0.0311381	0.893362	0.0426709	0.0230722	0.00797713
é	0.000432777	0.00708227	0.963885	0.00939594	0.00860249	0.010602
m	0.00739949	0.0589736	0.812887	0.047557	0.0289986	0.0441838
a	0.0134859	0.0464013	0.564438	0.289413	0.00608905	0.0801731
i	0.0130222	0.0466503	0.0559515	0.445533	0.128119	0.310723
k	0.00192807	0.0148031	0.0887591	0.350533	0.289674	0.254303
o	0.000120107	0.000422125	0.0394083	0.0113495	0.905285	0.0434148
ó	6.74107e-05	0.000530816	0.0201488	0.0147313	0.938633	0.0258884
i	0.000468201	0.00431216	0.00996973	0.37064	0.157337	0.457273
k	0.00359601	0.0293037	0.0206047	0.266326	0.359925	0.320244
o	0.000744026	0.00172824	0.00296363	0.0427227	0.749657	0.202185
ó	8.62259e-05	0.000216955	0.00137048	0.00742177	0.897488	0.0934167
</S>	0.000865802	0.00396874	0.00696208	0.290613	0.0914954	0.606095
