 	il	est	discrètement	sorti	de	la	parcelle	</S>
w	0.952041	0.0376092	0.0030397	0.00377198	0.00152945	0.00142081	0.000566867	2.11678e-05
a	0.975	0.0111386	0.00157449	0.000941585	0.00420264	0.00677188	0.000330389	4.02809e-05
á	0.27165	0.671996	0.0442029	0.00246195	0.00310786	0.0033422	0.00103688	0.00220168
p	0.0357108	0.648265	0.272586	0.0160901	0.00585005	0.00657911	0.00262073	0.0122982
f	0.00388457	0.18978	0.677561	0.0793051	0.0062349	0.0053665	0.0060759	0.0317929
ú	0.00432413	0.203588	0.70183	0.0859821	0.00171822	0.00089729	0.000630823	0.00102898
u	0.0282887	0.134482	0.497069	0.10206	0.0390279	0.0353648	0.0630537	0.100654
s	0.0555098	0.119485	0.418434	0.273585	0.0540559	0.0266707	0.0130439	0.0392157
á	0.0106272	0.144143	0.437517	0.194761	0.0824346	0.0469264	0.0134135	0.0701766
l	0.0320202	0.0141901	0.0567591	0.675932	0.111168	0.0474851	0.0558282	0.00661755
ε	0.00666269	0.0100629	0.0353333	0.391599	0.129632	0.0758633	0.1932	0.157647
p	0.000715137	0.00763761	0.0294463	0.496029	0.0931647	0.039123	0.259062	0.0748219
á	0.000850121	0.00402019	0.0350883	0.82797	0.0575691	0.0174815	0.0368009	0.0202196
n	0.000814883	0.0131395	0.189924	0.395733	0.0630839	0.0337828	0.0582551	0.245267
g	0.00178168	0.00474971	0.0495903	0.597783	0.143647	0.0564514	0.0431025	0.102894
e	0.0611346	0.0111049	0.0289739	0.197917	0.184094	0.0800572	0.212608	0.22411
w	0.00226815	0.00769832	0.00624039	0.0507021	0.299965	0.325292	0.0786903	0.229144
ε	0.0106826	0.00931992	0.0245817	0.13684	0.33604	0.263778	0.116292	0.102466
l	0.00100394	0.00232218	0.00711757	0.0887509	0.266842	0.300059	0.236385	0.0975188
ε	0.0021145	0.00893085	0.0131308	0.0827227	0.239006	0.213325	0.177833	0.262937
l	0.000939404	0.00320238	0.00340897	0.021667	0.119281	0.251575	0.363997	0.235929
ε	0.00264696	0.0209732	0.011892	0.0280611	0.0900551	0.195581	0.415975	0.234817
</S>	0.00025349	0.0012469	0.000866615	0.0102692	0.0806089	0.180521	0.332675	0.393559
