 	la	mère	a	donné	une	giffle	à	son	enfant	comme	correction	</S>
n	0.9246	0.0467397	0.00518794	0.00185928	0.00501038	0.00357687	0.00454313	0.00679274	0.000492948	0.00103817	7.33559e-05	8.56718e-05
g	0.516906	0.478086	0.00345074	0.000289227	0.00070762	9.51425e-06	4.52603e-05	0.000389182	6.61148e-05	3.87554e-05	6.6679e-06	4.44121e-06
ó	0.0683393	0.925091	0.00233758	0.000617678	0.00110905	1.9721e-05	3.94822e-05	0.00070684	0.00169088	3.49122e-05	2.21359e-06	1.13604e-05
o	0.036481	0.962407	0.000406547	0.000226538	0.00018902	8.54938e-06	4.19135e-06	0.000126532	0.000130136	5.30481e-06	5.97486e-07	1.43793e-05
á	0.0898035	0.0212034	0.771308	0.0795897	0.013377	0.00436103	0.00344144	0.00252776	0.00170238	0.00780028	0.0014471	0.00343871
d	0.00865096	0.00523826	0.140449	0.801328	0.0198981	0.00590122	0.00402599	0.00134203	0.00141542	0.00174298	0.00274124	0.00726669
z	0.00627362	0.000369169	0.0857661	0.813412	0.0223636	0.00204956	0.00574226	0.00350241	0.00345319	0.00173653	0.000114725	0.0552172
a	0.414229	0.000607923	0.144776	0.351172	0.0524353	0.00106674	0.00533903	0.00590058	0.0167558	0.000973448	7.27205e-05	0.0066724
r	0.312073	0.000200074	0.167587	0.332557	0.0393896	0.0126854	0.0204741	0.00795283	0.00413583	0.0117945	0.00319753	0.0879538
i	0.455331	0.0049979	0.187082	0.0931274	0.0844899	0.00401998	0.0095282	0.0820534	0.0390129	0.0198945	0.000179735	0.0202832
m	0.00891343	0.00109478	0.253652	0.267731	0.314848	0.0469591	0.0346499	0.0196834	0.00887038	0.0154653	0.000348556	0.0277838
w	0.00211808	0.000193266	0.0489924	0.0145543	0.261711	0.362627	0.0622808	0.0149147	0.199345	0.0139664	0.000988763	0.0183079
á	0.0016119	2.07796e-05	0.0225066	0.00613009	0.195312	0.142367	0.0154337	0.0442277	0.564101	0.00268742	8.05258e-05	0.00552103
n	0.100022	0.000163972	0.0196142	0.00478466	0.126016	0.0535312	0.00584331	0.0491304	0.58066	0.00787052	0.000411612	0.0519511
a	0.190332	0.000523898	0.178448	0.0346618	0.228117	0.0104325	0.00695866	0.0896395	0.186684	0.00714717	0.000139165	0.0669164
l	0.0308255	0.000375671	0.158041	0.177199	0.207795	0.107832	0.175063	0.0914154	0.0140975	0.0186298	0.00481118	0.0139153
e	0.0087031	6.02735e-05	0.0158766	0.157276	0.121305	0.0619751	0.217572	0.0861346	0.0200839	0.0853613	0.00320898	0.222444
b	0.00151486	3.24638e-05	0.00388094	0.0105611	0.10354	0.0534726	0.397861	0.273221	0.0816182	0.0287277	0.00194268	0.043627
á	0.00163596	1.04153e-05	0.036512	0.0488321	0.151421	0.280296	0.211882	0.174943	0.0730031	0.0165158	0.00132377	0.00362584
m	0.0012089	2.86812e-05	0.0112586	0.0322396	0.0676839	0.276992	0.183727	0.260972	0.09542	0.0219932	0.0101032	0.0383726
b	0.000614424	1.18757e-06	0.000662173	0.000597421	0.0208911	0.0728839	0.0926192	0.254766	0.528308	0.0211552	0.00226478	0.00523711
á	0.000193042	1.78718e-06	0.00375742	0.0033107	0.0546487	0.0418157	0.0539399	0.308547	0.414795	0.0546514	0.00105605	0.0632838
l	0.000704176	6.3061e-06	0.00425938	0.0117279	0.0332987	0.0313345	0.224045	0.172941	0.163241	0.123404	0.0474696	0.187567
á	0.00161726	1.46585e-05	0.00238157	0.0187017	0.021063	0.00734314	0.0866443	0.342271	0.172358	0.104833	0.00385367	0.238918
m	0.00319671	0.000131837	0.00381763	0.00303624	0.00996554	0.00491693	0.0852087	0.232871	0.104509	0.35018	0.110306	0.0918614
í	0.0001465	6.73836e-06	0.00200318	0.000230999	0.00957871	0.00604401	0.0212232	0.0494311	0.614293	0.175231	0.0237496	0.0980618
t	8.45122e-05	1.35089e-05	0.00258953	0.00141141	0.0118426	0.0284732	0.077036	0.112852	0.218971	0.384632	0.0778935	0.0842012
é	4.32501e-05	2.25903e-06	0.000199883	0.000355167	0.00282423	0.00315644	0.0080125	0.00544278	0.0040252	0.0305478	0.928086	0.0173048
b	5.67896e-06	2.78769e-07	3.5409e-05	0.00025861	0.000301625	0.000851047	0.00267315	0.00118937	0.00105012	0.0158331	0.895803	0.0819984
h	0.000323924	1.06429e-06	0.000151124	0.00339876	0.00609876	0.0170018	0.0357762	0.0101456	0.00366902	0.0841142	0.727815	0.111505
a	0.000608434	3.99402e-06	0.000795402	0.000766447	0.016904	0.0269784	0.0297917	0.0578377	0.0221499	0.0790419	0.414348	0.350774
l	0.000714338	2.70908e-06	0.00131491	0.000873989	0.012856	0.00686382	0.0256072	0.0218281	0.00627985	0.317555	0.120694	0.485409
á	0.000449392	2.15938e-05	0.00168114	0.016906	0.0167108	0.0056462	0.0671297	0.0492558	0.0111272	0.366068	0.0976799	0.367325
w	0.00350837	0.000559946	0.00640427	0.00403217	0.00689607	0.00231022	0.0257391	0.0629902	0.00793391	0.365717	0.182407	0.331501
a	0.0126387	0.000132771	0.0073628	0.00983743	0.0263135	0.0345783	0.0735422	0.123961	0.0484619	0.536427	0.0552469	0.0714981
</S>	0.000811876	1.54814e-05	0.000193543	0.000312713	0.0017903	0.0018908	0.0114537	0.0113136	0.00506765	0.248634	0.420418	0.298098
