 	le	fourrou	m'	a	piqué	</S>
m	0.793294	0.170662	0.0327916	0.00201763	0.000981204	0.000253384
ε	0.102468	0.402718	0.369001	0.0664193	0.0352628	0.0241312
n	0.104754	0.865691	0.0209032	0.0021978	0.00550019	0.000953708
y	0.13365	0.386551	0.419656	0.0187716	0.00898559	0.0323864
i	0.45519	0.258372	0.165206	0.019981	0.0251588	0.076092
á	0.0666222	0.018583	0.418405	0.446597	0.00766679	0.0421259
b	0.0181952	0.00890413	0.128852	0.743499	0.0400965	0.0604524
a	0.00841176	0.0201729	0.182928	0.497933	0.17978	0.110774
r	0.0084267	0.0057463	0.152028	0.232627	0.405412	0.19576
i	0.0341488	0.00521545	0.364563	0.279937	0.206034	0.110102
n	0.00621444	0.000232806	0.476921	0.233276	0.186214	0.0971423
g	0.00251502	0.000278808	0.311311	0.060585	0.581133	0.0441766
á	0.000674477	0.000168018	0.597572	0.0241377	0.358319	0.0191287
m	0.0166484	0.00689753	0.038142	0.0938272	0.569705	0.27478
í	0.00552741	0.0175369	0.00839686	0.0606402	0.354805	0.553093
n	0.0192629	0.00649922	0.0178718	0.0547125	0.342389	0.559265
a	0.000888812	0.00115846	0.0559924	0.0413156	0.649123	0.251521
</S>	0.00102222	0.00054231	0.0599156	0.0947363	0.109816	0.733967
