 	tous	le	village	ne	lui	adresse	plus	la	parole	parce	qu'	on	l'	a	surpris	en	plein	vol	</S>
p	0.49462	0.444391	0.0343302	0.011593	0.00360017	0.00305323	0.00251778	0.00153023	0.00078755	0.000826086	0.000540545	0.00054662	0.000351604	0.000136853	0.000683278	0.000260246	0.000190996	2.61482e-05	1.44145e-05
o	0.128452	0.217201	0.632438	0.0044379	0.00113165	0.00299234	0.00222564	0.0011623	0.000678114	0.00228272	0.000794701	0.000831562	0.000457019	0.000379417	0.00179042	0.000399477	0.000320411	0.00169108	0.00033415
o	0.0157018	0.024391	0.942041	0.00419496	0.000546689	0.00155027	0.0011775	0.000759959	0.000375909	0.000733456	0.000622041	0.000563099	0.00054712	0.000503231	0.00213752	0.00120584	0.000611289	0.000352951	0.00198444
é	0.183698	0.639513	0.0694007	0.0573178	0.0109164	0.00855072	0.00578666	0.0033042	0.00139356	0.00170383	0.00147577	0.00245006	0.001924	0.00209559	0.00312091	0.00154734	0.000936504	0.000718284	0.00414638
t	0.104309	0.209892	0.182227	0.286679	0.0448659	0.0255656	0.0240516	0.0105238	0.00599353	0.00506599	0.00783974	0.0102012	0.0090404	0.0177854	0.0175347	0.00979244	0.00904917	0.00350362	0.0160798
s	0.029166	0.0686072	0.243192	0.277495	0.0803669	0.13008	0.044838	0.0183093	0.0073202	0.00631926	0.00613213	0.0105657	0.00759489	0.00955009	0.0210979	0.0150841	0.00863531	0.00325754	0.0123892
ω	0.108419	0.16476	0.101616	0.292944	0.108168	0.0779799	0.0445693	0.0171003	0.00841198	0.0072657	0.0106962	0.00932503	0.00786832	0.00701179	0.0121351	0.00907353	0.00563189	0.00196835	0.0050552
é	0.0590194	0.129658	0.0526002	0.355003	0.207203	0.079891	0.0241581	0.0117612	0.00946525	0.00881727	0.00688333	0.00652079	0.00563857	0.00644631	0.00421594	0.0046926	0.00441493	0.0017869	0.021824
k	0.0141866	0.0225508	0.00554339	0.377988	0.256437	0.140847	0.0451363	0.0205603	0.0112561	0.00973034	0.00916151	0.0132766	0.0121786	0.0145743	0.0113705	0.00979635	0.00811782	0.00551568	0.0117729
a	0.00679691	0.00804827	0.00365861	0.133038	0.083338	0.383329	0.130087	0.0547872	0.0182567	0.014073	0.0119787	0.0273708	0.0143628	0.0158481	0.0394975	0.0258589	0.00883168	0.00400439	0.0168345
n	0.00954681	0.0136356	0.0297822	0.224026	0.156098	0.20707	0.0767251	0.0326578	0.0150542	0.0160204	0.00871973	0.020522	0.0112011	0.0157427	0.0383145	0.0154745	0.0078813	0.00838319	0.0931453
g	0.0235547	0.0323711	0.0489073	0.309151	0.191563	0.140254	0.0663097	0.0231471	0.0137453	0.0161597	0.0160225	0.0135798	0.0104996	0.0103348	0.0206953	0.00960382	0.00587984	0.00531322	0.0429074
i	0.229577	0.123077	0.0162819	0.121375	0.179095	0.137096	0.0407184	0.0261986	0.0226412	0.0203005	0.0137817	0.00733791	0.00744208	0.00292365	0.00196121	0.00177881	0.000646806	0.00262413	0.045143
w	0.00436778	0.00750826	0.00183413	0.137174	0.276837	0.221266	0.16806	0.0578924	0.0242711	0.0216027	0.0161831	0.0115571	0.00961379	0.00696482	0.00503621	0.00460985	0.00443309	0.00193998	0.0188493
á	0.00125067	0.00523567	0.0022959	0.103	0.108383	0.147606	0.131333	0.0974244	0.0513322	0.064684	0.0542525	0.035916	0.034716	0.0241582	0.0194266	0.037513	0.0385505	0.0178455	0.0250765
e	0.000640164	0.00133263	0.00726111	0.0441624	0.113054	0.0790247	0.231607	0.13373	0.0930997	0.109898	0.0435318	0.0349731	0.0258053	0.018561	0.0111512	0.00819292	0.00676227	0.0199205	0.0172921
s	0.00455144	0.00295795	0.00510479	0.0236281	0.0451958	0.236579	0.296741	0.210678	0.0805835	0.0341883	0.0113417	0.0117041	0.00579269	0.00473102	0.00985621	0.00305544	0.00174946	0.00513814	0.00642366
w	0.00597789	0.00226067	0.000292384	0.0152884	0.0295261	0.0851285	0.257946	0.253382	0.177045	0.0577278	0.0245636	0.018539	0.0157104	0.00936874	0.00520396	0.00275312	0.001153	0.0243647	0.0137694
é	0.00164956	0.00033106	0.000799009	0.013071	0.0197134	0.0355536	0.181624	0.248631	0.304674	0.0766918	0.0358002	0.0145825	0.0159415	0.00682765	0.00404429	0.00322255	0.00171668	0.0283256	0.0068002
l	0.000273002	0.000150069	0.00112398	0.020574	0.0305298	0.0659106	0.220724	0.250205	0.157509	0.0640227	0.0343663	0.0243937	0.0181991	0.0146913	0.0137699	0.0131984	0.0110972	0.0269443	0.0323179
é	0.000756931	0.00086246	0.00101852	0.0127676	0.0400578	0.0515829	0.169288	0.179945	0.138319	0.104007	0.0672743	0.0378561	0.0251878	0.017932	0.0202127	0.00901676	0.00542432	0.0184783	0.100012
t	0.000285643	0.000509064	0.000483496	0.00510268	0.0101812	0.0278857	0.108066	0.182338	0.152329	0.171156	0.116767	0.0800399	0.0522905	0.0258524	0.0187581	0.0103614	0.00671514	0.00564317	0.0252351
s	0.00177562	0.00346513	0.0232873	0.0114643	0.0113884	0.0343596	0.0992892	0.134425	0.117083	0.207584	0.104601	0.0673737	0.0449495	0.0285066	0.015998	0.0201398	0.0159854	0.0273508	0.0309741
í	0.000119106	0.000231396	0.000931233	0.00167218	0.00487337	0.0125699	0.0596619	0.119147	0.116326	0.239274	0.110478	0.124382	0.0526537	0.0254265	0.0434593	0.0166532	0.00345168	0.0218923	0.0467968
n	0.000718127	0.00202235	0.00067848	0.00323318	0.0280825	0.0389134	0.0790204	0.13155	0.103343	0.367893	0.077158	0.0619187	0.0200968	0.00855224	0.0137598	0.00344009	0.000950099	0.00609524	0.0525746
a	0.00188422	0.00359099	0.00110645	0.00181479	0.0119061	0.00645327	0.0276034	0.0570826	0.116397	0.275496	0.148564	0.0539374	0.0311077	0.0134667	0.0116643	0.00403655	0.00162586	0.0116132	0.22065
á	0.00038328	0.000982624	0.00115973	0.00485462	0.0105758	0.0061614	0.0366288	0.0629697	0.0938989	0.143336	0.193093	0.118946	0.108513	0.102835	0.0475303	0.0236195	0.0148246	0.00603861	0.0236491
p	0.00416472	0.00370367	0.00135786	0.013829	0.0129057	0.0152274	0.0265914	0.0298273	0.0288704	0.031095	0.0570012	0.164454	0.13085	0.180195	0.191827	0.0413625	0.0175968	0.0205847	0.0285553
i	0.000259912	0.000567788	0.00100855	0.00506733	0.00473156	0.00750893	0.0231486	0.0305003	0.0227783	0.0459068	0.0402811	0.113384	0.0795649	0.118831	0.29231	0.0784697	0.0369893	0.0375294	0.0611623
i	0.000151987	0.00034608	0.00323311	0.00633027	0.00874051	0.0116911	0.0328835	0.0339431	0.0244375	0.0588728	0.0466266	0.124144	0.0838822	0.108395	0.229656	0.0753648	0.0440754	0.0160012	0.091224
w	0.00045353	0.000677359	0.000156128	0.00252976	0.00709815	0.00200244	0.00997895	0.0192489	0.0339177	0.0490857	0.0884926	0.124809	0.157729	0.16625	0.118949	0.0795939	0.0721892	0.0160476	0.0507917
a	0.000265635	0.000495884	0.000335215	0.00267026	0.00433357	0.00398466	0.0168499	0.031544	0.040594	0.0771893	0.083613	0.0946681	0.0868465	0.0750518	0.103187	0.117658	0.118843	0.0724561	0.0694138
m	7.76441e-05	0.000142549	0.000102382	0.000693459	0.00124262	0.000732781	0.00412342	0.0101237	0.0226642	0.0758986	0.105419	0.147685	0.183243	0.140907	0.0962556	0.0779247	0.0555596	0.0214736	0.0557317
ó	0.00047348	0.000695815	7.28068e-05	0.00254519	0.00328334	0.00467642	0.0122761	0.0455984	0.111553	0.0212901	0.0418507	0.0750479	0.118747	0.100809	0.0352399	0.146484	0.139831	0.0508013	0.0887238
y	0.000175137	0.000302358	8.28576e-05	0.00287378	0.00268644	0.00338334	0.0111836	0.0220198	0.0340929	0.0309608	0.0515819	0.0823953	0.0954984	0.0770617	0.0984196	0.109339	0.0906067	0.215648	0.0716876
í	0.000306824	0.0002023	0.000228287	0.00141022	0.00147716	0.00178253	0.00569723	0.0151236	0.0399477	0.0336261	0.049571	0.0448354	0.0960024	0.0645321	0.0572729	0.0489545	0.0338418	0.435653	0.0695347
b	0.000618909	0.000580953	8.60981e-05	0.000864865	0.00152388	0.000612677	0.00303843	0.0076289	0.0230301	0.0564023	0.0774618	0.0630755	0.100017	0.0724071	0.0709999	0.0336849	0.0209385	0.185642	0.281387
h	8.80678e-05	0.00020218	5.75608e-05	0.000299833	0.000247523	0.000804197	0.00211103	0.00391486	0.00557263	0.0139315	0.0202638	0.0599631	0.0420334	0.0659094	0.27791	0.129756	0.0737597	0.165601	0.137574
a	8.72277e-05	0.000109469	0.000565226	0.000578774	0.00113068	0.00414621	0.00820777	0.0210057	0.0339813	0.0428751	0.052246	0.0922671	0.0584698	0.0476308	0.121756	0.136104	0.0543675	0.0621594	0.262312
</S>	0.000110504	9.81238e-05	0.000303078	0.00023816	0.000328663	0.00118745	0.0024078	0.00427195	0.00486173	0.00606801	0.0185584	0.0275475	0.0363727	0.0412077	0.131299	0.18723	0.132605	0.0835565	0.321747
