 	cet	arbre	est	apparenté	au	safoutier	</S>
i	0.526796	0.43796	0.0210908	0.00671953	0.00660504	0.000705528	0.000123327
b	0.148405	0.725988	0.0904873	0.0161796	0.00148613	0.0164887	0.000965693
v	0.0460791	0.720072	0.0871415	0.138948	0.00504478	0.00199885	0.000715672
ú	0.0637149	0.648175	0.112273	0.150112	0.0167846	0.00175952	0.00718055
a	0.304015	0.529066	0.0954795	0.0472768	0.0195271	0.00106346	0.00357197
d	0.215304	0.134197	0.380795	0.0493271	0.0336503	0.00700479	0.179723
í	0.296423	0.0460355	0.220709	0.00386405	0.0419084	0.00408003	0.38698
í	0.226278	0.103397	0.283274	0.0400324	0.225256	0.0114371	0.110326
d	0.0215213	0.0560107	0.619422	0.140346	0.0801453	0.0605007	0.0220542
í	0.00716719	0.0202219	0.326109	0.0579708	0.110594	0.179624	0.298312
b	0.0050275	0.0108334	0.168022	0.129936	0.16216	0.273159	0.250863
v	0.00102604	0.00837771	0.0379614	0.867592	0.0384542	0.0367957	0.00979288
ú	0.00226013	0.0127484	0.0794748	0.781361	0.0936858	0.018162	0.0123082
ε	0.00273786	0.00828381	0.0372709	0.718363	0.189787	0.0187205	0.0248376
b	0.00353418	0.00516138	0.0478639	0.205729	0.571637	0.0729113	0.0931628
ó	0.016204	0.0294425	0.105449	0.399781	0.180656	0.0649707	0.203497
s	0.00148054	0.00183041	0.0221988	0.0729152	0.205068	0.481556	0.214951
á	0.0126257	0.0183836	0.0388713	0.0545692	0.369996	0.427448	0.078106
á	0.0130957	0.00791281	0.0105004	0.0115015	0.168488	0.690102	0.0983987
</S>	0.00740416	0.014309	0.0516249	0.0164876	0.102626	0.443942	0.363606
