 	elle	lui	donne	un	coup	de	bâton	</S>
w	0.925485	0.0612139	0.00872007	0.00238733	0.000839325	0.000941935	0.000349756	6.24179e-05
a	0.967077	0.0257061	0.000930209	0.00147529	0.00105363	0.00273287	0.000982304	4.22415e-05
a	0.120416	0.643605	0.205563	0.0206187	0.00274525	0.00266696	0.000135502	0.00424928
p	0.0311992	0.290559	0.487504	0.103644	0.048692	0.017849	0.00205943	0.0184935
í	0.00212947	0.0268023	0.39399	0.322085	0.205897	0.0200528	0.00076233	0.0282803
m	0.00152594	0.0209056	0.488657	0.292733	0.113813	0.0142615	0.00121041	0.0668941
b	0.00750648	0.0555961	0.37626	0.4155	0.0745715	0.0187163	8.25321e-05	0.0517667
í	0.013694	0.0344761	0.192775	0.369961	0.206976	0.0882903	0.00165458	0.0921729
w	0.197465	0.164366	0.0841808	0.151235	0.22539	0.0965636	0.00838612	0.0724134
a	0.0497919	0.0577638	0.262425	0.276336	0.267867	0.0463793	0.00217204	0.0372655
i	0.0162841	0.0366072	0.0342706	0.0543149	0.0929738	0.423413	0.0168901	0.325246
b	0.00165591	0.00530863	0.0333553	0.0498461	0.161796	0.197866	0.29835	0.251822
v	0.00048447	0.00103235	0.00341004	0.00801796	0.0406069	0.0764436	0.850545	0.0194594
ú	0.000267742	0.000760553	0.0123725	0.016729	0.0621022	0.0699491	0.771583	0.066236
a	0.000308826	0.00106416	0.00207505	0.00910858	0.0190026	0.0890567	0.193972	0.685412
</S>	0.00213661	0.017654	0.0344896	0.0209885	0.0165819	0.234743	0.208538	0.464868
