 	ta	soeur	est	bien	baisée	</S>
b	0.525872	0.230325	0.0561539	0.163887	0.0199774	0.00378472
o	0.235908	0.686931	0.0248118	0.044067	0.00589394	0.00238793
l	0.0844985	0.892995	0.0132057	0.00592	0.00135378	0.00202747
a	0.700103	0.197599	0.0364164	0.0191899	0.0215365	0.0251553
b	0.480232	0.253779	0.149352	0.0659642	0.00871543	0.0419571
á	0.581012	0.233388	0.0840974	0.0704777	0.00481199	0.0262131
n	0.869346	0.0633301	0.0190443	0.0174506	0.00652383	0.0243055
ω	0.983614	0.00382749	0.00557092	0.00197435	0.000649004	0.0043642
o	0.0410959	0.0936859	0.692198	0.124901	0.00508234	0.0430373
d	0.00124947	0.00965348	0.46269	0.141608	0.356751	0.028048
í	0.0217779	0.0049356	0.429434	0.0454655	0.134679	0.363707
o	0.0326443	0.00115783	0.232072	0.228379	0.0878576	0.41789
k	0.00314376	0.00244794	0.105526	0.322654	0.258912	0.307316
w	0.000110155	0.00633481	0.0183459	0.0539737	0.861111	0.0601241
á	0.00426476	0.0211613	0.044266	0.0990169	0.664258	0.167033
k	0.0189888	0.00473424	0.0214626	0.0887272	0.329494	0.536594
w	0.0023262	0.00162317	0.00491557	0.0395345	0.91075	0.0408502
a	0.00122786	0.0123401	0.0101662	0.055615	0.777841	0.14281
</S>	0.000489014	0.00113678	0.00905366	0.031093	0.318085	0.640142
