 	quand	le	fruit	ibasa	se	décortique	il	devient	tout	rouge	</S>
w	0.445429	0.182464	0.151161	0.101133	0.0834869	0.00476884	0.0109919	0.00193521	0.0166142	0.00161875	0.000396648
á	0.48893	0.167464	0.150845	0.106338	0.0550422	0.000472506	0.00380845	0.000775568	0.0184663	0.00774842	0.000109914
á	0.148225	0.155333	0.0970658	0.303788	0.0241385	0.00823154	0.0294449	0.0187537	0.026621	0.0204174	0.167981
i	0.0841383	0.289089	0.341827	0.144307	0.0287113	0.0135887	0.0146252	0.0131141	0.00455412	0.00427118	0.0617751
b	0.0523846	0.129762	0.249112	0.390773	0.0962053	0.0234908	0.014991	0.00705176	0.00433202	0.00292759	0.0289703
á	0.0800041	0.0906501	0.162633	0.407298	0.203565	0.00717084	0.0127101	0.00354957	0.00735278	0.00293265	0.0221326
s	0.00563203	0.0321585	0.106784	0.807592	0.0174143	0.00458572	0.00283741	0.00162493	0.00226127	0.00130019	0.0178092
a	0.0107303	0.0926686	0.155682	0.653143	0.0264222	0.0329067	0.00826105	0.0121455	0.00244389	0.00112568	0.00447051
í	0.0126058	0.0585928	0.215045	0.358474	0.243357	0.0366414	0.0248145	0.0104525	0.00925272	0.00357269	0.0271915
w	0.0198905	0.046022	0.173136	0.118162	0.429052	0.153982	0.026523	0.0169836	0.00676442	0.00253288	0.00695166
o	0.0109195	0.0337412	0.0742801	0.11902	0.246356	0.21443	0.102528	0.02762	0.0593995	0.0282539	0.0834518
n	0.00422734	0.0131465	0.0322868	0.0552899	0.547697	0.212259	0.0373077	0.0235448	0.0101618	0.020507	0.0435727
g	0.0268348	0.0357007	0.0439799	0.0217707	0.289129	0.441149	0.0504566	0.0148633	0.00523493	0.00486856	0.0660127
í	0.00191538	0.00320229	0.00309233	0.0010729	0.0312439	0.937804	0.0113364	0.00244437	0.000229568	0.000523661	0.00713501
l	0.00941276	0.00943539	0.0223819	0.00575031	0.179459	0.194022	0.491842	0.0199941	0.0229322	0.00577226	0.038998
í	0.00444842	0.0080653	0.0151157	0.00923838	0.036208	0.460345	0.197343	0.116795	0.0370188	0.0313975	0.084025
i	0.00483868	0.00880132	0.024266	0.0159644	0.0544629	0.220094	0.397315	0.106146	0.053677	0.0822952	0.0321403
y	0.00600416	0.00872698	0.0101677	0.0178044	0.0121894	0.222575	0.0799266	0.323204	0.0467216	0.240495	0.0321848
a	0.000362808	0.00418931	0.00581837	0.00574636	0.00187012	0.0584995	0.0389219	0.766946	0.0254374	0.0636771	0.0285312
á	0.000200169	0.00135802	0.00291327	0.00270871	0.00305384	0.0944668	0.0593512	0.331702	0.0526204	0.180792	0.270834
ó	0.000801779	0.00296871	0.00724505	0.00224152	0.00615305	0.029643	0.296052	0.300034	0.171235	0.0640454	0.11958
t	0.00542756	0.0231336	0.0399533	0.0135813	0.00644473	0.0168309	0.0210772	0.420505	0.144877	0.257127	0.0510426
s	0.00254821	0.00537942	0.00809362	0.0316808	0.00918072	0.013582	0.0129268	0.11972	0.101576	0.608459	0.0868535
ώ	0.000350358	0.000736673	0.000929877	0.00355375	0.00309624	0.00665012	0.022044	0.0438748	0.110928	0.745003	0.0628333
t	0.000152542	0.000654695	0.00131062	0.000892638	0.00259158	0.00756322	0.0444651	0.0725558	0.206603	0.286347	0.376864
s	0.00157891	0.00187882	0.002233	0.00401318	0.00717151	0.00770025	0.0515841	0.0439287	0.244713	0.511322	0.123877
ω	0.000225512	0.000657806	0.000706661	0.00340367	0.00318493	0.00819581	0.0269463	0.0206138	0.128573	0.76022	0.047272
</S>	0.00126956	0.00269153	0.00488769	0.00281736	0.00375958	0.0114382	0.0414756	0.0389689	0.0750661	0.220004	0.597622
