 	aujourd'	hui	le	temps	est	doux	</S>
b	0.454003	0.312127	0.128085	0.0597792	0.0404841	0.00230623	0.00321532
v	0.504104	0.032044	0.268262	0.141505	0.0418236	0.00652885	0.00573267
ú	0.520068	0.0537104	0.261556	0.109743	0.0139248	0.0284445	0.0125534
s	0.172282	0.221652	0.153863	0.0609357	0.0194054	0.291021	0.0808421
á	0.630855	0.196544	0.0928289	0.0166229	0.00802379	0.0171754	0.0379502
p	0.175442	0.215219	0.153784	0.0550107	0.0905383	0.023809	0.286197
á	0.318715	0.568708	0.0346308	0.0172126	0.0120582	0.0183665	0.0303084
b	0.0378288	0.859078	0.031219	0.00777852	0.00620702	0.0133445	0.0445438
h	0.215528	0.142167	0.314369	0.177417	0.0462264	0.014518	0.0897755
a	0.304834	0.243731	0.120037	0.0360481	0.00872404	0.0206949	0.26593
o	0.050679	0.00899737	0.344691	0.347614	0.144739	0.0278826	0.0753975
d	0.0142434	0.00222654	0.0997173	0.173448	0.276982	0.201433	0.23195
í	0.000295645	0.000204606	0.0155596	0.0153945	0.0832396	0.281952	0.603354
y	0.00529814	0.000965092	0.05276	0.0574485	0.189527	0.495277	0.198724
i	0.00380162	0.00219444	0.0189705	0.0196333	0.0353132	0.86954	0.0505467
l	0.00226656	0.000374756	0.0362751	0.0476731	0.0980722	0.477351	0.337988
i	0.00183804	0.00130347	0.042608	0.0517671	0.108914	0.464185	0.329385
y	0.00474328	0.00107763	0.0333185	0.0535789	0.086269	0.464166	0.356846
i	0.00329701	0.00331076	0.0198507	0.0232245	0.0530675	0.805029	0.0922204
l	0.00101107	0.000108177	0.00936441	0.0154519	0.0452524	0.599505	0.329307
i	0.00693155	0.00848616	0.0392425	0.0372054	0.0588358	0.536168	0.313131
</S>	0.00310607	0.000434281	0.0154013	0.0250688	0.0695132	0.598973	0.287503
