 	il	m'	a	donné	des	coups	de	tête	pour	rien	</S>
w	0.883881	0.080475	0.0206316	0.00327811	0.00159723	0.0015372	0.00298216	0.00103145	0.00389569	0.000272969	0.000417465
a	0.626859	0.293276	0.0179167	0.00303362	0.02575	0.00245319	0.00716769	0.000934989	0.0067671	0.0154016	0.000439481
á	0.16826	0.370001	0.373192	0.0608154	0.0155333	0.00138782	0.00375337	0.000229926	0.00441579	0.001184	0.00122674
b	0.0221512	0.0703523	0.491362	0.308798	0.0270941	0.0204242	0.00614679	0.0137307	0.0131796	0.00379555	0.0229656
ε	0.00460957	0.00621905	0.168539	0.676143	0.0713043	0.0322308	0.00565904	0.0119597	0.00281021	0.000507009	0.0200177
r	0.00278546	0.0124237	0.148317	0.604733	0.14044	0.0570403	0.00984783	0.00460743	0.00371751	0.0018554	0.0142316
i	0.0291286	0.0261722	0.119371	0.480342	0.25732	0.0261229	0.0402476	0.00179195	0.011535	0.0011049	0.00686489
n	0.0119403	0.282719	0.155522	0.218715	0.206765	0.0663051	0.0206541	0.00642701	0.00694679	0.00542899	0.0185766
g	0.0475658	0.541639	0.0631777	0.0763447	0.179249	0.0289489	0.0312769	0.00315782	0.00976135	0.0108562	0.00802262
á	0.017824	0.552149	0.0704775	0.0494538	0.222927	0.0402284	0.0141865	0.00195208	0.0028737	0.0193603	0.00856851
a	0.00277546	0.00797012	0.00666146	0.0315715	0.53683	0.236157	0.122743	0.0224022	0.0131765	0.0120909	0.0076222
b	0.000338702	0.00062847	0.00607762	0.0750569	0.124695	0.524957	0.0438921	0.192133	0.00650689	0.0127978	0.0129167
ω	0.000168787	8.17884e-05	0.000616533	0.0109509	0.0311283	0.2242	0.0301665	0.682672	0.00341498	0.00919615	0.00740376
r	1.41909e-05	0.000107671	0.00146565	0.0325933	0.0263326	0.430182	0.0804296	0.361034	0.0146653	0.0179497	0.0352266
ω	0.000221512	0.000779501	0.00416892	0.0895432	0.213517	0.284407	0.1391	0.0848582	0.0319847	0.0221669	0.129253
ó	0.00125348	0.00446211	0.003801	0.00994067	0.0807022	0.03805	0.367626	0.0805469	0.286958	0.049355	0.0773049
n	0.000885399	0.00353593	0.00541838	0.0190108	0.0335165	0.0237471	0.0538954	0.181537	0.264922	0.336789	0.0767419
g	0.00270205	0.0213798	0.00425058	0.00331816	0.0163964	0.00439656	0.032385	0.0119638	0.0810891	0.66296	0.159159
u	0.00034346	0.00601165	0.00121128	0.00258427	0.0266374	0.0336118	0.0467667	0.0666129	0.0262345	0.749359	0.0406268
a	0.000138703	0.000872283	0.000138015	0.000311969	0.00522783	0.0062057	0.0180318	0.0168089	0.00808632	0.841187	0.102991
</S>	4.8949e-05	0.000118093	9.79493e-05	0.00044218	0.00899075	0.00372266	0.0556343	0.0230915	0.385695	0.20455	0.317608
