 	le	crapaud	est	boutonneux	</S>
e	0.940787	0.0453828	0.0132053	0.000430914	0.00019414
p	0.0467876	0.944005	0.00720102	0.00151115	0.000494866
o	0.00363802	0.992015	0.00167142	0.00172766	0.000948093
p	0.000636143	0.996545	0.00146184	0.000837005	0.000519779
o	0.00453832	0.993858	0.000778076	9.85256e-05	0.000726966
r	0.790928	0.0859591	0.107325	0.00380962	0.0119783
o	0.171531	0.790503	0.0142895	0.00198242	0.0216938
é	0.463427	0.00333529	0.463667	0.00724495	0.0623257
d	0.171027	0.00174022	0.745147	0.0227167	0.0593691
i	0.00384937	8.11683e-05	0.235606	0.069421	0.691042
n	0.0356379	0.00214084	0.330943	0.368959	0.262319
d	0.0163348	0.000107341	0.138961	0.56467	0.279927
z	0.0045333	0.000108192	0.0627469	0.576507	0.356104
ó	0.00305319	0.00209195	0.0111275	0.862847	0.12088
r	0.0243982	0.0128152	0.0172371	0.294971	0.650579
o	0.055186	0.0166935	0.033711	0.287743	0.606666
l	0.0661048	0.00346866	0.184735	0.0195406	0.726151
a	0.0133625	0.000752329	0.0994502	0.423004	0.463431
w	0.0591265	0.00181587	0.123252	0.612886	0.20292
o	0.00793421	0.000166921	0.0371119	0.896568	0.0582186
o	0.00758273	0.00269021	0.0447558	0.794095	0.150876
</S>	0.0522654	0.00136632	0.444516	0.183338	0.318514
