 	les	pauvres	se	lancent	dans	le	monde	des	fétiches	à	cause	de	leur	cupidité	</S>
l	0.50265	0.371847	0.0901388	0.00949914	0.0075982	0.00382674	0.00516583	0.00506637	0.00111198	0.00140851	0.000244791	0.000425194	0.000959593	3.60107e-05	2.15192e-05
y	0.161197	0.797206	0.0242433	0.00522824	0.00223886	0.00228014	0.000714495	0.00162864	0.0016574	0.00151822	0.000229409	0.00054383	0.00114954	2.57978e-05	0.000139043
o	0.116466	0.828377	0.00660807	0.00540034	0.00188617	0.00958777	0.00425305	0.00259549	0.017522	0.00170484	0.000992933	0.00176647	0.000416348	0.00143544	0.000988954
ó	0.020411	0.822162	0.06737	0.0343197	0.00329738	0.010702	0.00672907	0.00343176	0.0161249	0.00286573	0.00227641	0.00366509	0.00167301	0.000352257	0.00462032
b	0.161319	0.132147	0.59142	0.0446502	0.030216	0.00566291	0.00320341	0.00540569	0.0013369	0.00286017	0.00144028	0.00160999	0.00120733	4.71671e-05	0.0174743
í	0.115441	0.0757434	0.261418	0.0927804	0.0949097	0.0370238	0.0361756	0.0246352	0.00547894	0.0102354	0.0083877	0.0124992	0.00979099	0.00188588	0.213595
i	0.236992	0.0519218	0.534649	0.0398909	0.052136	0.0116967	0.00823777	0.0100388	0.00508134	0.00594554	0.00432423	0.00457414	0.00830366	0.00111974	0.0250888
b	0.0303134	0.0647621	0.0810315	0.55891	0.0568032	0.0529692	0.0333724	0.00881224	0.0208042	0.00459378	0.0162758	0.0107789	0.00266546	0.00228415	0.0556236
h	0.00948253	0.027957	0.0388099	0.839975	0.0245068	0.0212374	0.00925207	0.00188125	0.00511067	0.00170903	0.00836829	0.00553909	0.000429499	0.00173576	0.00400544
o	0.00354781	0.0249139	0.0166391	0.893009	0.0238559	0.0160408	0.00619166	0.00157398	0.00330029	0.000734302	0.00347997	0.00285333	0.000262853	0.000521696	0.00307503
n	0.00480754	0.014564	0.0826597	0.652801	0.108505	0.0712684	0.0255975	0.0126506	0.00851382	0.00265502	0.00417733	0.00620635	0.00198827	0.00103308	0.00257238
á	0.0193411	0.0177054	0.0680516	0.595877	0.130884	0.0772311	0.0239853	0.0189103	0.00626024	0.00483188	0.00338725	0.00582575	0.00270371	0.00110196	0.0239033
á	0.0141262	0.0027129	0.0466618	0.041401	0.425989	0.243406	0.0707387	0.112023	0.0169949	0.0107794	0.00304134	0.00258341	0.00522138	0.000682643	0.00363749
m	0.0101375	0.00298744	0.018089	0.00838827	0.211606	0.257801	0.136	0.208868	0.100227	0.0257457	0.00729843	0.00343247	0.00577221	0.000151363	0.00349605
ó	0.0129898	0.00775813	0.0163048	0.0493738	0.0893565	0.196638	0.0406888	0.105471	0.104698	0.138667	0.0946827	0.0409607	0.0129618	0.00665394	0.0827942
p	0.0197339	0.00978011	0.0312333	0.0889139	0.0393963	0.100689	0.135416	0.094412	0.281357	0.0672923	0.0742367	0.026652	0.00410502	0.0156624	0.0111202
ó	0.00090586	0.00464785	0.00400556	0.012636	0.0109733	0.0989357	0.389867	0.045483	0.326878	0.0298219	0.0494672	0.0200456	0.000632106	0.000903107	0.00479763
s	0.000249374	0.000998226	0.00343969	0.00577463	0.00993537	0.0595192	0.279497	0.0875812	0.395845	0.0519351	0.0505017	0.0274583	0.0039583	0.000917249	0.0223895
á	0.00386508	0.00425812	0.00573264	0.00991588	0.0208526	0.0815141	0.268773	0.144365	0.297275	0.0670465	0.047177	0.027384	0.0039287	0.00086822	0.0170443
b	0.00254102	0.000785462	0.0057351	0.00339755	0.0195473	0.0281817	0.0497646	0.176297	0.14133	0.314412	0.112555	0.0538967	0.0458618	0.0128008	0.0328935
e	0.00579958	0.00711531	0.0189291	0.0154333	0.0221512	0.0525931	0.119839	0.0773131	0.176402	0.0963011	0.215832	0.124631	0.0199908	0.0219825	0.0256874
a	0.000902781	0.000959482	0.00714755	0.00343021	0.00415288	0.0169349	0.0695171	0.0456477	0.128082	0.101163	0.226316	0.177988	0.0249667	0.145215	0.0475767
</S>	0.000555697	0.000255533	0.00208664	0.00177034	0.00608841	0.0096424	0.0148557	0.0546137	0.0584304	0.231808	0.239281	0.205809	0.100877	0.0084555	0.0654703
