 	les	militaires	ont	encerclé	la	maison	qui	abrite	le	voleur	</S>
a	0.97624	0.0181863	0.0017526	0.000477667	0.00179767	0.000459152	0.000328888	0.000254681	0.000243423	0.000250961	8.80157e-06
m	0.00933519	0.98923	0.00111282	0.000144286	2.85756e-05	1.85446e-05	2.83258e-05	3.90824e-05	3.78154e-05	1.4379e-05	1.08078e-05
b	0.0795441	0.890251	0.0201193	0.00273256	0.000952914	0.000110979	0.000479802	0.000361741	8.45338e-05	0.00103451	0.00432818
ω	0.00301039	0.990328	0.00323138	0.00099325	0.000380324	0.000350966	0.000545243	0.000226216	7.29152e-05	0.000189847	0.000671559
r	0.0701334	0.594778	0.262054	0.0300396	0.00293982	0.00272693	0.00705808	0.0161923	0.0010645	0.000953978	0.0120593
i	0.135586	0.706474	0.046488	0.0233759	0.00758169	0.00990453	0.0102685	0.00455939	0.0024607	0.00151163	0.05179
á	0.233053	0.00556451	0.679125	0.0249758	0.0222547	0.00451489	0.0126689	0.00150866	0.00332436	0.000489152	0.0125206
m	0.0071606	0.00318993	0.613994	0.313257	0.0118981	0.00663851	0.00811661	0.0221769	0.00275089	0.000935166	0.00988236
i	0.0333006	0.00360223	0.710302	0.204071	0.0251426	0.00190172	0.00654621	0.00385165	0.00114988	0.00321914	0.00691312
d	0.00211174	0.00268755	0.226522	0.743532	0.00592189	0.00171781	0.00103956	0.0105642	0.000499335	0.00107033	0.0043333
í	0.000228331	0.00057912	0.02843	0.933131	0.0123704	0.000468731	0.00130787	0.011412	0.000792452	0.00261221	0.00866841
n	0.000919564	1.30399e-05	0.0296277	0.925041	0.0141879	0.000913427	0.00231559	0.0143312	0.00135738	0.000750332	0.0105427
g	0.00470111	0.00061628	0.0738143	0.577263	0.278203	0.0206731	0.0258118	0.00411052	0.00619797	0.000484293	0.00812497
í	0.00502273	0.000755427	0.0354035	0.580343	0.279025	0.0673913	0.0158148	0.00158599	0.00484807	0.000362627	0.00944717
s	0.00614815	0.000109005	0.0652388	0.101639	0.62242	0.108539	0.0445411	0.0146726	0.0128837	0.000707786	0.0231005
á	0.00116267	8.79694e-05	0.00581377	0.260563	0.43959	0.109565	0.0667752	0.0115193	0.0171592	0.00611261	0.081651
n	0.0062802	0.000391577	0.00219024	0.0273975	0.282654	0.53417	0.0735131	0.0239103	0.0232111	0.0207078	0.00557437
d	0.00146081	0.000117869	0.000278292	0.0210467	0.190771	0.752878	0.021349	0.00186095	0.00519104	0.000398393	0.00464773
é	0.000849024	0.000846884	0.000207762	0.0133151	0.0918957	0.871957	0.00743444	0.00346156	0.00254732	0.000432744	0.00705271
e	0.000357287	0.000871155	0.00578698	0.0733758	0.155012	0.478426	0.146076	0.0483361	0.0348393	0.00231079	0.054609
y	0.000706624	9.52446e-05	0.00820971	0.00577324	0.0595723	0.144219	0.573543	0.1061	0.090254	0.000896243	0.01063
é	0.00332374	6.6202e-05	0.00303856	0.013938	0.17363	0.166964	0.402307	0.0549742	0.131208	0.00470261	0.0458474
é	0.0017057	0.000297818	0.00379389	0.00896072	0.0673123	0.0913561	0.565256	0.062417	0.137953	0.0127657	0.0481809
m	2.87697e-05	0.000119212	0.005962	0.00795953	0.00252321	0.00221329	0.0785163	0.791444	0.0860215	0.00950722	0.0157054
i	0.000110903	0.000230313	0.00619058	0.0078952	0.00396793	0.000458684	0.129668	0.523945	0.102819	0.202932	0.0217816
b	2.65053e-06	2.29457e-05	0.000493738	0.0253734	0.000850476	0.000321272	0.01832	0.887846	0.0211085	0.0179939	0.0276671
h	2.09515e-05	1.96681e-05	0.000680007	0.0052153	0.000695877	0.00016834	0.0269912	0.90636	0.0217237	0.0209338	0.017191
í	6.83365e-06	1.71193e-05	7.70431e-05	0.0164982	0.000435086	8.19874e-05	0.00313576	0.939557	0.0167011	0.0179389	0.00555122
s	1.25297e-05	1.2279e-05	7.01981e-05	0.0166122	0.000931635	0.00178257	0.0273421	0.802847	0.0811161	0.0372618	0.0320115
í	0.000262286	2.9508e-06	5.17546e-05	0.0182194	0.00719208	0.00392868	0.0495565	0.501268	0.15005	0.0281149	0.241353
m	0.000244098	3.4904e-06	0.000586361	0.00785811	0.0123249	0.0136809	0.116199	0.268403	0.308469	0.081042	0.19119
á	0.00282269	3.08137e-06	0.00117794	0.00182104	0.0118507	0.00157851	0.0437488	0.0533249	0.336297	0.399087	0.148288
m	0.000289475	5.69219e-05	0.000573976	0.00189914	0.005547	0.00476639	0.0300433	0.0388884	0.377808	0.350949	0.189178
ú	0.00021524	1.13248e-05	0.000731914	0.000702069	0.00129945	8.76016e-05	0.00396111	0.00736696	0.0257402	0.940838	0.0190458
b	1.24742e-05	0.000158336	8.20318e-05	0.00322541	0.000273244	3.75056e-05	0.00246176	0.0106213	0.0154953	0.963552	0.00408061
h	0.00520925	2.41156e-05	0.000254831	0.017163	0.0230774	0.00484643	0.075797	0.0792281	0.356228	0.26412	0.174051
u	0.00273074	3.92177e-06	0.000213936	0.0327482	0.0348113	0.00669465	0.0741973	0.170009	0.474908	0.133742	0.06994
</S>	0.0100498	2.03226e-05	0.000873922	0.00895205	0.0190152	0.00348378	0.0497233	0.0294278	0.442466	0.0260657	0.409922
