 	ses	cheveux	sont	brillants	</S>
w	0.865674	0.128017	0.00487167	0.00134272	9.50132e-05
a	0.775054	0.20435	0.0168439	0.00320737	0.000544767
s	0.169058	0.790821	0.0284716	0.00626872	0.00538058
u	0.147681	0.833059	0.0057715	0.00172844	0.0117597
é	0.209396	0.657322	0.0481395	0.00454445	0.0805981
é	0.0578008	0.0306329	0.720316	0.122547	0.0687036
d	0.0142128	0.00623198	0.514549	0.432874	0.032133
i	0.0120786	0.0636633	0.225469	0.360399	0.33839
k	0.0187409	0.0192938	0.178861	0.486423	0.296681
y	0.0244166	0.0103238	0.0526048	0.824555	0.0880996
έ	0.0666906	0.00767658	0.0636778	0.787446	0.0745091
n	0.00486073	0.00146278	0.0195671	0.286837	0.687272
έ	0.0281138	0.0137031	0.165376	0.516483	0.276324
n	0.00414142	0.00121005	0.110862	0.29825	0.585537
έ	0.0113621	0.010717	0.0267038	0.455854	0.495364
</S>	0.00365103	0.00177989	0.0902893	0.264199	0.640081
