 	l'	homme	coupe	la	branche	</S>
i	0.541029	0.452753	0.00402014	0.00128971	0.000738028	0.00016987
b	0.102928	0.877746	0.0171778	0.00105547	0.000421032	0.000671801
a	0.0091539	0.981917	0.00591535	0.000229868	0.00261733	0.000166803
a	0.0150831	0.918795	0.0461137	0.00328034	0.00695583	0.00977212
í	0.584753	0.217333	0.0808067	0.0164339	0.00234288	0.0983308
k	0.0638327	0.0130453	0.809384	0.0424969	0.0174024	0.0538388
w	0.00428867	0.0200494	0.911344	0.0339758	0.0108156	0.0195265
ε	0.00543892	0.0222232	0.757903	0.0812255	0.0370399	0.0961698
r	0.0461697	0.0974293	0.408985	0.098261	0.10549	0.243665
í	0.114205	0.0498931	0.478609	0.298945	0.0241411	0.0342068
e	0.0295628	0.0127647	0.0838087	0.711969	0.127176	0.0347194
t	0.00489184	0.00698953	0.0943588	0.306948	0.451345	0.135467
á	0.00377108	0.00433509	0.153229	0.0900649	0.688152	0.0604481
b	0.000695503	0.000813535	0.0248401	0.0337322	0.867557	0.0723618
h	0.00122668	0.00164301	0.0551408	0.0385421	0.837945	0.0655027
e	0.0024259	0.00306483	0.0409258	0.0631755	0.76705	0.123358
y	0.000782403	0.00054241	0.0236923	0.15154	0.278632	0.544811
í	0.0576218	0.00282646	0.0752299	0.439004	0.0807643	0.344553
b	0.0173138	0.000897497	0.0096155	0.375847	0.0597942	0.536532
v	0.0096804	0.0023548	0.0189345	0.125876	0.786325	0.0568291
ú	0.00271829	0.000693226	0.0148072	0.0650892	0.819918	0.0967746
a	0.0056657	0.000518724	0.00842006	0.158732	0.348214	0.478449
</S>	0.00886164	0.00119989	0.0118085	0.21817	0.0346289	0.725331
