 	le	coup	de	poing	lui	a	donné	une	enflure	à	la	face	</S>
o	0.630399	0.195807	0.0490182	0.0551999	0.0457038	0.00465272	0.00398056	0.00527893	0.00464505	0.00356839	0.00157805	5.93942e-05	0.000109478
t	0.142421	0.5883	0.0651261	0.0551574	0.0202521	0.012375	0.00882452	0.013799	0.0728407	0.00184647	0.0026507	0.00900037	0.00740664
s	0.0143363	0.139268	0.0296344	0.607319	0.00355315	0.00575609	0.00657843	0.00763845	0.179767	0.000344479	0.000564396	0.00355959	0.00168019
ω	0.0143309	0.0687733	0.0982022	0.623701	0.00516073	0.00623475	0.0112153	0.0150122	0.140053	0.00681057	0.00253015	0.00464003	0.00333637
ώ	0.180524	0.140385	0.369766	0.267535	0.0187665	0.00444792	0.00248284	0.00324432	0.00433576	0.00387297	0.00146444	0.000840521	0.00233526
ó	0.0667066	0.0192374	0.290864	0.178969	0.252537	0.107198	0.045356	0.0180045	0.000649594	0.00549418	0.00346752	0.000702505	0.0108133
p	0.00570004	0.00979506	0.0317745	0.0826571	0.0322949	0.408468	0.269027	0.120632	0.0164026	0.00651506	0.00586398	0.0031956	0.00767349
f	0.00095154	0.00190341	0.0322257	0.155554	0.00537339	0.330622	0.270408	0.119412	0.0581579	0.00372702	0.00554601	0.00112702	0.0149914
e	0.00548179	0.00369488	0.0105314	0.0619372	0.00345383	0.183532	0.435144	0.196079	0.091298	0.00359937	0.00251931	0.00011779	0.00261158
e	0.0028955	0.00339741	0.0649387	0.150316	0.340145	0.133285	0.133201	0.108482	0.0271691	0.0130752	0.00760851	0.00195197	0.0135346
s	0.00590603	0.003385	0.0270673	0.0341141	0.206039	0.17165	0.212856	0.248203	0.0181611	0.0328501	0.0163674	0.00920252	0.0141979
i	0.00381445	0.00428491	0.0294901	0.191279	0.042134	0.0600365	0.162283	0.169624	0.188333	0.0287461	0.0221879	0.0585597	0.0392274
w	0.00259628	0.00130927	0.0198392	0.0179444	0.583228	0.0702082	0.0716691	0.125503	0.00898331	0.0463089	0.0185297	0.0152202	0.0186601
á	0.00441537	0.00554439	0.0378944	0.04868	0.238149	0.111093	0.108485	0.11861	0.0381047	0.0858089	0.0794175	0.0449361	0.0788621
i	0.0170679	0.00580176	0.0203521	0.0240246	0.122144	0.0598507	0.0778077	0.227245	0.0813101	0.209114	0.0912754	0.038619	0.0253884
b	0.000333263	0.00103263	0.000496089	0.00117673	0.000260946	0.00484846	0.026686	0.0622572	0.871168	0.0162401	0.00572395	0.00411451	0.00566201
h	0.00115569	0.0051953	0.00105386	0.000813154	0.000524955	0.00293173	0.0229132	0.035302	0.898999	0.0209643	0.00696553	0.000510431	0.00267118
ó	3.10418e-05	3.78341e-05	1.99151e-05	4.43454e-05	3.92627e-06	0.000199363	0.00505858	0.00513406	0.984979	0.00337909	0.000671684	4.97536e-05	0.000390996
m	4.87247e-05	4.63343e-05	0.000227853	0.00130766	4.42703e-05	0.0009548	0.00686192	0.0120436	0.959404	0.0129488	0.0039845	0.000254122	0.00187309
b	0.00289012	0.000656484	0.00141686	0.00141033	0.000533762	0.00162407	0.00757566	0.045295	0.624304	0.227515	0.0526579	0.00370945	0.0304111
ó	0.00181719	0.000948086	0.00143183	0.00130261	0.000297944	0.000815728	0.00602998	0.0227415	0.693657	0.108315	0.0332771	0.0362286	0.0931382
s	0.00237254	0.00219805	0.0080958	0.00575311	0.00983285	0.0107833	0.0234961	0.040402	0.0186206	0.415793	0.203155	0.0787256	0.180772
é	0.00282123	0.00285062	0.00783481	0.00685133	0.00233887	0.00244203	0.0113977	0.0146971	0.00862982	0.0518323	0.118556	0.523845	0.245903
l	0.00285302	0.000651981	0.00500498	0.00702948	0.0163034	0.0022575	0.00226825	0.00695338	0.00540246	0.0399038	0.0989744	0.688992	0.123405
é	0.000258178	0.000254547	0.000435205	0.000463258	0.00103877	0.000599608	0.000705755	0.00112766	0.000979503	0.00444548	0.014322	0.896096	0.0792736
n	0.000285361	0.00022025	0.00328855	0.00232108	0.00147971	0.00155827	0.00355641	0.0140514	0.0032921	0.0337211	0.0665653	0.594085	0.275576
g	0.000346833	0.000452696	0.000590233	0.000358755	0.000565087	0.000424172	0.000506305	0.00128178	0.000312792	0.00204577	0.010066	0.91586	0.0671897
é	4.31149e-05	0.000194289	0.000335591	0.000224617	0.000308162	0.000244047	0.000335504	0.0014034	0.001109	0.00557941	0.0107929	0.870737	0.108693
</S>	0.00022933	0.000169055	0.00223063	0.0014894	0.000599482	0.000421201	0.00126779	0.0105089	0.00549174	0.0909741	0.0862255	0.255427	0.544966
