 	aide-moi	à	descendre	la	calebasse	de	ma	tête	</S>
s	0.776652	0.177673	0.00642748	0.0172348	0.000702817	0.00604272	0.0146523	0.000503194	0.00011195
u	0.922744	0.0418256	0.00676497	0.00348093	0.000232273	0.00100342	0.0220744	0.000297226	0.00157732
n	0.898355	0.0632047	0.0266242	0.00101643	0.00116619	0.000643172	0.00367763	0.000170329	0.0051418
d	0.0930321	0.472707	0.320611	0.0192699	0.0112848	0.0133255	0.0141817	0.00707357	0.0485151
ú	0.299289	0.564785	0.0760248	0.0157895	0.00907352	0.00620239	0.00897207	0.000668744	0.0191954
s	0.00954772	0.448633	0.32483	0.0951388	0.0340004	0.0201614	0.0051992	0.00375406	0.0587361
á	0.0467251	0.533062	0.176054	0.161573	0.0119081	0.0237371	0.0201078	0.0028844	0.0239485
n	0.185096	0.193274	0.223281	0.281341	0.0825801	0.00793701	0.017168	0.0029309	0.00639265
g	0.511149	0.085179	0.006243	0.116936	0.0250026	0.00227841	0.246954	0.00107892	0.00517926
á	0.297779	0.0941224	0.0535314	0.293754	0.194891	0.0032757	0.0542377	0.0021263	0.00628257
t	0.00459383	0.0683617	0.150666	0.598746	0.0966667	0.0410529	0.0198717	0.0104302	0.0096111
s	0.00626484	0.034409	0.437458	0.117704	0.354174	0.0206748	0.00207942	0.0191041	0.00813196
ó	0.00369689	0.0229676	0.450651	0.10873	0.364844	0.0282374	0.00112221	0.01179	0.00796198
o	0.00201721	0.0142447	0.130123	0.125276	0.605286	0.0726806	0.0069189	0.0237722	0.0196813
m	0.00202197	0.042494	0.00854658	0.303442	0.155872	0.338601	0.0764316	0.0419718	0.0306183
í	0.0151278	0.0521195	0.0365911	0.146807	0.0990304	0.15575	0.0978634	0.0778775	0.318833
b	0.0193881	0.0243203	0.00978396	0.0495491	0.10164	0.269789	0.267875	0.198387	0.0592675
o	0.0447796	0.0230106	0.0152062	0.0269815	0.0770836	0.110479	0.013282	0.655404	0.0337727
ó	0.00378728	0.00302262	0.0219709	0.00940351	0.577414	0.115929	0.00648275	0.215457	0.0465334
</S>	0.00157624	0.00724987	0.00231195	0.0225947	0.0211856	0.252515	0.295145	0.107344	0.290078
