 	les	blancs	mangent	du	pain	</S>
i	0.779795	0.21664	0.000299329	0.00299846	0.000196985	7.03921e-05
n	0.206961	0.72566	0.0606149	0.00247389	0.00045261	0.00383752
d	0.150379	0.831643	0.0130899	0.00191167	8.81338e-05	0.0028882
έ	0.100029	0.865554	0.0155495	0.000961395	0.000475093	0.0174305
l	0.121547	0.698259	0.0479309	0.0385222	0.00447139	0.0892697
έ	0.143713	0.658287	0.0743065	0.0424073	0.00363117	0.0776555
m	0.157491	0.428571	0.140538	0.242326	0.00894505	0.0221284
í	0.177662	0.179678	0.16313	0.287208	0.0612315	0.13109
i	0.0876087	0.0846961	0.62647	0.104912	0.0273082	0.0690051
d	0.00683204	0.0246435	0.712228	0.124137	0.0296544	0.102505
z	0.00128238	0.00420683	0.860806	0.0626274	0.00908163	0.0619962
á	0.0110807	0.00783135	0.841346	0.0441203	0.0268487	0.0687729
á	0.00298914	0.00354803	0.032018	0.332282	0.35509	0.274074
p	0.0187343	0.00760952	0.0129341	0.333588	0.553308	0.0738259
i	0.0013612	0.00225899	0.0030924	0.044581	0.856068	0.0926387
m	0.000794735	0.00259465	0.00634591	0.171464	0.436886	0.381915
a	0.0201039	0.0150975	0.018425	0.129823	0.650235	0.166316
</S>	0.0032923	0.00386846	0.0112041	0.127931	0.139921	0.713784
