 	il	joue	au	tambour	</S>
w	0.929585	0.0585208	0.00890153	0.00290002	9.26105e-05
a	0.895291	0.0439677	0.0444951	0.0159057	0.000340617
l	0.481795	0.38943	0.118475	0.00142238	0.00887778
á	0.190031	0.270009	0.132144	0.0351144	0.372701
a	0.25749	0.242618	0.174012	0.0793717	0.246508
b	0.0319338	0.717739	0.18945	0.0346849	0.0261928
έ	0.0342955	0.507962	0.335327	0.106789	0.0156266
r	0.0154439	0.234088	0.233149	0.106546	0.410772
έ	0.198824	0.300618	0.430964	0.00547154	0.0641222
i	0.0736591	0.436864	0.421133	0.0307072	0.0376368
s	0.0206528	0.0894528	0.12479	0.688988	0.0761161
i	0.00112408	0.0254233	0.200166	0.686045	0.0872418
m	0.000178944	0.00258953	0.0265314	0.81616	0.15454
b	0.00214052	0.00128082	0.0388146	0.214802	0.742962
a	0.00502386	0.0139956	0.0130886	0.343657	0.624235
</S>	0.00922877	0.00898561	0.150395	0.133991	0.6974
