 	débarrasse	cette	cendre-là	</S>
t	0.858553	0.139429	0.00185175	0.000166024
o	0.971614	0.0257543	0.00168129	0.000950308
r	0.834585	0.097331	0.0108319	0.057252
á	0.433355	0.513764	0.0328759	0.0200053
o	0.171859	0.770455	0.0352895	0.0223973
s	0.135698	0.484963	0.334908	0.0444306
u	0.0308754	0.249884	0.634837	0.0844035
b	0.0302284	0.403267	0.480203	0.0863017
h	0.168469	0.448591	0.152223	0.230717
ú	0.0720824	0.168531	0.603207	0.156179
r	0.00874742	0.267205	0.396719	0.327329
u	0.00628084	0.152541	0.679095	0.162082
m	0.00316192	0.0826362	0.18013	0.734072
ú	0.00200281	0.0160438	0.654235	0.327718
u	0.000600187	0.00437536	0.481341	0.513684
</S>	0.00406321	0.0251388	0.261251	0.709547
