 	il	a	beaucoup	d'	amour	pour	sa	mère	</S>
w	0.440795	0.19479	0.0802486	0.089164	0.119045	0.0447253	0.0256532	0.00519421	0.000384896
a	0.375688	0.0990028	0.0208766	0.0708239	0.0486964	0.0895525	0.222823	0.0720744	0.000461931
a	0.118149	0.375237	0.168658	0.0941367	0.0900143	0.0373808	0.0448608	0.010367	0.0611958
d	0.0629614	0.285156	0.259233	0.0728143	0.0441126	0.0151962	0.018498	0.0187206	0.223308
í	0.00880654	0.162156	0.181242	0.0954832	0.152152	0.034984	0.0163586	0.00634085	0.342476
l	0.00626845	0.0428254	0.155236	0.0914566	0.122294	0.0693713	0.0323003	0.00233258	0.477915
a	0.0239303	0.0650213	0.228526	0.15353	0.133544	0.0863898	0.065566	0.00950095	0.233991
p	0.0161975	0.0813076	0.100556	0.116096	0.260072	0.0956317	0.0798819	0.110325	0.139932
ó	0.0180508	0.0633034	0.0797739	0.173986	0.195156	0.208129	0.0245259	0.0498869	0.187189
s	0.00632272	0.0283444	0.115104	0.190617	0.45855	0.113571	0.0334446	0.0140078	0.0400393
á	0.00635342	0.0281019	0.0868779	0.155341	0.219468	0.289833	0.102087	0.00227086	0.109667
y	0.00928887	0.0150994	0.0580182	0.0807242	0.0886992	0.22929	0.29116	0.101478	0.126244
á	0.00831875	0.0335245	0.0895548	0.13211	0.277059	0.126339	0.209255	0.062538	0.061301
n	0.00347877	0.0039484	0.0132414	0.0194388	0.0217912	0.036895	0.47212	0.418057	0.0110295
g	0.000238268	0.00081456	0.00309285	0.00600344	0.011634	0.0253281	0.129208	0.804917	0.0187645
ó	6.37502e-05	0.000258286	0.00100621	0.00200158	0.00482765	0.00575051	0.0241116	0.934698	0.0272824
o	0.000186716	0.00111134	0.00796958	0.0198774	0.0410396	0.0524674	0.0466368	0.630762	0.199949
n	0.00797917	0.0195029	0.0769852	0.0624382	0.0459165	0.138551	0.183426	0.082272	0.382929
d	0.00721984	0.0181728	0.0267562	0.02138	0.0221154	0.0621211	0.192222	0.0691737	0.580839
z	0.000135481	0.000475258	0.00150542	0.00429508	0.0129117	0.0195482	0.103771	0.645225	0.212133
í	0.000116162	0.000805547	0.00379819	0.0153822	0.0278589	0.0897239	0.148304	0.0504368	0.663574
í	0.000144381	0.00135265	0.00671787	0.00626006	0.00999825	0.022217	0.0293773	0.013928	0.910004
</S>	0.00834364	0.0184454	0.0352776	0.0283029	0.0227066	0.0857507	0.110914	0.0139794	0.67628
