 	les	cabris	sont	en	train	de	s'	accoupler	</S>
a	0.951157	0.0208894	0.0142142	0.00260137	0.00268383	0.00140915	0.000210982	0.0066836	0.00015093
m	0.131377	0.848447	0.00981098	0.000712313	0.00102185	0.000117624	0.000266635	0.00791158	0.000334394
b	0.279464	0.654074	0.0492097	0.00940924	0.000866367	0.00189434	0.0012062	8.49692e-05	0.00379157
á	0.0172243	0.975684	0.00467055	0.00111572	0.000916621	0.000107745	5.63578e-05	7.86184e-05	0.000146303
s	0.17297	0.737684	0.0597695	0.0186387	0.00508154	0.00148655	0.00118129	0.000427115	0.00276089
i	0.25366	0.640973	0.0406807	0.0224209	0.00656627	0.00695015	0.00343953	0.000365907	0.024943
b	0.11084	0.121039	0.361439	0.217605	0.111851	0.0299014	0.0362589	0.000909471	0.0101563
o	0.270733	0.00689374	0.127985	0.297311	0.158599	0.0641773	0.0547644	0.00853293	0.0110026
b	0.170123	0.0205465	0.127052	0.395	0.135889	0.0838651	0.0456217	0.00136147	0.0205412
á	0.768296	0.0077342	0.0457334	0.0547924	0.0129883	0.0615035	0.0254975	0.0118271	0.0116271
a	0.0802283	0.00378075	0.210792	0.209035	0.0797494	0.312313	0.0757519	0.00991992	0.0184288
p	0.0119029	0.00708477	0.0723965	0.0844457	0.0261578	0.235829	0.440668	0.00274129	0.118774
e	0.00437923	0.00438324	0.0215996	0.091087	0.0318724	0.173431	0.488731	0.00746308	0.177053
b	0.0317185	0.00438092	0.0293197	0.107422	0.0100871	0.218475	0.384284	0.00796769	0.206346
h	0.0512503	0.000796688	0.0245449	0.0874629	0.0167692	0.202154	0.224182	0.0457123	0.347128
á	0.0311979	0.00123923	0.0377482	0.0814346	0.0661581	0.106494	0.114301	0.0421304	0.519296
a	0.00726105	0.00127188	0.041805	0.0387539	0.00319151	0.332286	0.22497	0.0776373	0.272824
b	0.02079	0.00432329	0.014946	0.00898778	0.00142656	0.0459485	0.0958715	0.449344	0.358362
i	0.00216443	0.000161626	0.0014804	0.00274993	0.0015548	0.00325843	0.00664613	0.978958	0.00302626
a	0.00520806	0.00401864	0.0105857	0.0146533	0.00363224	0.0421356	0.103409	0.530151	0.286207
</S>	0.0293437	0.000635	0.0113851	0.00848156	0.00031128	0.029068	0.0977558	0.145069	0.677951
