 	la	mère	a	chargé	son	enfant	d'	attiser	le	feu	</S>
n	0.846078	0.136589	0.00856033	6.69304e-05	0.00412077	0.00247958	0.000700139	0.000918569	0.000389599	7.84873e-05	1.77468e-05
g	0.176001	0.822038	0.00087278	9.46793e-06	0.00101485	1.16905e-05	1.34071e-05	1.10254e-05	2.38401e-05	3.72669e-06	7.44104e-07
ó	0.0160468	0.978949	0.0031192	0.000100221	0.00128555	0.000266356	5.26986e-05	4.92832e-05	3.37907e-05	9.40014e-05	3.34147e-06
o	0.0444742	0.939322	0.00185425	0.000835918	0.0100544	0.00172215	9.52501e-05	0.000164526	0.000186739	0.0010229	0.000267757
á	0.119849	0.0225878	0.816608	0.00933094	0.0106455	0.00109404	0.00672611	0.000702115	0.00486261	0.000928425	0.00666532
t	0.0130613	0.00588296	0.245396	0.683809	0.0259955	0.000578406	0.00811615	0.00307194	0.00290468	0.000711418	0.010472
í	0.00129267	0.0002493	0.0452524	0.911953	0.0223956	0.000189325	0.00893681	0.00635625	0.00117842	0.00017809	0.00201786
n	0.108179	0.00111291	0.0265813	0.778351	0.0607319	0.000394322	0.0116525	0.00551473	0.00414234	0.000547854	0.00279136
d	0.143391	0.00111729	0.0625187	0.432065	0.298739	0.00264173	0.0289779	0.0139691	0.00793978	0.000226659	0.00841429
i	0.104604	0.00489805	0.143256	0.375397	0.325224	0.00360673	0.0210066	0.00460291	0.012321	0.000714918	0.00436922
m	0.024567	0.0038055	0.100165	0.0260422	0.381002	0.151203	0.18439	0.0175798	0.0658526	0.0237383	0.0216539
w	0.00287781	3.03585e-05	0.00287996	0.000800423	0.0365102	0.900481	0.0154898	0.00548479	0.00191242	0.0309059	0.00262791
á	0.000356748	8.13355e-07	0.000181663	0.00073694	0.0041199	0.989806	0.00082437	0.000881867	5.93637e-05	0.00290703	0.000125707
n	0.00565221	6.98897e-06	0.000835478	0.0003189	0.0167611	0.950436	0.00812006	0.003507	0.00148603	0.0120667	0.000809918
a	0.0190579	0.000397325	0.00840994	0.00511386	0.146535	0.777377	0.0137384	0.00247996	0.00339997	0.0128429	0.0106481
o	0.00758266	0.000401882	0.0181447	0.016075	0.0806699	0.00709062	0.393428	0.158582	0.295483	0.0110031	0.0115398
k	7.82903e-05	5.91665e-05	0.00294792	0.081732	0.0231886	0.00256165	0.197196	0.415738	0.13453	0.0621419	0.0798269
ú	0.000140312	2.02987e-05	0.00224473	0.0124185	0.00966073	0.00201764	0.069764	0.788858	0.0557751	0.011705	0.0473959
á	0.00052568	2.70237e-05	0.00100799	0.00311634	0.00451556	0.00525717	0.0719797	0.774264	0.0428959	0.0164191	0.0799914
m	0.00254249	3.02175e-05	0.00684303	0.0022558	0.0286773	0.0065876	0.0595031	0.0887003	0.355955	0.252622	0.196284
í	0.000639409	3.07841e-05	0.00103823	0.00010129	0.00442393	0.00749586	0.0128936	0.022214	0.0758465	0.792461	0.0828549
á	0.000643243	4.13142e-05	0.00197941	0.000196092	0.00660717	0.000709925	0.0153685	0.0145604	0.103544	0.813746	0.0426034
</S>	0.00335601	6.91886e-05	0.00397648	0.012775	0.027251	0.00159096	0.0256564	0.034363	0.249357	0.260668	0.380937
