 	ondongo	a	vraiment	maigri	</S>
o	0.893591	0.102659	0.00133733	0.00194014	0.000473056
n	0.976861	0.0205529	0.00205633	0.000409267	0.000120449
d	0.930021	0.0308474	0.0124111	0.0142174	0.0125035
ó	0.987434	0.00750705	0.000318828	0.00281478	0.00192529
n	0.98984	0.00657653	0.000629355	0.000882099	0.00207234
g	0.897778	0.0222344	0.00348261	0.0118633	0.0646418
o	0.959158	0.0277249	0.00153772	0.00253899	0.00904019
á	0.0364491	0.60212	0.329913	0.0114529	0.0200654
m	0.0109176	0.115494	0.732946	0.0643093	0.0763338
i	0.000431232	0.0747025	0.615989	0.112783	0.196094
s	0.00568255	0.0186899	0.778144	0.106731	0.0907524
á	0.00239045	0.00590857	0.784609	0.105107	0.101985
á	0.000608764	0.0100475	0.385444	0.0956139	0.508286
o	0.00637044	0.0189111	0.288688	0.533894	0.152136
w	0.00726666	0.00280128	0.0578494	0.735755	0.196327
ώ	0.000305717	0.00170309	0.0445405	0.867951	0.0854999
n	0.00164652	0.00364123	0.0367722	0.696453	0.261487
g	0.0173155	0.0182028	0.084583	0.500374	0.379525
ώ	0.0367881	0.0450007	0.0507531	0.719609	0.147849
ó	0.00452943	0.00174056	0.00646752	0.403925	0.583337
t	0.021674	0.0210772	0.048596	0.443356	0.465297
s	0.0067779	0.0104472	0.050692	0.697864	0.234219
ω	0.000467181	0.000691122	0.00724931	0.897911	0.0936818
</S>	0.00116198	0.00096454	0.0203605	0.259533	0.717979
