 	j'	ai	embroché	des	noix	de	palme	</S>
n	0.893735	0.0642862	0.00577806	0.0265422	0.00472575	0.00416128	0.000295754	0.000475523
g	0.982052	0.0155956	0.000218903	0.00141865	0.000236045	0.000351765	7.43181e-05	5.25833e-05
á	0.930739	0.0604769	0.00281725	0.00336148	0.000485168	0.000294966	0.00175339	7.15395e-05
í	0.100265	0.565401	0.0530386	0.111577	0.0302796	0.035521	0.044909	0.0590081
p	0.00638503	0.0257317	0.953095	0.00707679	0.00261561	0.000896507	0.00188878	0.00231043
i	0.000355823	0.0103485	0.853577	0.105266	0.00380075	0.0040784	0.00646926	0.0161047
i	0.00121323	0.0310473	0.771448	0.17154	0.00248374	0.00934462	0.00269656	0.0102266
m	0.0534469	0.0973637	0.0187699	0.185583	0.286285	0.211144	0.0627065	0.0847013
b	0.000218569	0.00470996	0.00397422	0.0487435	0.795152	0.0599558	0.0505038	0.0367418
í	0.000240968	0.00311954	0.00568001	0.106693	0.708179	0.0486078	0.0708241	0.056656
a	0.00170945	0.0262168	0.00135328	0.091715	0.656215	0.137321	0.0195416	0.0659285
m	0.00135705	0.0328343	0.00331291	0.134072	0.259263	0.444603	0.0718837	0.0526735
ó	3.17872e-05	0.000842669	0.00134157	0.0250004	0.613065	0.1001	0.115286	0.144333
t	0.0012351	0.0350902	0.00639868	0.0827914	0.0734605	0.151472	0.55028	0.0992723
s	0.000179768	0.00419692	0.017931	0.103131	0.0278427	0.0802657	0.597296	0.169158
w	7.8546e-05	0.00134324	0.00788667	0.0748205	0.0367153	0.0615757	0.688294	0.129286
ω	9.80957e-05	0.00187793	0.0297598	0.100961	0.0593471	0.105907	0.364884	0.337165
ω	1.23994e-05	9.82129e-05	0.000509559	0.0140311	0.0250923	0.0574907	0.184627	0.718138
n	9.58858e-05	0.00192091	0.00019081	0.021996	0.0300401	0.24341	0.153306	0.549039
y	0.00397936	0.0105375	0.000894039	0.0165048	0.0285845	0.120479	0.44595	0.373071
i	0.00392433	0.00525519	0.000561236	0.0216468	0.00516398	0.0895464	0.26392	0.609982
</S>	1.85429e-05	0.00125616	0.000512574	0.0190707	0.0136662	0.128116	0.126935	0.710424
