 	ses	analyses	sont	toujours	pertinentes	</S>
o	0.904194	0.0502306	0.0280287	0.0129077	0.00202165	0.00261682
t	0.326145	0.460825	0.0394847	0.0354441	0.0388855	0.0992157
á	0.0695953	0.565897	0.0340877	0.0507983	0.0951138	0.184508
á	0.0406642	0.168676	0.0403827	0.176794	0.0453864	0.528096
l	0.389429	0.289433	0.166269	0.0503084	0.00981845	0.0947415
í	0.173849	0.34209	0.101326	0.045924	0.0337692	0.303041
m	0.32107	0.505323	0.0933167	0.0140338	0.0120164	0.05424
á	0.152815	0.339021	0.472164	0.0155167	0.00195259	0.0185306
w	0.269285	0.260772	0.288469	0.0708644	0.0244591	0.08615
a	0.187409	0.40104	0.258004	0.0617143	0.031316	0.0605171
m	0.048867	0.355731	0.406505	0.0879044	0.0166	0.0843928
á	0.176936	0.149403	0.440972	0.10836	0.00446243	0.119866
p	0.131395	0.14023	0.480139	0.118148	0.0721285	0.0579603
ώ	0.0701984	0.338101	0.36112	0.137303	0.0460052	0.0472721
ω	0.0408004	0.0697774	0.227624	0.229405	0.222142	0.210252
ó	0.0175816	0.0125222	0.15675	0.512879	0.159514	0.140753
d	0.0146613	0.00411335	0.0571635	0.639309	0.202275	0.0824787
i	0.00215221	0.000876375	0.0155524	0.363051	0.0578786	0.560489
í	0.0111359	0.00140812	0.0488532	0.514688	0.120391	0.303523
o	0.00926006	0.00397975	0.0224435	0.248192	0.487054	0.22907
b	0.00146338	0.00544169	0.016815	0.2767	0.505028	0.194552
v	0.00953021	0.0287159	0.0708716	0.214262	0.468275	0.208345
έ	0.0233385	0.013933	0.0889627	0.207077	0.564532	0.102156
</S>	0.0012689	0.000563641	0.0159574	0.177871	0.0255071	0.778832
