 	le	petit	balai	symbolise	la	justice	traditionnelle	</S>
m	0.736073	0.249705	0.00954843	0.00161546	0.00173358	0.00104707	0.000205308	7.1864e-05
w	0.0596003	0.706291	0.17814	0.0106226	0.0138135	0.00247422	0.000218062	0.0288401
á	0.0203135	0.973948	0.00233851	0.00177477	0.000645911	5.0415e-05	0.000811812	0.000117371
n	0.451553	0.476773	0.021004	0.00397874	0.00538492	0.00107266	0.00110907	0.0391248
d	0.0765915	0.611437	0.0621748	0.0101745	0.00680669	0.000470154	0.00339878	0.228946
z	0.115472	0.712664	0.0785204	0.0144434	0.00626765	0.00111367	0.00323025	0.0682887
i	0.23753	0.474818	0.0515005	0.00501345	0.0115534	0.00157777	0.00853846	0.209468
m	0.0660732	0.0898796	0.68381	0.0852261	0.0333031	0.0238	0.00338958	0.014518
ó	0.379582	0.140295	0.326011	0.101841	0.0197284	0.00462834	0.0173933	0.0105208
o	0.25761	0.0783615	0.300452	0.155785	0.0633778	0.0578349	0.0164732	0.0701043
s	0.0107638	0.0107893	0.0591743	0.512884	0.162297	0.217877	0.012656	0.0135588
έ	0.00212323	0.0147547	0.00378576	0.477978	0.366471	0.104872	0.0101054	0.0199092
r	0.00121887	0.00289947	0.0176968	0.53899	0.175883	0.0444016	0.0224219	0.196488
έ	0.0151302	0.00525762	0.0952468	0.403745	0.291686	0.046257	0.0773349	0.0653417
o	0.00338412	0.00079556	0.0478222	0.202151	0.341532	0.163477	0.141226	0.0996121
t	0.00120855	0.0034846	0.0032676	0.0763884	0.158662	0.124718	0.571369	0.0609026
w	0.00197832	0.00338499	0.00187249	0.00629773	0.0231675	0.06046	0.886726	0.0161128
ε	0.000429985	0.000206214	0.000557132	0.0136287	0.0308063	0.0388219	0.879435	0.0361144
r	0.000571079	0.000249289	0.00340496	0.00618973	0.0264502	0.0224232	0.546444	0.394268
ε	0.00638579	0.00666935	0.00414293	0.0347928	0.187601	0.0681774	0.383435	0.308795
</S>	0.0217029	0.00662941	0.0288978	0.0324249	0.100572	0.0166758	0.0984198	0.694678
