 	pendant	les	crues	la	vouma	est	mousseux	</S>
w	0.659697	0.287432	0.0275741	0.018161	0.00459267	0.00228383	4.49778e-05	0.0002148
ó	0.523911	0.367276	0.0492133	0.0439192	0.0108147	0.00442305	0.000334312	0.000108686
m	0.389159	0.399123	0.00464712	0.0301521	0.0359079	0.0585129	0.0133338	0.0691646
á	0.197376	0.577607	0.00783198	0.0399739	0.138804	0.0130183	0.000247158	0.0251416
w	0.299982	0.280879	0.0818468	0.115923	0.108056	0.0401132	0.00196305	0.071237
á	0.164883	0.133956	0.18453	0.249574	0.184768	0.0457756	0.000591608	0.035923
á	0.119804	0.0757088	0.395252	0.157092	0.102085	0.0126724	0.00492213	0.132463
a	0.0793822	0.0696885	0.342965	0.340548	0.080099	0.0366113	0.0140735	0.0366324
b	0.0406681	0.0866508	0.465527	0.297704	0.0420638	0.0364004	0.0140292	0.0169574
h	0.00481676	0.0204609	0.683981	0.252237	0.0287872	0.0062838	0.000597468	0.00283521
i	0.013557	0.040647	0.496744	0.406734	0.0295376	0.00424885	0.000302737	0.00822924
l	0.0333369	0.0501145	0.218945	0.463424	0.113644	0.0113413	0.00411791	0.105075
a	0.0101573	0.0116662	0.190215	0.366676	0.07483	0.0662095	0.0195343	0.260713
m	0.00677042	0.011811	0.103255	0.479323	0.242422	0.0583274	0.0252317	0.0728592
á	0.0043301	0.0207584	0.00222936	0.0623889	0.806625	0.069228	0.00401553	0.0304246
a	0.0111367	0.0136287	0.0364585	0.257208	0.466148	0.16293	0.0165451	0.0359453
l	0.00488382	0.00528265	0.0199453	0.110676	0.20173	0.455979	0.109462	0.092041
á	0.0147609	0.0150894	0.0174567	0.0743057	0.151134	0.394412	0.115961	0.216881
a	0.00357579	0.00403233	0.00777371	0.111886	0.21518	0.331574	0.162402	0.163576
k	0.00243861	0.00181454	0.00556758	0.0131286	0.0205026	0.282075	0.625359	0.0491139
y	0.00039855	0.00149676	0.0365261	0.0202654	0.00445575	0.039936	0.850422	0.0464993
ε	0.00574099	0.00498643	0.0190265	0.0893781	0.0536347	0.0759331	0.710187	0.041113
l	0.000539358	0.0015759	0.0118519	0.0690814	0.0385365	0.150535	0.599146	0.128733
έ	0.000924339	0.00214795	0.0211289	0.0664576	0.0598965	0.117896	0.469023	0.262526
l	0.00283818	0.00258895	0.00554326	0.0377452	0.0816585	0.265805	0.171384	0.432436
a	0.0129722	0.00513076	0.057299	0.0724897	0.0758228	0.217118	0.373267	0.1859
f	0.00132683	0.00144093	0.00561337	0.0342965	0.0343991	0.145023	0.452658	0.325242
ú	0.00177129	0.00182184	0.0235125	0.0504859	0.0202668	0.0998115	0.673038	0.129293
s	0.000234791	0.000173891	6.30091e-05	0.00109819	0.00131976	0.0157787	0.937073	0.0442591
u	0.00146328	0.00235674	0.00141064	0.00404616	0.00306444	0.0267855	0.927717	0.0331565
</S>	0.00368273	0.00322071	0.0019993	0.0156	0.0278436	0.134043	0.14922	0.664391
