 	la	manière	dont	il	a	emballé	mes	poissons	n'	était	pas	conforme	</S>
e	0.104599	0.618969	0.211349	0.0232305	0.00903233	0.00379403	0.00340495	0.000388926	0.00159008	0.00317027	0.00626436	0.00122234	0.0129852
f	0.00543078	0.00341781	0.0184339	0.0210712	0.100318	0.801739	0.0107189	0.00738487	0.00341257	0.0200484	0.00540411	0.00198798	0.000632832
ú	0.00596283	0.00125001	0.0124548	0.0175111	0.163767	0.650666	0.0226539	0.0303728	0.020934	0.0596766	0.00686427	0.00527355	0.00261348
r	0.000166818	0.000160193	0.0191527	0.00647988	0.0971452	0.817253	0.00682798	0.00412342	0.00687609	0.0330441	0.00384112	0.000745059	0.00418481
ú	0.0241911	0.0196159	0.0025522	0.00953833	0.0689428	0.826288	0.0146323	0.00835772	0.00405254	0.00931873	0.00858794	0.000162422	0.00376022
ú	0.0638515	0.0319787	0.07451	0.0551992	0.0958719	0.449478	0.0546134	0.0406479	0.0177591	0.0210165	0.0239119	0.000956595	0.0702051
r	0.00511603	0.000314231	0.00640207	0.00256107	0.0358394	0.648568	0.0127617	0.00634856	0.0109501	0.048619	0.0331597	0.0046413	0.184719
ú	0.0977693	0.0217132	0.0589387	0.0110916	0.0639161	0.294703	0.0203744	0.0536691	0.0330755	0.0979352	0.0278013	0.0017528	0.21726
y	0.0689319	0.0226999	0.388048	0.0345993	0.0618762	0.17296	0.015642	0.0688814	0.012574	0.0193843	0.0126908	0.000347161	0.121365
é	0.560307	0.0265383	0.19289	0.0126063	0.0101949	0.0294176	0.0108148	0.0351545	0.0125814	0.033449	0.0121312	0.00149392	0.0624207
é	0.149968	0.0337686	0.325067	0.19103	0.0875679	0.119209	0.0356916	0.0225301	0.00976469	0.00708641	0.0116408	0.000794917	0.00588095
f	0.00355319	0.000307293	0.00335719	0.0398508	0.246632	0.648527	0.0226642	0.0106216	0.00464166	0.0110505	0.0046607	0.00131964	0.00281414
ú	0.000540662	5.54992e-05	0.00617978	0.0573416	0.271022	0.567936	0.0301271	0.0147534	0.0153227	0.0140151	0.00830407	0.00268111	0.0117209
r	0.00441769	0.000677754	0.0345675	0.0618765	0.152938	0.615961	0.0220737	0.00457998	0.0120036	0.0183179	0.0165039	0.00233573	0.0537469
ú	0.0149288	0.000669843	0.0176846	0.0944847	0.148139	0.576279	0.0794461	0.0129407	0.0189944	0.00477051	0.0199927	0.000653651	0.0110159
ú	0.00707132	0.00449884	0.0731671	0.467404	0.125207	0.151515	0.116108	0.0213888	0.0148206	0.00228792	0.007419	0.000290284	0.00882235
w	0.0125921	0.000668397	0.00168229	0.0931171	0.228232	0.507293	0.108453	0.0213626	0.0174856	0.00423031	0.00203563	0.00122339	0.00162452
a	0.00293338	0.0015899	0.00517266	0.211357	0.171396	0.242211	0.126522	0.104165	0.09514	0.0101077	0.0134749	0.00178035	0.0141505
n	0.0019169	0.000943791	0.00738992	0.258968	0.126138	0.0517437	0.311084	0.151436	0.0570364	0.00820465	0.0106799	0.00217581	0.0122837
g	0.0284675	0.00497704	0.00995742	0.0341283	0.0622697	0.446364	0.357458	0.0303559	0.00791939	0.00289187	0.00552507	0.000234318	0.00945196
á	0.00175989	0.0036521	0.00769416	0.0202388	0.0251582	0.0665889	0.817029	0.0402571	0.0095668	0.00236385	0.00358665	9.85901e-05	0.0020062
a	0.00161039	0.000250753	0.00295629	0.038513	0.0548663	0.0554185	0.425881	0.242969	0.154494	0.0114329	0.00706388	0.00161235	0.00293153
s	0.00265923	0.00029567	0.00975686	0.0205242	0.111538	0.170594	0.314344	0.0977014	0.121665	0.111712	0.0180391	0.0182921	0.00287705
w	0.00100948	0.00161754	0.00626252	0.00592751	0.0381225	0.0919074	0.283549	0.357981	0.0340269	0.149476	0.018236	0.0043909	0.00749404
é	0.0115677	0.00786288	0.00837021	0.0133729	0.0276816	0.10305	0.28475	0.464121	0.0321955	0.0349237	0.00852737	0.00101223	0.00256452
é	0.00167764	0.000974088	0.0112583	0.0209366	0.030927	0.0334482	0.14194	0.268487	0.190964	0.159842	0.100397	0.018705	0.0204429
d	0.00556755	0.000540992	0.0227437	0.0205279	0.0659734	0.0460057	0.130292	0.0544227	0.146398	0.30873	0.133252	0.0443466	0.0212002
i	0.000568141	0.000394488	0.0035026	0.00198365	0.00943407	0.010932	0.0349538	0.118627	0.0388415	0.575794	0.0660482	0.029382	0.109539
e	0.000377241	0.000241137	0.00514787	0.00251647	0.0110407	0.0137186	0.0306896	0.0597761	0.080558	0.462754	0.247066	0.0512231	0.0348911
b	0.000825392	0.000193164	0.00423183	0.00425722	0.0112247	0.027782	0.0353515	0.0232732	0.0626481	0.180844	0.171907	0.145501	0.331961
é	0.000824776	0.000584559	0.00347355	0.00920341	0.00966465	0.00460567	0.0272513	0.00767412	0.0281695	0.0510982	0.15109	0.641135	0.0652253
</S>	3.43838e-05	4.92763e-05	0.000467571	0.00126859	0.00176705	0.00322438	0.0113085	0.00973438	0.0212222	0.0606105	0.0955115	0.592939	0.201863
