 	la	femme	a	vait	porté	son	pagne	autour	de	la	poitrine	lorsqu'	elle	était	dans	la	maison	</S>
o	0.895969	0.0286807	0.0368933	0.0111394	0.00327218	0.00690922	0.00263639	0.00159601	0.00252072	0.00317036	0.000558503	0.00307738	0.00172425	0.000136508	0.000825588	0.000789477	2.86695e-05	7.2355e-05
y	0.144897	0.683597	0.0681534	0.0273926	0.0310192	0.00407306	0.0026114	0.0015171	0.00194564	0.00156625	0.000407989	0.00120607	0.0026985	0.00438874	0.00660723	0.00484975	0.000808277	0.0122611
ú	0.682445	0.185067	0.00615813	0.00832895	0.0920951	0.00169259	0.0039752	0.00317874	0.00117336	0.00102097	0.00130265	0.000957412	0.000695067	0.00687236	0.00236379	0.000823901	0.00132921	0.000520926
r	0.581716	0.0501527	0.0146632	0.00965235	0.0398866	0.009734	0.00278291	0.0277978	0.0137712	0.0114046	0.00253076	0.00406465	0.00646077	0.115128	0.0432803	0.0206529	0.0219985	0.024323
u	0.847396	0.0255889	0.0215077	0.00783893	0.0170199	0.0206125	0.00488005	0.00562162	0.00458768	0.00326802	0.00131493	0.00565418	0.0100531	0.00782458	0.0051191	0.00265605	0.00178567	0.00727103
á	0.0701064	0.0343581	0.347245	0.420996	0.0493212	0.0183097	0.00437461	0.00563973	0.00543596	0.00336699	0.00310773	0.00638034	0.00758087	0.00504912	0.00641102	0.00128957	0.000218095	0.0108099
l	0.00438132	0.000892112	0.0677766	0.346868	0.484429	0.0241646	0.0069468	0.00869836	0.00646306	0.00417311	0.00240793	0.00508671	0.00472984	0.0125603	0.0120362	0.000903685	0.00147777	0.00600466
á	0.000559914	0.000227775	0.0207217	0.150708	0.754101	0.0189827	0.00186412	0.0114034	0.0058369	0.00234631	0.000576236	0.000530922	0.00165471	0.0100148	0.00764493	0.000916221	0.00103954	0.0108705
r	0.0292294	0.00120576	0.0176199	0.10822	0.724968	0.0500975	0.00705306	0.00968918	0.00761439	0.00339961	0.00163138	0.00234474	0.00445062	0.00835854	0.00662145	0.00186629	0.00260587	0.0130243
i	0.0474609	0.00298488	0.0759116	0.0831446	0.420154	0.22978	0.0146346	0.0169703	0.0253626	0.0133321	0.00289319	0.00269869	0.0095853	0.00352082	0.0106018	0.00898205	0.0140937	0.0178886
e	0.0204806	0.00280519	0.0433523	0.0608098	0.0808644	0.498663	0.12843	0.0437414	0.0325491	0.0149696	0.0143233	0.014982	0.0186732	0.00204999	0.0057595	0.00777021	0.00187835	0.00789779
