 	les	eaux	ont	commencé	à	baisser	</S>
m	0.911592	0.0797278	0.00769678	0.000603433	0.000270545	6.78513e-05	4.18599e-05
á	0.0364944	0.944368	0.00772555	0.00491929	0.00104285	0.00146088	0.00398937
a	0.0450659	0.943769	0.0102558	0.000663568	7.62463e-05	5.30656e-05	0.000115914
á	0.108263	0.161076	0.653065	0.03834	0.0110624	0.00207806	0.0261157
m	0.00954713	0.0236707	0.385174	0.187999	0.306326	0.0646259	0.0226575
i	0.00293123	0.0422991	0.20324	0.3057	0.394093	0.0286604	0.0230757
b	0.00358218	0.012785	0.0917726	0.124693	0.59027	0.155342	0.021556
á	0.0103336	0.0109764	0.051721	0.069377	0.727652	0.0953612	0.0345786
á	0.00793712	0.0528187	0.259312	0.321945	0.24745	0.0647338	0.0458035
n	0.0233344	0.00627213	0.135322	0.361322	0.32487	0.132108	0.0167723
d	0.122395	0.00655778	0.0239698	0.579148	0.0687827	0.138573	0.0605748
á	0.00519808	0.0026496	0.0221734	0.658138	0.063393	0.181456	0.066992
i	0.0258816	0.00427619	0.106436	0.0803737	0.228574	0.280401	0.274057
s	0.00372577	0.00437924	0.00557662	0.00508851	0.137432	0.688491	0.155307
u	0.00162817	0.000482534	0.000876756	0.002184	0.102607	0.852504	0.0397178
n	0.00422546	0.000435485	0.00515253	0.00290233	0.0728365	0.571081	0.343366
d	0.00392834	0.00164557	0.0239372	0.0633815	0.171873	0.383281	0.351954
a	0.0245221	0.00568741	0.0591683	0.132398	0.287423	0.271468	0.219334
</S>	0.031001	0.0013508	0.0205336	0.0395049	0.0936893	0.0850294	0.728891
