 	attention	tu	vas	tomber	</S>
ω	0.850179	0.137775	0.00980455	0.00190444	0.000337602
t	0.172402	0.608586	0.199414	0.0160324	0.00356557
á	0.171948	0.445085	0.231172	0.0796536	0.0721418
a	0.481693	0.27773	0.0523512	0.0550228	0.133203
p	0.324052	0.350052	0.274226	0.0110587	0.0406107
é	0.29182	0.272854	0.290969	0.0132693	0.131088
n	0.061937	0.235494	0.40623	0.0350468	0.261292
a	0.0493842	0.261809	0.560937	0.0538208	0.0740491
o	0.0389606	0.278282	0.415697	0.039407	0.227653
b	0.000378582	0.00380396	0.0712544	0.87107	0.053493
v	7.17257e-05	0.000255562	0.0293829	0.907857	0.062433
e	0.000538392	0.00159001	0.0588926	0.805219	0.13376
</S>	0.000120379	0.00226571	0.00585447	0.225776	0.765983
