 	il	ne	manque	pas	de	commettre	un	délit	là	où	il	habite	</S>
w	0.688078	0.205635	0.0241981	0.0263932	0.0185804	0.00832742	0.012327	0.00406923	0.0033607	0.00311997	0.00571721	0.000165294	2.86072e-05
a	0.740161	0.150616	0.0401053	0.0318372	0.0172561	0.00231102	0.00811014	0.00223923	0.00101592	0.00350586	0.00277102	5.8985e-05	1.25811e-05
a	0.259428	0.471778	0.0586368	0.044843	0.037032	0.0138075	0.0262714	0.0126516	0.0132916	0.0162367	0.0256795	0.00707658	0.0132669
d	0.0728249	0.411407	0.191277	0.0614993	0.0439399	0.044851	0.0377886	0.00869859	0.0188515	0.0411057	0.0296041	0.0199918	0.0181604
i	0.0289636	0.371666	0.218433	0.0517833	0.0410496	0.0497808	0.0292655	0.0104804	0.0046839	0.0364396	0.00395171	0.0244686	0.129034
í	0.0148159	0.17997	0.309446	0.111268	0.11172	0.0420935	0.0325366	0.0113575	0.00533232	0.0133157	0.0041718	0.0357832	0.12819
o	0.0286977	0.0839473	0.239549	0.331698	0.172797	0.0693744	0.0127016	0.00753887	0.00530346	0.0124359	0.00997946	0.00655808	0.0194185
k	0.00283424	0.0526287	0.485802	0.140264	0.114922	0.150037	0.00741949	0.00446143	0.00217947	0.00383308	0.00174761	0.0232667	0.010604
á	0.0048016	0.0332344	0.411094	0.115198	0.0691094	0.240498	0.0405605	0.0248746	0.00732274	0.0111204	0.00256633	0.0105495	0.0290704
m	0.00746576	0.0476271	0.0941363	0.168544	0.142804	0.0376822	0.073853	0.0458449	0.0556251	0.0483905	0.0206356	0.0192712	0.23812
b	0.00964187	0.0194809	0.106724	0.287339	0.415668	0.0403454	0.0482269	0.0145998	0.0232267	0.0120294	0.0109384	0.000409495	0.0113708
á	0.0770495	0.0488929	0.295579	0.166457	0.123265	0.0333855	0.0509144	0.0562422	0.0266147	0.0155864	0.00414702	0.0028828	0.0989834
o	0.0230426	0.0201506	0.0370587	0.228273	0.385982	0.118617	0.0472296	0.0365578	0.0328439	0.015004	0.0322935	0.00171096	0.0212351
n	0.00131136	0.0163697	0.0398371	0.0321601	0.120814	0.671113	0.062888	0.0277328	0.00466652	0.00259087	0.000792552	0.0171782	0.00254532
y	0.00136648	0.01748	0.0400028	0.0174915	0.0628879	0.740092	0.0221268	0.0257179	0.00297576	0.010621	0.00116194	0.00855557	0.0495201
a	0.000220256	0.00183196	0.00468868	0.00590876	0.0142554	0.912371	0.0120873	0.0328181	0.00177028	0.00613024	0.000610967	0.00121692	0.00608976
á	0.000289233	0.0030907	0.0203013	0.0308623	0.0499685	0.645311	0.0524775	0.0893443	0.00245499	0.0142521	0.000994467	0.00827186	0.0823817
e	0.00129978	0.0049593	0.00751207	0.0969118	0.183577	0.259178	0.202371	0.142224	0.0476453	0.0139933	0.0111349	0.00180249	0.027391
p	0.00413957	0.010672	0.0128998	0.0281715	0.0814289	0.169039	0.343291	0.200452	0.0812054	0.0313888	0.0176444	0.00653865	0.0131288
o	0.00203057	0.00775906	0.00544161	0.0241597	0.0393645	0.094371	0.336936	0.273634	0.146632	0.0170789	0.0099599	0.0131542	0.0294783
s	0.00306017	0.0073203	0.0199797	0.0292163	0.0686411	0.172295	0.286458	0.229364	0.0566042	0.00842232	0.00622596	0.0279277	0.0844853
ó	0.000748846	0.00395671	0.00600594	0.0151881	0.0415293	0.181776	0.275389	0.278482	0.0957244	0.0179015	0.0121463	0.00874824	0.0624044
s	0.00194136	0.00359192	0.00340767	0.0168968	0.032743	0.0529981	0.253731	0.200457	0.234418	0.087437	0.0809255	0.00378304	0.0276694
é	0.00562489	0.00929644	0.00896198	0.0156645	0.0383235	0.164171	0.159184	0.311672	0.0673599	0.153111	0.0242458	0.00683467	0.0355503
b	0.00223024	0.00322767	0.00377923	0.0056195	0.0127929	0.054708	0.146692	0.238133	0.0972598	0.314838	0.0751094	0.022507	0.023103
é	0.00416568	0.00979417	0.0238643	0.0146906	0.0287957	0.038632	0.294197	0.172603	0.209646	0.134672	0.0274858	0.0271193	0.0143349
e	0.00287256	0.0016238	0.00336264	0.00856815	0.0130165	0.00559514	0.157316	0.134862	0.448349	0.101409	0.0617529	0.0120266	0.049246
y	0.00054537	0.00137989	0.000972384	0.00475448	0.00725391	0.00622853	0.0933345	0.0467363	0.277922	0.270147	0.255693	0.00532985	0.029703
é	0.00437425	0.0137398	0.00615006	0.0206212	0.0348899	0.0567975	0.165871	0.1707	0.129063	0.229071	0.120939	0.0118026	0.0359798
é	0.000989989	0.00264987	0.00229453	0.00569794	0.0116264	0.0180317	0.063398	0.0652212	0.0894628	0.397091	0.271826	0.0311995	0.0405103
d	0.00101648	0.00866455	0.00999897	0.0114359	0.0167306	0.0142629	0.0520642	0.013155	0.0341152	0.349731	0.263879	0.121793	0.103153
z	0.000127063	0.00216439	0.00353769	0.00203927	0.00995273	0.00412137	0.0281207	0.00579567	0.0179752	0.237508	0.0666239	0.153633	0.468401
e	0.00106672	0.00382834	0.00511018	0.0037926	0.020692	0.0209076	0.050883	0.0163859	0.016732	0.110417	0.038387	0.59369	0.118108
e	0.000380589	0.000682756	0.000332162	0.0018148	0.00449444	0.00839545	0.0661702	0.0288241	0.0926434	0.235075	0.19763	0.147041	0.216516
m	0.000466537	0.00145969	0.00118868	0.00230756	0.00492163	0.00563893	0.0125178	0.00819283	0.0180413	0.136209	0.247767	0.107356	0.453934
á	0.000348101	0.0024921	0.00436232	0.0043755	0.0193153	0.00258007	0.0155306	0.00757732	0.0154746	0.103704	0.143801	0.200108	0.480331
w	3.52195e-05	0.000286335	0.00100748	0.00237499	0.00649523	0.00533209	0.0202626	0.0106766	0.0166371	0.107426	0.164948	0.172709	0.49181
a	0.000609626	0.000811997	0.000704346	0.00290717	0.00583701	0.00383102	0.0480082	0.0251495	0.114214	0.247004	0.450941	0.0240943	0.0758882
k	7.70253e-05	0.00011164	0.000171138	0.00070089	0.000957829	0.00122676	0.0110787	0.00599621	0.0274085	0.0870511	0.315361	0.0918519	0.458008
a	0.000216831	0.000396638	0.00064843	0.00410249	0.00370884	0.00342263	0.0479266	0.016629	0.082165	0.19075	0.352541	0.10207	0.195423
á	4.39496e-05	0.000154577	0.000132208	0.00037115	0.000657653	0.00130559	0.014717	0.00362309	0.0321316	0.0621838	0.0795232	0.075397	0.729759
</S>	0.000192611	0.000616551	0.0011082	0.00313989	0.0038782	0.00221691	0.0101705	0.00462644	0.0154568	0.0906651	0.206926	0.112738	0.548265
