 	il	faut	retenir	tout	ce	qu'	ils	te	diront	</S>
o	0.384034	0.222882	0.190427	0.0226431	0.0566246	0.0501921	0.0141152	0.00964565	0.0486029	0.000833805
k	0.0127124	0.160264	0.615802	0.030755	0.0195437	0.00749197	0.00251351	0.0133178	0.125417	0.012183
a	0.000612153	0.00420449	0.754812	0.0557004	0.0723919	0.0146168	0.000432634	0.00649149	0.0502657	0.0404719
n	0.000962822	0.00558309	0.524251	0.178712	0.126299	0.0500738	0.00603428	0.020373	0.0233077	0.0644028
a	0.107985	0.135636	0.446573	0.0836123	0.0733881	0.0437199	0.0100505	0.0141944	0.0165438	0.0682963
a	0.200983	0.0810824	0.0641004	0.187627	0.166919	0.174591	0.0606447	0.0252743	0.0193303	0.0194476
y	0.0302078	0.0243448	0.0160214	0.258199	0.209938	0.199574	0.117137	0.0750829	0.0164439	0.0530511
é	0.011089	0.00226495	0.0102255	0.216337	0.240316	0.18806	0.0797867	0.151752	0.000276865	0.0998928
é	0.0210829	0.00352819	0.00497644	0.0974411	0.118548	0.198882	0.153844	0.0519444	0.000972474	0.34878
s	0.00220531	0.00277771	0.00213212	0.131239	0.196449	0.263337	0.155619	0.15097	0.00752872	0.0877428
ε	0.000261204	8.03776e-05	0.00052336	0.097774	0.132327	0.175676	0.10345	0.278319	0.000182545	0.211406
r	0.00112677	0.000578893	0.0015902	0.0928682	0.329726	0.264027	0.0521452	0.159826	0.00178764	0.0963237
έ	0.00314112	0.00234642	0.00447282	0.0397241	0.132387	0.200986	0.218424	0.37679	0.00018824	0.0215398
b	0.00282333	0.000843835	0.00140759	0.0676955	0.103517	0.314468	0.19206	0.22215	0.00775874	0.0872771
á	0.0103325	0.00435688	0.00175123	0.0292371	0.179056	0.401138	0.155131	0.0969028	0.0411826	0.0809112
a	0.00298901	0.00437047	0.000622433	0.0289758	0.0833896	0.243653	0.441472	0.0797259	0.0309022	0.0839001
l	0.000703447	0.000727285	0.00119232	0.0272445	0.0492732	0.110466	0.127841	0.285639	0.0349523	0.361961
a	0.00069859	0.000514631	0.00271051	0.0267668	0.0261071	0.038061	0.0592757	0.262868	0.0211681	0.56183
n	0.000974385	0.000542463	0.0012766	0.0340158	0.0959264	0.109334	0.0517104	0.154178	0.0504662	0.501575
ω	0.000474019	0.000383786	0.00129941	0.00308248	0.00582918	0.0211312	0.219408	0.577677	0.00413956	0.166575
é	5.01275e-05	9.20328e-05	0.00136857	0.0135134	0.012013	0.0193625	0.0244313	0.064407	0.023209	0.841553
t	0.000610955	0.000328537	0.00706006	0.0813197	0.0647908	0.0219068	0.00729459	0.192568	0.151687	0.472433
s	0.000336385	0.000362738	0.0038549	0.0625111	0.108106	0.0345054	0.0120768	0.165267	0.291222	0.321758
ω	0.000276065	0.000222748	0.00207741	0.024287	0.115629	0.0900615	0.0258246	0.158296	0.43587	0.147456
s	0.000282544	7.90474e-05	0.000362663	0.0147373	0.0446007	0.0864186	0.0902089	0.074112	0.0660199	0.623178
í	0.000349134	9.60872e-05	0.00216665	0.0258588	0.10062	0.103554	0.0331758	0.293811	0.043303	0.397065
b	0.00370689	0.00063961	0.000377248	0.0046307	0.0214204	0.0837522	0.211095	0.0722775	0.0237038	0.578397
o	0.00518008	0.0092811	0.000457587	0.00280461	0.0131885	0.0494495	0.331941	0.0450468	0.497479	0.0451718
ó	0.000115887	0.000114039	0.00112134	0.0128046	0.0437935	0.0331984	0.0139666	0.0429313	0.456346	0.395608
</S>	0.00767747	0.000863288	0.00474866	0.0532793	0.0370283	0.055697	0.0308566	0.0964695	0.0171479	0.696232
