 	ces	femmes	ont	attrapé	des	grenouilles	pendant	la	pêche	</S>
a	0.567245	0.412173	0.0170206	5.09689e-05	0.00181478	0.000475506	0.000927695	0.000255807	1.15951e-05	2.56332e-05
y	0.253365	0.453346	0.239694	0.0154197	0.00554703	0.0257414	0.0015657	0.000717945	0.0040083	0.000595288
ú	0.56205	0.407028	0.0155979	0.00475331	0.001777	0.00367935	0.00139956	0.000854293	0.000420043	0.00243984
r	0.63474	0.135623	0.0191953	0.0198955	0.0263327	0.0196145	0.0068077	0.00616931	0.00297575	0.128646
u	0.772321	0.185949	0.0114879	0.0010726	0.0166268	0.00289632	0.00375536	0.00196316	0.000264362	0.00366332
b	0.18255	0.169697	0.510406	0.0354061	0.0270219	0.00239947	0.0088369	0.0279958	0.00381587	0.0318711
á	0.222653	0.144191	0.356491	0.00117059	0.0256881	0.00168592	0.06274	0.108118	0.0224885	0.0547745
á	0.096777	0.246697	0.563474	0.0161937	0.0252139	0.00148099	0.0136391	0.0240348	0.0036467	0.0088428
p	0.00138274	0.000405703	0.065221	0.685401	0.084178	0.101136	0.00990155	0.0147131	0.0160328	0.0216282
i	0.000228732	0.000177139	0.0377495	0.937031	0.00451731	0.0101843	0.00234573	0.000985879	0.0041671	0.00261328
i	0.00343963	0.0013484	0.0388439	0.641758	0.0597526	0.219341	0.0158643	0.00646511	0.00911919	0.0040685
a	0.0122308	0.00887958	0.0418134	0.0190838	0.61164	0.10691	0.0957334	0.0720052	0.00767909	0.024025
m	0.00467015	0.00222683	0.00934458	0.0297379	0.144198	0.408483	0.18967	0.100542	0.0885706	0.0225569
b	0.00240188	0.000983964	0.00130318	0.00122435	0.0492566	0.590285	0.209982	0.0964548	0.01813	0.0299775
a	0.00087937	0.000258289	0.000491426	0.000258799	0.0224179	0.538418	0.298556	0.106772	0.0173648	0.0145829
l	0.00152692	0.000379435	0.00329031	0.00185913	0.0243309	0.0793355	0.535865	0.191943	0.0436437	0.117827
a	0.00585115	0.00152387	0.00306855	0.00388349	0.0381733	0.111501	0.52119	0.0846955	0.0692684	0.160844
n	0.0018066	0.00025946	0.00158069	0.00149643	0.0244009	0.00997052	0.316754	0.413628	0.103521	0.126583
y	0.0493019	0.0443662	0.00527806	0.000379725	0.0117629	0.0126364	0.301784	0.103287	0.134785	0.336419
i	0.0141278	0.00785419	0.00126149	0.000813897	0.0268524	0.0118891	0.361389	0.200115	0.184389	0.191308
r	0.000297336	8.03716e-05	0.000679208	0.00225185	0.0135402	0.0634447	0.297971	0.149973	0.357639	0.114123
a	0.00157568	0.000177544	0.000615542	0.000453701	0.0096391	0.0284693	0.230225	0.145648	0.127062	0.456134
m	0.00226173	0.000305108	0.00293338	0.000622511	0.0272377	0.00138006	0.0672476	0.37478	0.105649	0.417583
í	0.0343447	0.00735595	0.00174544	0.000241193	0.0196085	0.00573948	0.139179	0.370915	0.184003	0.236869
t	0.0024844	0.000345412	0.00148004	0.000828929	0.0180671	0.00268739	0.027531	0.131344	0.637203	0.178029
ó	0.00164779	0.000351803	0.00183163	0.00939068	0.00139198	0.000989644	0.0101226	0.0346507	0.862618	0.0770057
a	0.000101689	1.53942e-05	9.98587e-05	0.00218456	0.000442437	0.00108087	0.00423974	0.018139	0.91825	0.0554463
</S>	0.0041887	0.000331368	0.00395778	0.00284294	0.0143948	0.00442563	0.0279165	0.17706	0.240602	0.524281
