 	on	entend	les	abeilles	bourdonner	autour	de	la	ruche	</S>
l	0.853283	0.0729073	0.0523384	0.00678284	0.00177432	0.00359948	0.00514169	0.00408918	7.40069e-05	9.82806e-06
é	0.423224	0.4039	0.0427634	0.0462346	0.0225938	0.0165618	0.0194465	0.0199855	0.00461458	0.000675719
e	0.271447	0.57007	0.00884117	0.0439952	0.0198344	0.0210694	0.0190962	0.0142313	0.0134269	0.0179883
b	0.0161264	0.763214	0.0415118	0.0168467	0.023585	0.015341	0.00753917	0.00184618	0.00416383	0.109826
ó	0.00996789	0.824611	0.113535	0.00882205	0.00732155	0.00421713	0.00622551	0.00484664	0.00138468	0.0190685
n	0.0179312	0.834524	0.0675828	0.0121042	0.0205212	0.0113395	0.00692115	0.00393155	0.00110944	0.0240345
d	0.050318	0.653467	0.0644963	0.104605	0.0579615	0.0203281	0.0129339	0.00294981	0.00202841	0.0309118
á	0.0865243	0.418356	0.119008	0.218563	0.0537007	0.028833	0.0153802	0.0033905	0.00262125	0.0536243
a	0.103555	0.0628674	0.466024	0.311221	0.0227139	0.00869525	0.00964766	0.0110969	0.00243991	0.00173921
n	0.0349663	0.0370478	0.198896	0.598081	0.101867	0.0120945	0.00607127	0.00409082	0.00577353	0.00111181
d	0.00666217	0.00296549	0.0523066	0.903426	0.0105091	0.00524924	0.00757381	0.00536379	0.00109878	0.00484469
z	0.00254067	0.00580164	0.0633322	0.873162	0.0278965	0.00884449	0.00715085	0.00680058	0.00259701	0.00187365
ú	0.000125901	0.00222107	0.00333771	0.964831	0.015216	0.00843671	0.00286306	0.00151573	0.000202339	0.00125033
e	0.00293877	0.0191366	0.0111551	0.621338	0.117021	0.175024	0.03554	0.00807352	0.00117798	0.00859518
b	0.00305148	0.0157348	0.135206	0.036388	0.355406	0.298236	0.110939	0.00860402	0.000986525	0.0354484
á	0.035352	0.00671596	0.0672635	0.00854648	0.342446	0.184082	0.188761	0.0740776	0.0273858	0.0653692
a	0.0562022	0.00305941	0.227049	0.0246034	0.211667	0.185717	0.149076	0.0760972	0.0231267	0.0434005
f	0.00480693	0.0194856	0.0198149	0.0118235	0.379637	0.402504	0.0992316	0.0103835	0.0156	0.0367128
ú	0.000275284	0.0204735	0.0111558	0.00216064	0.309612	0.466553	0.0979677	0.0104808	0.0253169	0.056005
ú	0.00136663	0.00199485	0.0061552	0.052943	0.503201	0.377815	0.0295625	0.00158835	0.00261607	0.0227571
n	0.000524661	9.99583e-05	0.00211553	0.00599311	0.320607	0.351361	0.21606	0.0504964	0.0055854	0.0471575
g	0.00113502	0.00043644	0.00437787	0.0455257	0.161859	0.274897	0.339485	0.121562	0.0171286	0.033594
á	0.000579571	0.000841209	0.00361005	0.0359918	0.149398	0.437925	0.236874	0.115682	0.00802935	0.0110689
s	0.000550479	0.000261183	0.00418437	0.00345785	0.0306962	0.0925134	0.474599	0.265017	0.0189107	0.109809
á	0.000403651	0.000188402	0.00266918	0.000553107	0.0188432	0.0908588	0.252725	0.410835	0.0490077	0.173915
n	0.000922901	0.000322583	0.00200097	0.000359948	0.00281362	0.0090927	0.0491297	0.351801	0.561164	0.0223925
d	0.00116067	0.000211022	0.00238374	0.0100582	0.00392635	0.0227931	0.145884	0.703002	0.0729259	0.0376553
é	0.000966213	0.00128672	0.000885113	0.0511004	0.0082745	0.0134037	0.0506058	0.353905	0.341893	0.177679
e	0.000134583	0.000708387	0.000815409	0.00214156	0.0341651	0.128384	0.239579	0.104944	0.158156	0.330972
y	0.00022081	0.000572586	0.00328076	0.00214992	0.0243196	0.0700231	0.25762	0.195343	0.0294885	0.416982
á	0.00262476	0.00324325	0.0195657	0.0034797	0.0500086	0.10088	0.185203	0.331163	0.0297721	0.27406
b	0.000995614	0.00273362	0.0109579	0.000579482	0.0144877	0.0316792	0.107007	0.428505	0.208062	0.194993
á	0.000836385	0.000848315	0.00231847	0.000139915	0.00736027	0.0152699	0.0412169	0.121268	0.650751	0.15999
a	0.00102972	0.0013281	0.00509591	0.000173635	0.0042681	0.0124115	0.0591032	0.159447	0.31218	0.444963
</S>	0.00253794	0.00146814	0.00795122	0.000931357	0.0119353	0.0214374	0.0783187	0.169998	0.136117	0.569305
