 	la	manière	dont	il	s'	est	plaint	s'	il	ne	mange	pas	dans	les	heures	qui	suivent	il	va	mourir	</S>
e	0.747632	0.0953851	0.0732533	0.029273	0.0182481	0.00843225	0.00443393	0.0042209	0.00396919	0.00425462	0.000611058	0.0028739	0.0016255	0.00145623	0.000469809	0.00227705	0.00101614	0.000225047	0.000207096	1.88327e-05	0.000116861
k	0.00198497	0.000440656	0.00147649	0.00367958	0.0502161	0.580155	0.150853	0.0255702	0.0198146	0.0235561	0.0663392	0.0146307	0.0349841	0.00415787	0.00725814	0.0091091	0.00296527	0.000694358	0.000547395	0.00123924	0.000327711
a	0.0062623	0.00399946	0.00166445	0.0098813	0.0504113	0.267047	0.0611274	0.064093	0.0296082	0.044416	0.0860312	0.0517723	0.122582	0.0279827	0.0331963	0.0743205	0.042457	0.00887462	0.00573931	0.0036393	0.00489489
y	0.00775472	0.0492195	0.0108869	0.02061	0.0512488	0.341568	0.165555	0.0684764	0.0489678	0.0612102	0.0474423	0.024409	0.0497793	0.0113423	0.00493354	0.0141332	0.00610713	0.00598946	0.0024401	0.00119683	0.00672925
í	0.0514075	0.0155528	0.00357676	0.00703741	0.0418359	0.109621	0.0945857	0.0642263	0.0819231	0.0769397	0.057189	0.064027	0.0686929	0.0477407	0.0215632	0.0712165	0.0161496	0.0337446	0.0225741	0.00436641	0.0460299
l	0.0538765	0.0645117	0.0549624	0.122926	0.139188	0.134852	0.094541	0.0754509	0.0517267	0.0332765	0.00936357	0.0231164	0.0202381	0.0207247	0.00583895	0.0131315	0.00440694	0.0285701	0.0165546	0.00313078	0.0296132
í	0.0738866	0.0326969	0.0689021	0.0561257	0.0707199	0.0837622	0.0604671	0.0320408	0.044962	0.0206463	0.0445415	0.0306307	0.0335572	0.0241491	0.0153416	0.0172506	0.0121287	0.0420525	0.00922265	0.0174506	0.209465
y	0.356206	0.265982	0.0999443	0.0886598	0.0402363	0.0261004	0.0202446	0.0179048	0.013239	0.00796077	0.00249847	0.00675996	0.00633167	0.00651564	0.00245047	0.00445703	0.00217144	0.0123142	0.00713372	0.000813953	0.0120751
é	0.0920766	0.123901	0.523724	0.0514975	0.0172785	0.015893	0.0110416	0.00992093	0.0107458	0.00705338	0.0140644	0.0105225	0.0118032	0.00596007	0.014971	0.00859606	0.005572	0.0249207	0.00577999	0.00183223	0.0328456
é	0.0803806	0.110896	0.270992	0.061975	0.0665005	0.0455364	0.0400345	0.0225581	0.0207037	0.0206199	0.0204253	0.0268008	0.0217505	0.013165	0.0302745	0.0265489	0.0189118	0.030547	0.0163059	0.00299445	0.0520803
