 	jadis	on	éclairait	la	maison	avec	le	feu	d'	une	brindille	maais	aujourd'	hui	c'	est	avec	des	lampes	</S>
l	0.984885	0.0073733	0.00118248	0.000898357	0.00063319	0.000394867	0.000942213	0.00038258	0.000280498	0.00157892	0.000430002	6.65499e-05	6.81977e-05	0.00011139	0.000116611	7.88216e-05	4.7945e-05	0.000389105	0.000121448	1.90064e-05
a	0.99043	0.00553497	0.00114369	0.0006634	0.00023393	0.000246875	0.000246152	9.57552e-05	0.000266789	0.00043956	0.000191918	1.08324e-05	1.98277e-05	1.41991e-05	3.56099e-05	3.53605e-05	4.1409e-05	3.86131e-05	0.000273996	3.75818e-05
k	0.845598	0.0320022	0.0218303	0.0188078	0.0128317	0.0143534	0.0123728	0.00710271	0.00875065	0.0120413	0.00517203	0.000769029	0.000478493	0.000223967	0.000872416	0.000474315	0.000790312	0.00064817	0.0032977	0.00158284
a	0.905576	0.0346379	0.0131085	0.00626187	0.000993653	0.00659668	0.00280053	0.000240651	0.00388712	0.00187102	0.0010986	0.00199868	0.0026551	0.00245507	0.00432915	0.002554	0.00309533	0.000926847	0.00106916	0.00384387
l	0.950797	0.0254657	0.00333875	0.00209472	0.000386396	0.00134831	0.00110454	0.000516657	0.00147423	0.000764688	0.000885886	0.00326054	0.00048671	0.000275278	0.000547027	0.000723917	0.00137856	0.000257427	0.000689011	0.00420453
a	0.819588	0.0691351	0.0106745	0.00905015	0.00298574	0.0115878	0.00422195	0.00124232	0.00841627	0.00504212	0.00142673	0.00624943	0.00583941	0.00328577	0.00515914	0.00417587	0.00841471	0.00199685	0.00104313	0.0204654
á	0.0327074	0.762223	0.0510213	0.0164954	0.00533776	0.0103937	0.00788781	0.0119151	0.0147004	0.00439316	0.00457822	0.00996484	0.0060473	0.00413626	0.00553333	0.00503396	0.00805291	0.00370613	0.00249035	0.0333816
d	0.0122684	0.56482	0.271116	0.0294618	0.0179475	0.00727943	0.00943311	0.00664592	0.0154449	0.00476929	0.002918	0.0125012	0.00304934	0.00140548	0.0035185	0.00763561	0.00820311	0.00117831	0.00159674	0.0188066
z	0.00182251	0.297995	0.528157	0.0499619	0.0131145	0.00855932	0.00550903	0.00815191	0.0204449	0.00349318	0.000716814	0.00800455	0.00201411	0.000365151	0.00159267	0.00326554	0.00806138	0.0011985	0.00229025	0.0352819
a	0.00155176	0.168801	0.651986	0.0557179	0.0744901	0.0126971	0.00664975	0.00592826	0.0067975	0.00427983	0.00114252	0.000530588	0.00112288	0.000294005	0.00159223	0.000986914	0.000966357	0.000695502	0.00160279	0.00216731
b	0.000834011	0.232659	0.353229	0.104367	0.0237321	0.0210333	0.0120977	0.011987	0.0219409	0.00857064	0.00205205	0.023168	0.0171554	0.0113246	0.0164767	0.0190483	0.0212351	0.0265935	0.00448059	0.0680143
á	0.00057291	0.297212	0.352973	0.125309	0.0158494	0.03959	0.0194172	0.00326324	0.0157482	0.00954265	0.0273987	0.00801739	0.0115332	0.00536744	0.00439596	0.00980271	0.0263676	0.00449447	0.00906037	0.0140847
a	0.000173781	0.213321	0.359526	0.120192	0.032319	0.0253542	0.0125258	0.00777631	0.0165386	0.0110126	0.041779	0.0173186	0.0130619	0.0104939	0.00619669	0.0129507	0.0299873	0.0200969	0.0215199	0.027856
t	0.00710004	0.0501421	0.354564	0.254272	0.0726745	0.0368644	0.0353158	0.0144394	0.0250891	0.00558815	0.00914273	0.0527998	0.00812144	0.005233	0.00671561	0.0121051	0.0159645	0.00190473	0.00437441	0.0275891
á	0.00701271	0.043755	0.227857	0.117666	0.010283	0.0485638	0.0356152	0.00258177	0.0317156	0.0114399	0.013333	0.0407024	0.0296376	0.01852	0.0253976	0.0565529	0.132071	0.00641223	0.00726746	0.133615
á	0.000727027	0.0476019	0.29752	0.0948436	0.0210366	0.0223674	0.0195561	0.00462215	0.0388658	0.00853944	0.00520641	0.0372213	0.028542	0.0342536	0.0272301	0.0473714	0.0442382	0.0064912	0.0148814	0.198885
n	0.000259963	0.0227648	0.0712254	0.152528	0.328602	0.186816	0.0857548	0.0496994	0.0221762	0.012887	0.00790909	0.0124217	0.0103808	0.00701514	0.00538165	0.00360766	0.00373948	0.00660158	0.00187983	0.00834968
d	0.00012884	0.00676223	0.0275675	0.0784829	0.724976	0.0560435	0.0226305	0.0100918	0.00352824	0.00783301	0.0324105	0.000604869	0.000437491	0.000115301	0.000255788	0.000255691	0.00171837	0.00137639	0.0188992	0.00588208
é	8.14366e-05	0.000734322	0.00532963	0.023217	0.879313	0.0221377	0.0168463	0.00385872	0.00196469	0.00642371	0.0112254	0.000488346	0.000509058	0.000161426	0.000297197	0.000477699	0.00173612	0.000725059	0.0202066	0.00426623
e	0.000329291	0.0144102	0.031659	0.162599	0.145967	0.24428	0.129735	0.024261	0.0356012	0.0780866	0.0807275	0.00608184	0.00188548	0.000497116	0.00157897	0.00184808	0.00701144	0.00619012	0.0132174	0.014034
m	0.000204389	0.00507912	0.00761813	0.077281	0.0593886	0.360751	0.236058	0.101987	0.0569024	0.0309656	0.0105717	0.0312943	0.00648647	0.00403646	0.00398169	0.00160265	0.00142038	0.00129887	0.000245707	0.00282761
ó	3.79932e-06	0.000874893	0.000953959	0.0100523	0.00113466	0.0424034	0.298796	0.277695	0.0695995	0.0490141	0.169168	0.0309404	0.0156289	0.00339558	0.00597272	0.00389652	0.00264556	0.00417319	0.00463811	0.00901404
m	0.000174746	0.00328759	0.0034793	0.0136747	0.00403026	0.047551	0.243064	0.22346	0.0972643	0.0885467	0.116905	0.11684	0.0037704	0.00289648	0.00258219	0.00738938	0.00952437	0.00195293	0.00813993	0.00546698
ω	1.93912e-05	0.00141135	0.00178924	0.00493122	0.000381969	0.0213476	0.19361	0.386822	0.0819131	0.0402452	0.160403	0.087255	0.00330225	0.00129727	0.00162108	0.00291296	0.00279412	0.000564196	0.00285408	0.00452627
n	4.36035e-05	0.00106152	0.00299355	0.00951878	0.00246663	0.0382136	0.277091	0.108371	0.101601	0.149148	0.154065	0.0882557	0.00532719	0.00281981	0.00419696	0.0145712	0.0200272	0.00324448	0.0102249	0.00675915
d	0.000364451	0.00112181	0.00135915	0.0153829	0.00546074	0.0735264	0.327008	0.0348235	0.0710925	0.219872	0.145804	0.030529	0.00801244	0.00167531	0.00426013	0.00505705	0.0166725	0.00820777	0.0122284	0.0175429
í	0.000383237	0.000865835	0.00405452	0.0277617	0.0511378	0.0890337	0.207832	0.0275744	0.0479945	0.177768	0.261201	0.00644535	0.00498559	0.00181819	0.0026791	0.00267558	0.00761356	0.0058849	0.035685	0.0366062
