 	j'	ai	préparé	du	poisson	aux	légumes	</S>
n	0.844854	0.0537209	0.0130513	0.0740772	0.00289496	0.00727462	0.00350163	0.000625294
g	0.889605	0.100911	0.00500549	0.0017247	0.000914755	0.00156277	0.000212518	6.42682e-05
á	0.405139	0.424931	0.16115	0.00392363	0.00259903	0.00144962	0.000652875	0.000155573
í	0.0803278	0.257931	0.173158	0.131317	0.0552999	0.0782402	0.0564105	0.167316
l	0.00399413	0.0284411	0.915621	0.026279	0.012197	0.00321489	0.0040013	0.00625193
á	0.000639188	0.0246797	0.812976	0.0518792	0.0395928	0.00759143	0.0262321	0.0364099
m	0.0112141	0.117542	0.640108	0.173888	0.0294939	0.0176586	0.00683205	0.00326332
b	0.000785005	0.017565	0.14578	0.670728	0.0747956	0.0148155	0.0617366	0.0137942
i	0.00542905	0.0962679	0.20843	0.463679	0.109974	0.0812904	0.0177339	0.0171952
s	0.0227798	0.0646175	0.00944112	0.119769	0.196177	0.526217	0.0397795	0.0212184
w	0.00279648	0.0191042	0.0560414	0.240861	0.464658	0.0631287	0.127849	0.0255619
é	0.0238003	0.0399389	0.0390544	0.0996497	0.493652	0.148358	0.129383	0.0261636
s	0.00248128	0.0223246	0.028361	0.0838697	0.284825	0.358811	0.110647	0.10868
á	0.000495015	0.00288129	0.0127452	0.0485388	0.245265	0.0864911	0.307496	0.296087
n	0.00179049	0.0057514	0.00341859	0.0453852	0.0920031	0.154907	0.6317	0.0650437
d	0.00987747	0.0140585	0.0102533	0.0371291	0.148032	0.10323	0.347088	0.33033
ú	0.0165917	0.0137711	0.0109215	0.0145465	0.0618005	0.0902085	0.251524	0.540636
n	0.000518804	0.000467777	0.00129157	0.0140977	0.0238155	0.00612235	0.474974	0.478712
d	0.00586457	0.00209096	0.00294493	0.0127953	0.0267855	0.0306048	0.247394	0.67152
a	0.00047564	0.000602869	0.000869481	0.0102994	0.0163617	0.0135912	0.227874	0.729926
</S>	0.000420458	0.00321817	0.00473883	0.0298556	0.0157	0.0523376	0.0605345	0.833195
