 	avec	toute	l'	ostentation	dont	tu	fais	montre	as-tu	vraiment	de	l'	argent	</S>
l	0.507649	0.335469	0.098649	0.0117745	0.0165335	0.0081913	0.00549717	0.00656366	0.00339575	0.00166177	0.00146019	0.00302026	0.000101689	3.24601e-05
e	0.37095	0.451684	0.0579683	0.00991034	0.00687398	0.0143182	0.0230188	0.0263529	0.0174875	0.00975058	0.00358062	0.00682765	0.000991106	0.000285996
t	0.126283	0.553846	0.0464936	0.0695347	0.0253483	0.0219321	0.0705175	0.0359438	0.0174927	0.0147345	0.00497687	0.00552361	0.00101522	0.0063577
á	0.0474385	0.39699	0.116239	0.0833008	0.0386651	0.0196018	0.0954176	0.0259552	0.0286075	0.0483609	0.0341112	0.0130799	0.00421579	0.0480172
á	0.0499763	0.0927883	0.0754585	0.289163	0.0246278	0.0169522	0.0465439	0.0217084	0.0278359	0.0267453	0.0219207	0.0134462	0.00232699	0.290506
m	0.139096	0.0500902	0.554009	0.0863604	0.0353406	0.0224756	0.0130727	0.0254255	0.0195938	0.0121998	0.00887886	0.0131347	0.000497595	0.0198248
á	0.101903	0.0461508	0.370198	0.332232	0.0185736	0.00287122	0.00691398	0.0103171	0.0253633	0.00717845	0.00796671	0.00525802	0.0272621	0.0378117
l	0.157064	0.03393	0.132812	0.423562	0.0376635	0.0285731	0.0274588	0.0240081	0.0364263	0.0184764	0.0178356	0.0149462	0.0133948	0.0338491
í	0.139666	0.0865201	0.185119	0.0929322	0.101489	0.0606782	0.0649927	0.0557685	0.0639673	0.0456785	0.0280973	0.0166522	0.00136155	0.0570774
í	0.0238037	0.0137597	0.226059	0.276131	0.170961	0.0531442	0.0206663	0.0332053	0.0260121	0.0215975	0.0173112	0.0385274	0.0053872	0.0734341
d	0.0184215	0.032245	0.126545	0.454589	0.0595829	0.0374217	0.101973	0.0236292	0.0243124	0.0518043	0.0334231	0.0106519	0.000551522	0.0248492
í	0.00423849	0.00400073	0.0766336	0.514588	0.0575391	0.0181098	0.063761	0.018513	0.0174984	0.0586965	0.0415013	0.010894	0.000652341	0.113373
l	0.00767015	0.00496419	0.0890383	0.358879	0.167183	0.0448328	0.0708616	0.0216493	0.0132425	0.0471257	0.0475997	0.0269983	0.00126601	0.0986887
a	0.00405733	0.0044152	0.0418504	0.163325	0.222409	0.0798285	0.110291	0.0439288	0.0461684	0.0469127	0.0330039	0.023054	0.0010034	0.179752
n	0.00692639	0.00427121	0.0357185	0.181225	0.391015	0.126503	0.0888504	0.0328652	0.0199836	0.0182556	0.0161088	0.0133002	0.0229468	0.0420304
ω	0.00103229	0.00178341	0.00598413	0.0040789	0.643644	0.210203	0.0284885	0.0516627	0.0140112	0.00665238	0.00544348	0.00349171	0.0158185	0.00770511
d	0.00159237	0.00706766	0.0645429	0.082189	0.260528	0.235013	0.155211	0.0510771	0.024679	0.041595	0.0231108	0.0201839	0.0057159	0.0274944
í	0.003481	0.00717095	0.0267409	0.180336	0.277498	0.0659483	0.174521	0.0218412	0.00769911	0.0257404	0.031085	0.00738956	0.00313488	0.167414
n	0.00199465	0.00100596	0.0299786	0.110451	0.119938	0.214802	0.259874	0.0982072	0.0259125	0.0422275	0.0199735	0.0178404	0.00122107	0.0565735
ω	0.00275751	0.00367063	0.00792206	0.00433547	0.155923	0.413448	0.174322	0.0919411	0.0545493	0.0195853	0.00646524	0.00510191	0.00685391	0.0531242
ó	0.000351	0.000725628	0.0117485	0.0136746	0.0567115	0.38567	0.240831	0.112101	0.0529759	0.0626503	0.0173592	0.0160715	0.00143189	0.0276978
d	0.0162028	0.0235546	0.0132493	0.0151844	0.00285553	0.0461143	0.474185	0.0881895	0.046056	0.193046	0.0600638	0.0136417	0.0011605	0.00649624
í	0.00258847	0.00123619	0.00462402	0.0121313	0.004529	0.0323334	0.248337	0.0801032	0.0334866	0.208196	0.148956	0.022177	0.0010537	0.200248
l	0.00349944	0.000626556	0.0055558	0.00841101	0.0130977	0.0535819	0.128283	0.139149	0.0801427	0.258087	0.128148	0.0703158	0.00238584	0.108717
a	0.000614161	0.000403872	0.00202235	0.00630289	0.0050264	0.0500074	0.1298	0.0792543	0.0816757	0.253953	0.144344	0.0469431	0.00215141	0.197502
b	0.000590053	0.00096218	0.00493958	0.00259895	0.0113179	0.0845382	0.0756636	0.102792	0.103004	0.215416	0.126843	0.101549	0.0613915	0.108394
e	0.00384773	0.00652984	0.0105907	0.0101898	0.00288408	0.0941916	0.230956	0.0785815	0.0943777	0.141866	0.253326	0.0449705	0.0142604	0.0134279
a	0.000564778	0.00204309	0.00624682	0.0167947	0.00337751	0.0535758	0.136108	0.0423572	0.0719232	0.15029	0.25024	0.0472736	0.048602	0.170603
</S>	0.000505152	0.000258453	0.00181542	0.000750055	0.00250487	0.0245726	0.0217	0.10291	0.139472	0.226371	0.184796	0.245529	0.0120958	0.0367201
