 	ouvre	une	fente	sur	cet	arbre	</S>
k	0.53167	0.354755	0.0377504	0.050359	0.0106915	0.0122348	0.0025401
a	0.696435	0.11834	0.135579	0.0141917	0.00696641	0.0201844	0.00830366
n	0.205712	0.672533	0.0526883	0.0381359	0.00852526	0.00285314	0.0195517
á	0.478076	0.446548	0.0157977	0.0242915	0.00729781	0.00215601	0.0258328
i	0.0338599	0.242655	0.458733	0.150365	0.0346514	0.00392342	0.0758123
b	0.0235814	0.104443	0.110956	0.38973	0.156333	0.0302067	0.18475
v	0.00251746	0.0119601	0.529305	0.120037	0.0182926	0.303753	0.0141351
ú	0.0111416	0.0362759	0.31458	0.405585	0.0387499	0.143212	0.0504551
a	0.00451689	0.0541765	0.0375497	0.479636	0.26738	0.132563	0.0241776
d	0.002018	0.0145145	0.0198497	0.37664	0.381843	0.0578383	0.147297
í	9.5521e-05	0.00501349	7.66298e-05	0.0721266	0.27917	0.00924166	0.634277
p	0.00019413	0.0038989	0.00327027	0.154871	0.162767	0.209781	0.465217
ó	0.00307432	0.0127042	0.00437857	0.117352	0.143531	0.311824	0.407136
r	0.000730243	0.00185379	0.00610661	0.124171	0.185698	0.136612	0.544828
á	0.014762	0.0319102	0.0201049	0.0889377	0.188721	0.376976	0.278588
</S>	0.00415659	0.00366574	0.00780628	0.0615168	0.113463	0.499785	0.309607
