 	le	soleil	est	déjà	apparu	</S>
m	0.646539	0.341018	0.0115998	0.000446476	0.000286267	0.000110087
w	0.0196094	0.941674	0.027876	0.00272242	0.000636351	0.00748202
é	0.010256	0.98772	0.00180306	9.31365e-05	9.88284e-05	2.88641e-05
s	0.571829	0.375778	0.0473918	0.00356205	0.000325123	0.0011149
é	0.343689	0.553335	0.0477278	0.0159094	0.00328315	0.0360557
ó	0.666976	0.0620007	0.224948	0.0395545	0.000522413	0.00599919
m	0.0492062	0.00751405	0.212301	0.704905	0.00472143	0.0213521
i	0.0252034	0.0562883	0.193473	0.684766	0.00463446	0.0356345
s	0.0094291	0.00441602	0.0448468	0.906318	0.0138165	0.0211734
á	0.0164524	0.00312301	0.0205479	0.926162	0.015589	0.0181254
á	0.0473442	0.0109987	0.187831	0.274562	0.0942584	0.385006
o	0.059813	0.0180096	0.260265	0.288884	0.331682	0.041346
p	0.0101793	0.00211507	0.0173793	0.343309	0.611194	0.0158227
f	0.0034731	0.00196934	0.0214839	0.0296021	0.844167	0.0993042
ú	0.00937217	0.00274134	0.0230486	0.0274851	0.666329	0.271024
a	0.0873993	0.0122032	0.0285603	0.00619455	0.559689	0.305954
</S>	0.016674	0.000723624	0.0406301	0.0489588	0.158717	0.734296
